Date,JMCPROJECT
2013-01-01,113.7
2013-01-02,119.7
2013-01-03,123.5
2013-01-04,122.0
2013-01-07,122.0
2013-01-08,118.85
2013-01-09,116.9
2013-01-10,115.55
2013-01-11,116.85
2013-01-14,115.8
2013-01-15,115.1
2013-01-16,113.8
2013-01-17,112.65
2013-01-18,113.05
2013-01-21,110.4
2013-01-22,110.1
2013-01-23,107.6
2013-01-24,108.25
2013-01-25,107.15
2013-01-28,109.05
2013-01-29,106.5
2013-01-30,107.45
2013-01-31,105.0
2013-02-01,104.55
2013-02-04,102.95
2013-02-05,100.0
2013-02-06,96.85
2013-02-07,95.7
2013-02-08,97.75
2013-02-11,96.5
2013-02-12,93.95
2013-02-13,91.95
2013-02-14,90.2
2013-02-15,87.25
2013-02-18,90.95
2013-02-19,87.85
2013-02-20,88.1
2013-02-21,86.0
2013-02-22,88.05
2013-02-25,87.65
2013-02-26,87.5
2013-02-27,88.0
2013-02-28,86.65
2013-03-01,82.6
2013-03-04,80.9
2013-03-05,80.4
2013-03-06,82.55
2013-03-07,91.05
2013-03-08,88.5
2013-03-11,89.5
2013-03-12,88.45
2013-03-13,84.95
2013-03-14,83.15
2013-03-15,83.5
2013-03-18,81.25
2013-03-19,78.95
2013-03-20,74.75
2013-03-21,73.6
2013-03-22,71.45
2013-03-25,74.6
2013-03-26,75.15
2013-03-28,79.05
2013-04-01,79.85
2013-04-02,81.95
2013-04-03,80.35
2013-04-04,76.4
2013-04-05,77.0
2013-04-08,76.85
2013-04-09,75.1
2013-04-10,74.1
2013-04-11,75.15
2013-04-12,74.4
2013-04-15,75.0
2013-04-16,76.3
2013-04-17,78.7
2013-04-18,80.0
2013-04-22,81.9
2013-04-23,81.05
2013-04-25,81.1
2013-04-26,80.35
2013-04-29,79.35
2013-04-30,80.25
2013-05-02,76.75
2013-05-03,76.85
2013-05-06,77.8
2013-05-07,78.05
2013-05-08,76.4
2013-05-09,77.55
2013-05-10,79.5
2013-05-11,77.4
2013-05-13,79.7
2013-05-14,81.4
2013-05-15,82.05
2013-05-16,84.05
2013-05-17,82.8
2013-05-20,81.85
2013-05-21,81.05
2013-05-22,79.35
2013-05-23,76.15
2013-05-24,78.1
2013-05-27,77.95
2013-05-28,78.6
2013-05-29,76.5
2013-05-30,77.55
2013-05-31,76.3
2013-06-03,72.7
2013-06-04,74.3
2013-06-05,74.05
2013-06-06,72.15
2013-06-07,72.85
2013-06-10,72.75
2013-06-11,72.0
2013-06-12,73.1
2013-06-13,74.0
2013-06-14,70.75
2013-06-17,73.35
2013-06-18,73.15
