Date,RAMANEWS
2013-01-01,13.9
2013-01-02,13.45
2013-01-03,13.65
2013-01-04,14.4
2013-01-07,14.1
2013-01-08,13.65
2013-01-09,13.65
2013-01-10,13.65
2013-01-11,13.3
2013-01-14,13.25
2013-01-15,13.25
2013-01-16,12.7
2013-01-17,12.55
2013-01-18,12.65
2013-01-21,12.4
2013-01-22,12.15
2013-01-23,12.05
2013-01-24,11.15
2013-01-25,11.2
2013-01-28,11.6
2013-01-29,10.8
2013-01-30,11.05
2013-01-31,11.85
2013-02-01,12.15
2013-02-04,11.75
2013-02-05,11.15
2013-02-06,11.05
2013-02-07,11.05
2013-02-08,10.5
2013-02-11,10.7
2013-02-12,10.55
2013-02-13,10.3
2013-02-14,10.3
2013-02-15,10.0
2013-02-18,10.1
2013-02-19,9.8
2013-02-20,10.05
2013-02-21,10.1
2013-02-22,10.45
2013-02-25,9.8
2013-02-26,8.8
2013-02-27,8.85
2013-02-28,8.95
2013-03-01,8.4
2013-03-04,8.2
2013-03-05,8.55
2013-03-06,8.6
2013-03-07,8.5
2013-03-08,8.5
2013-03-11,8.2
2013-03-12,8.45
2013-03-13,8.4
2013-03-14,8.3
2013-03-15,8.2
2013-03-18,8.15
2013-03-19,7.95
2013-03-20,7.6
2013-03-21,7.95
2013-03-22,7.45
2013-03-25,7.45
2013-03-26,7.45
2013-03-28,7.45
2013-04-01,7.7
2013-04-02,8.3
2013-04-03,8.25
2013-04-04,7.75
2013-04-05,7.7
2013-04-08,7.85
2013-04-09,7.85
2013-04-10,7.85
2013-04-11,7.75
2013-04-12,7.65
2013-04-15,7.75
2013-04-16,7.65
2013-04-17,8.2
2013-04-18,8.05
2013-04-22,7.6
2013-04-23,7.7
2013-04-25,7.6
2013-04-26,7.65
2013-04-29,7.6
2013-04-30,7.5
2013-05-02,7.55
2013-05-03,7.7
2013-05-06,7.65
2013-05-07,7.6
2013-05-08,7.65
2013-05-09,7.6
2013-05-10,7.55
2013-05-11,7.7
2013-05-13,7.65
2013-05-14,7.65
2013-05-15,7.55
2013-05-16,7.4
2013-05-17,7.5
2013-05-20,7.7
2013-05-21,7.4
2013-05-22,7.2
2013-05-23,7.15
2013-05-24,7.3
2013-05-27,7.2
2013-05-28,7.05
2013-05-29,7.0
2013-05-30,6.9
2013-05-31,6.85
2013-06-03,6.75
2013-06-04,6.75
2013-06-05,6.55
2013-06-06,6.8
2013-06-07,6.85
2013-06-10,6.9
2013-06-11,6.55
2013-06-12,6.5
2013-06-13,6.2
2013-06-14,6.2
2013-06-17,6.3
2013-06-18,6.4
2013-06-19,6.4
