Date,UNIVCABLES
2013-01-01,43.95
2013-01-02,44.95
2013-01-03,44.05
2013-01-04,43.8
2013-01-07,43.85
2013-01-08,43.0
2013-01-09,43.0
2013-01-10,42.6
2013-01-11,42.35
2013-01-14,42.1
2013-01-15,43.55
2013-01-16,43.55
2013-01-17,42.1
2013-01-18,40.8
2013-01-21,40.2
2013-01-22,40.05
2013-01-23,40.25
2013-01-24,39.3
2013-01-25,39.95
2013-01-28,39.0
2013-01-29,39.2
2013-01-30,38.45
2013-01-31,39.55
2013-02-01,38.2
2013-02-04,38.1
2013-02-05,38.9
2013-02-06,39.6
2013-02-07,38.35
2013-02-08,39.8
2013-02-11,38.6
2013-02-12,38.95
2013-02-13,37.35
2013-02-14,36.0
2013-02-15,37.6
2013-02-18,37.5
2013-02-19,37.05
2013-02-20,37.3
2013-02-21,36.2
2013-02-22,38.45
2013-02-25,38.0
2013-02-26,35.5
2013-02-27,35.4
2013-02-28,34.45
2013-03-01,35.4
2013-03-04,33.35
2013-03-05,34.0
2013-03-06,35.1
2013-03-07,34.2
2013-03-08,33.05
2013-03-11,33.0
2013-03-12,32.5
2013-03-13,32.9
2013-03-14,33.45
2013-03-15,32.0
2013-03-18,31.6
2013-03-19,31.85
2013-03-20,30.35
2013-03-21,32.2
2013-03-22,30.0
2013-03-25,27.6
2013-03-26,28.9
2013-03-28,31.45
2013-04-01,32.5
2013-04-02,31.5
2013-04-03,31.15
2013-04-04,31.0
2013-04-05,32.9
2013-04-10,32.0
2013-04-12,32.0
2013-04-15,33.0
2013-04-16,35.0
2013-04-17,33.0
2013-04-18,34.95
2013-04-22,32.0
2013-04-23,32.0
2013-04-25,31.05
2013-04-26,30.05
2013-04-29,30.0
2013-04-30,30.05
2013-05-02,30.0
2013-05-03,31.0
2013-05-06,30.0
2013-05-07,31.0
2013-05-08,31.05
2013-05-09,31.0
2013-05-13,31.0
2013-05-15,30.15
2013-05-16,30.15
2013-05-17,30.0
2013-05-20,31.0
2013-05-22,29.1
2013-05-27,29.1
2013-05-30,28.4
2013-05-31,30.0
2013-06-03,30.4
2013-06-05,25.0
2013-06-07,21.05
2013-06-12,23.15
2013-06-14,25.25
2013-06-18,23.4
2013-06-20,25.7
2013-06-27,27.85
2013-06-28,29.8
2013-07-05,28.35
2013-07-08,26.95
2013-07-09,25.65
2013-07-15,24.4
2013-07-16,23.2
2013-07-17,22.25
2013-07-18,23.35
2013-07-22,23.25
2013-07-23,24.0
2013-07-24,25.2
2013-07-25,25.0
2013-07-26,24.7
2013-07-30,25.0
2013-08-01,23.8
2013-08-07,24.9
2013-08-08,23.7
2013-08-12,24.0
2013-08-13,22.8
2013-08-20,21.75
2013-08-28,21.1
2013-08-30,21.0
2013-09-02,20.25
2013-09-03,20.2
2013-09-04,21.2
2013-09-06,20.75
2013-09-10,20.65
2013-09-11,21.1
2013-09-12,20.45
2013-09-13,20.0
2013-09-16,21.0
2013-09-18,22.0
2013-09-19,22.95
2013-09-20,22.9
2013-09-23,24.0
2013-09-24,22.8
2013-09-25,23.9
2013-09-26,24.0
2013-09-27,23.4
2013-09-30,23.95
2013-10-08,24.95
2013-10-09,23.8
2013-10-11,24.95
2013-10-14,23.8
2013-10-15,24.0
2013-10-18,22.8
2013-10-21,22.8
2013-10-22,23.85
2013-10-23,23.1
