Date,UBL
2013-01-01,938.65
2013-01-02,945.3
2013-01-03,941.5
2013-01-04,928.45
2013-01-07,904.15
2013-01-08,896.85
2013-01-09,852.75
2013-01-10,856.35
2013-01-11,813.25
2013-01-14,812.2
2013-01-15,779.35
2013-01-16,773.35
2013-01-17,731.35
2013-01-18,684.45
2013-01-21,742.3
2013-01-22,728.4
2013-01-23,745.6
2013-01-24,716.4
2013-01-25,722.45
2013-01-28,740.1
2013-01-29,731.85
2013-01-30,729.75
2013-01-31,730.7
2013-02-01,746.6
2013-02-04,766.4
2013-02-05,777.1
2013-02-06,783.3
2013-02-07,766.55
2013-02-08,747.85
2013-02-11,721.65
2013-02-12,706.9
2013-02-13,638.5
2013-02-14,651.0
2013-02-15,678.7
2013-02-18,680.25
2013-02-19,699.4
2013-02-20,686.05
2013-02-21,647.35
2013-02-22,617.55
2013-02-25,617.35
2013-02-26,600.4
2013-02-27,600.35
2013-02-28,613.6
2013-03-01,625.65
2013-03-04,604.45
2013-03-05,628.95
2013-03-06,646.5
2013-03-07,674.95
2013-03-08,703.95
2013-03-11,698.5
2013-03-12,696.5
2013-03-13,694.85
2013-03-14,694.8
2013-03-15,667.45
2013-03-18,685.35
2013-03-19,694.0
2013-03-20,685.5
2013-03-21,680.7
2013-03-22,662.5
2013-03-25,683.75
2013-03-26,690.75
2013-03-28,699.6
2013-04-01,713.45
2013-04-02,720.6
2013-04-03,760.4
2013-04-04,739.35
2013-04-05,770.05
2013-04-08,787.8
2013-04-09,791.9
2013-04-10,787.05
2013-04-11,762.6
2013-04-12,748.6
2013-04-15,765.8
2013-04-16,765.7
2013-04-17,756.25
2013-04-18,753.05
2013-04-22,746.55
2013-04-23,760.35
2013-04-25,753.8
2013-04-26,733.85
2013-04-29,731.15
2013-04-30,734.8
2013-05-02,762.5
2013-05-03,768.0
2013-05-06,768.0
2013-05-07,772.35
2013-05-08,769.25
2013-05-09,760.4
2013-05-10,758.0
2013-05-11,755.95
2013-05-13,747.8
2013-05-14,742.3
2013-05-15,767.2
2013-05-16,764.1
2013-05-17,767.75
2013-05-20,759.6
2013-05-21,751.45
2013-05-22,746.55
2013-05-23,713.85
2013-05-24,730.25
2013-05-27,735.2
2013-05-28,735.9
2013-05-29,748.6
2013-05-30,735.5
2013-05-31,765.3
2013-06-03,742.75
2013-06-04,739.95
2013-06-05,747.95
2013-06-06,735.25
2013-06-07,709.75
2013-06-10,643.9
2013-06-11,617.95
2013-06-12,652.6
2013-06-13,669.6
2013-06-14,640.45
2013-06-17,646.05
2013-06-18,646.2
2013-06-19,647.85
2013-06-20,649.6
2013-06-21,633.6
2013-06-24,639.9
2013-06-25,630.3
2013-06-26,656.75
2013-06-27,683.45
2013-06-28,724.4
2013-07-01,827.25
2013-07-02,867.9
2013-07-03,840.8
2013-07-04,839.7
2013-07-05,856.35
2013-07-08,837.5
2013-07-09,842.95
2013-07-10,842.6
2013-07-11,822.25
2013-07-12,817.25
2013-07-15,806.95
2013-07-16,807.0
2013-07-17,821.25
2013-07-18,819.3
2013-07-19,829.5
2013-07-22,803.85
2013-07-23,794.9
2013-07-24,755.25
2013-07-25,731.7
2013-07-26,705.05
2013-07-29,677.0
2013-07-30,669.4
2013-07-31,690.2
2013-08-01,673.7
2013-08-02,688.5
2013-08-05,709.8
2013-08-06,729.7
2013-08-07,761.1
2013-08-08,760.85
2013-08-12,746.95
2013-08-13,768.25
2013-08-14,758.8
2013-08-16,721.7
2013-08-19,673.25
2013-08-20,651.6
2013-08-21,645.25
2013-08-22,664.15
2013-08-23,756.3
2013-08-26,741.8
2013-08-27,733.45
2013-08-28,709.6
2013-08-29,719.5
2013-08-30,715.55
2013-09-02,782.55
2013-09-03,757.45
2013-09-04,800.85
2013-09-05,800.15
2013-09-06,795.85
2013-09-10,856.85
2013-09-11,853.1
2013-09-12,814.85
2013-09-13,863.65
2013-09-16,848.25
2013-09-17,822.5
2013-09-18,861.5
2013-09-19,873.25
2013-09-20,828.6
2013-09-23,826.45
2013-09-24,831.6
2013-09-25,836.25
2013-09-26,821.6
2013-09-27,874.15
2013-09-30,860.5
2013-10-01,842.15
2013-10-03,857.95
2013-10-04,852.45
2013-10-07,844.5
2013-10-08,849.25
2013-10-09,851.5
2013-10-10,861.4
2013-10-11,862.15
2013-10-14,861.25
2013-10-15,844.35
2013-10-17,829.45
2013-10-18,843.25
2013-10-21,855.95
2013-10-22,878.55
2013-10-23,883.35
2013-10-24,963.65
2013-10-25,959.3
2013-10-28,970.95
2013-10-29,955.65
2013-10-30,948.35
2013-10-31,925.2
2013-11-01,893.4
2013-11-03,930.4
2013-11-05,895.75
2013-11-06,869.15
2013-11-07,822.9
2013-11-08,782.75
2013-11-11,738.5
2013-11-12,751.95
2013-11-13,736.5
2013-11-14,761.85
2013-11-18,766.1
2013-11-19,763.8
2013-11-20,751.9
2013-11-21,723.25
2013-11-22,720.5
2013-11-25,745.35
2013-11-26,776.95
2013-11-27,793.45
2013-11-28,796.6
2013-11-29,793.05
2013-12-02,785.1
2013-12-03,789.15
2013-12-04,787.5
2013-12-05,781.9
2013-12-06,770.9
2013-12-09,772.6
2013-12-10,775.8
2013-12-11,791.55
2013-12-12,813.7
2013-12-13,802.25
2013-12-16,796.25
2013-12-17,783.3
2013-12-18,785.25
2013-12-19,784.25
2013-12-20,768.45
2013-12-23,728.1
2013-12-24,739.85
2013-12-26,738.2
2013-12-27,751.55
2013-12-30,766.1
2013-12-31,773.65
2014-01-01,768.8
2014-01-02,742.7
2014-01-03,754.15
2014-01-06,772.9
2014-01-07,754.7
2014-01-08,787.55
2014-01-09,773.2
2014-01-10,781.1
2014-01-13,778.15
