Date,GSCLCEMENT
2013-05-29,22.5
2013-05-30,24.15
2013-05-31,23.65
2013-06-03,23.45
2013-06-04,23.25
2013-06-05,22.45
2013-06-06,21.5
2013-06-07,20.7
2013-06-10,20.2
2013-06-11,19.6
2013-06-12,18.6
2013-06-13,17.4
2013-06-14,18.0
2013-06-17,18.35
2013-06-18,18.25
2013-06-19,17.9
2013-06-20,18.75
2013-06-21,18.15
2013-06-24,17.1
2013-06-25,16.55
2013-06-26,16.05
2013-06-27,16.5
2013-06-28,16.8
2013-07-01,17.85
2013-07-02,17.7
2013-07-03,17.65
2013-07-04,17.55
2013-07-05,17.35
2013-07-08,16.95
2013-07-09,17.4
2013-07-10,17.45
2013-07-11,17.3
2013-07-12,17.25
2013-07-15,18.05
2013-07-16,17.95
2013-07-17,16.95
2013-07-18,16.65
2013-07-19,16.1
2013-07-22,15.65
2013-07-23,14.95
2013-07-24,14.6
2013-07-25,14.05
2013-07-26,13.9
2013-07-29,14.05
2013-07-30,13.85
2013-07-31,13.3
2013-08-01,12.95
2013-08-02,13.35
2013-08-05,13.35
2013-08-06,13.5
2013-08-07,14.05
2013-08-08,14.2
2013-08-12,14.1
2013-08-13,14.35
2013-08-14,14.15
2013-08-16,13.8
2013-08-19,13.85
2013-08-20,14.0
2013-08-21,14.15
2013-08-22,14.25
2013-08-23,14.25
2013-08-26,14.1
2013-08-27,13.4
2013-08-28,13.2
2013-08-29,13.5
2013-08-30,13.55
2013-09-02,13.8
2013-09-03,13.65
2013-09-04,13.75
2013-09-05,13.85
2013-09-06,14.25
2013-09-10,14.4
2013-09-11,15.3
2013-09-12,14.75
2013-09-13,14.75
2013-09-16,14.45
2013-09-17,14.6
2013-09-18,14.7
2013-09-19,15.7
2013-09-20,14.95
2013-09-23,14.95
2013-09-24,15.2
2013-09-25,15.3
2013-09-26,15.35
2013-09-27,15.2
2013-09-30,14.5
2013-10-01,15.0
2013-10-03,14.95
2013-10-04,14.8
2013-10-07,14.85
2013-10-08,14.8
2013-10-09,15.05
2013-10-10,15.45
2013-10-11,15.3
2013-10-14,15.3
2013-10-15,15.0
2013-10-17,14.25
2013-10-18,14.5
2013-10-21,14.65
2013-10-22,14.35
2013-10-23,14.2
2013-10-24,14.25
2013-10-25,14.15
2013-10-28,13.9
2013-10-29,13.85
2013-10-30,13.8
2013-10-31,13.85
2013-11-01,13.75
2013-11-03,13.85
2013-11-05,13.9
2013-11-06,14.1
2013-11-07,14.0
2013-11-08,14.2
2013-11-11,15.1
2013-11-12,15.45
2013-11-13,14.95
2013-11-14,14.65
2013-11-18,14.35
2013-11-19,14.25
2013-11-20,14.35
2013-11-21,14.0
2013-11-22,13.95
2013-11-25,14.05
2013-11-26,13.8
2013-11-27,13.85
2013-11-28,13.8
2013-11-29,13.8
2013-12-02,14.05
2013-12-03,14.0
2013-12-04,13.95
2013-12-05,13.95
2013-12-06,14.1
2013-12-09,14.05
2013-12-10,13.95
2013-12-11,13.85
2013-12-12,13.75
2013-12-13,13.55
2013-12-16,13.45
2013-12-17,13.3
2013-12-18,13.4
2013-12-19,13.4
2013-12-20,13.5
2013-12-23,13.55
2013-12-24,14.0
2013-12-26,14.4
2013-12-27,14.05
2013-12-30,14.35
2013-12-31,14.55
2014-01-01,15.15
2014-01-02,14.75
2014-01-03,14.55
2014-01-06,14.55
2014-01-07,14.4
2014-01-08,14.55
2014-01-09,14.4
2014-01-10,14.3
2014-01-13,14.2
2014-01-14,13.9
2014-01-15,13.8
2014-01-16,13.75
2014-01-17,13.5
2014-01-20,13.5
2014-01-21,13.55
2014-01-22,13.6
2014-01-23,13.6
2014-01-24,13.3
2014-01-27,12.9
2014-01-28,12.85
2014-01-29,13.05
2014-01-30,12.7
2014-01-31,12.85
2014-02-03,12.7
2014-02-04,12.7
2014-02-05,13.0
2014-02-06,12.9
2014-02-07,13.0
2014-02-10,13.0
2014-02-11,12.65
2014-02-12,12.55
2014-02-13,12.45
2014-02-14,12.55
2014-02-17,12.7
2014-02-18,12.7
2014-02-19,12.7
2014-02-20,12.6
2014-02-21,12.75
2014-02-24,12.8
2014-02-25,12.75
2014-02-26,12.65
2014-02-28,12.55
2014-03-03,12.4
2014-03-04,12.6
2014-03-05,13.0
2014-03-06,13.25
2014-03-07,13.35
2014-03-10,13.65
2014-03-11,13.5
2014-03-12,13.65
2014-03-13,13.45
2014-03-14,13.35
2014-03-18,13.5
2014-03-19,13.35
2014-03-20,13.3
2014-03-21,13.9
2014-03-22,13.9
2014-03-24,14.1
2014-03-25,13.7
2014-03-26,13.7
2014-03-27,13.7
2014-03-28,14.25
2014-03-31,14.7
2014-04-01,15.35
2014-04-02,15.5
2014-04-03,15.6
2014-04-04,16.15
2014-04-07,16.75
2014-04-09,18.5
2014-04-10,18.55
2014-04-11,17.85
2014-04-15,17.4
2014-04-16,17.05
2014-04-17,16.55
2014-04-21,16.9
2014-04-22,16.7
2014-04-23,16.3
2014-04-25,15.75
2014-04-28,15.9
2014-04-29,15.0
2014-04-30,14.75
2014-05-02,14.65
2014-05-05,14.75
2014-05-06,14.7
2014-05-07,14.5
2014-05-08,14.55
2014-05-09,14.85
2014-05-12,14.85
2014-05-13,15.3
2014-05-14,15.7
2014-05-15,16.8
2014-05-16,17.7
2014-05-19,21.2
2014-05-20,23.3
2014-05-21,24.8
2014-05-22,27.1
2014-05-23,25.75
2014-05-26,24.5
2014-05-27,23.3
2014-05-28,22.15
2014-05-29,22.1
2014-05-30,22.1
2014-06-02,23.2
2014-06-03,24.35
2014-06-04,25.55
2014-06-05,26.8
2014-06-30,27.75
2014-07-01,27.6
2014-07-02,27.7
2014-07-03,27.7
2014-07-04,27.15
2014-07-07,26.7
2014-07-08,26.05
2014-07-09,24.8
2014-07-10,25.75
2014-07-11,24.7
2014-07-14,24.9
2014-07-15,25.15
2014-07-16,25.6
2014-07-17,26.4
2014-07-18,26.35
2014-07-21,26.6
2014-07-22,26.2
2014-07-23,26.6
2014-07-24,26.6
2014-07-25,25.9
2014-07-28,25.4
2014-07-30,24.9
2014-07-31,24.45
2014-08-01,23.5
2014-08-04,24.5
2014-08-05,26.95
2014-08-06,29.6
2014-08-07,31.05
2014-08-08,30.15
2014-08-11,31.65
2014-08-12,33.2
2014-08-13,34.85
2014-08-14,33.15
2014-08-18,34.8
2014-08-19,36.5
2014-08-20,38.3
2014-08-21,40.2
2014-08-22,42.2
2014-08-25,44.3
2014-08-26,43.95
2014-08-27,42.7
2014-08-28,40.6
2014-09-01,40.85
2014-09-02,42.85
2014-09-03,42.0
2014-09-04,39.95
2014-09-05,40.2
2014-09-08,41.8
2014-09-09,40.7
2014-09-10,40.75
2014-09-11,40.25
2014-09-12,39.2
2014-09-15,38.85
2014-09-16,36.95
2014-09-17,37.0
2014-09-18,37.95
2014-09-19,37.3
2014-09-22,39.15
2014-09-23,37.25
2014-09-24,36.6
2014-09-25,34.8
2014-09-26,33.95
2014-09-29,35.6
2014-09-30,35.6
2014-10-01,34.95
2014-10-07,35.4
2014-10-08,34.95
2014-10-09,36.7
2014-10-10,35.85
2014-10-13,35.45
2014-10-14,35.85
2014-10-16,33.1
2014-10-17,32.6
2014-10-20,32.8
2014-10-21,32.45
2014-10-22,34.85
2014-10-23,35.55
2014-10-27,34.2
2014-10-28,33.5
2014-10-29,33.4
2014-10-30,34.0
2014-10-31,35.5
2014-11-03,39.0
2014-11-05,37.25
2014-11-07,33.55
2014-11-10,30.2
2014-11-11,31.15
2014-11-12,30.2
2014-11-13,30.9
2014-11-14,31.75
2014-11-17,30.8
2014-11-18,30.65
2014-11-19,30.7
2014-11-20,30.5
2014-11-21,30.35
2014-11-24,33.7
2014-11-25,31.75
2014-11-26,32.1
2014-11-27,31.7
2014-11-28,31.7
2014-12-01,31.05
2014-12-02,30.8
2014-12-03,31.3
2014-12-04,30.65
2014-12-05,32.25
2014-12-08,32.2
2014-12-09,31.25
2014-12-10,31.4
2014-12-11,31.25
2014-12-12,30.75
2014-12-15,30.4
2014-12-16,29.45
2014-12-17,28.0
2014-12-18,29.65
2014-12-19,29.3
2014-12-22,28.95
2014-12-23,29.45
2014-12-24,29.15
2014-12-26,29.1
2014-12-29,29.35
2014-12-30,29.4
2014-12-31,28.95
2015-01-01,31.45
2015-01-02,31.5
2015-01-05,31.5
