Date,JPOLYINVST
2013-11-26,67.5
2013-11-27,60.2
2013-11-28,56.65
2013-11-29,55.75
2013-12-02,61.3
2013-12-03,67.4
2013-12-04,74.1
2013-12-05,77.8
2013-12-06,75.3
2013-12-09,71.55
2013-12-10,68.15
2013-12-11,65.0
2013-12-12,64.7
2013-12-13,62.25
2013-12-16,61.95
2013-12-17,59.5
2013-12-18,60.1
2013-12-19,59.0
2013-12-20,58.1
2013-12-23,61.0
2013-12-24,61.55
2013-12-26,62.25
2013-12-27,64.05
2013-12-30,65.75
2013-12-31,65.1
2014-01-01,64.2
2014-01-02,63.7
2014-01-03,62.65
2014-01-06,62.15
2014-01-07,61.0
2014-01-08,62.75
2014-01-09,61.5
2014-01-10,60.15
2014-01-13,60.35
2014-01-14,58.95
2014-01-15,58.45
2014-01-16,57.9
2014-01-17,57.5
2014-01-20,57.95
2014-01-21,56.2
2014-01-22,55.45
2014-01-23,56.3
2014-01-24,55.0
2014-01-27,53.3
2014-01-28,53.9
2014-01-29,50.4
2014-01-30,47.65
2014-01-31,46.9
2014-02-03,47.9
2014-02-04,49.0
2014-02-05,50.3
2014-02-06,49.15
2014-02-07,48.75
2014-02-10,48.5
2014-02-11,49.0
2014-02-12,48.85
2014-02-13,48.0
2014-02-14,44.4
2014-02-17,42.15
2014-02-18,43.0
2014-02-19,43.35
2014-02-20,41.05
2014-02-21,42.25
2014-02-24,42.65
2014-02-25,42.45
2014-02-26,41.85
2014-02-28,43.4
2014-03-03,42.6
2014-03-04,44.1
2014-03-05,44.45
2014-03-06,44.1
2014-03-07,44.3
2014-03-10,51.55
2014-03-11,52.6
2014-03-12,53.95
2014-03-13,53.35
2014-03-14,52.3
2014-03-18,56.4
2014-03-19,59.75
2014-03-20,62.05
2014-03-21,62.5
2014-03-22,70.6
2014-03-24,72.4
2014-03-25,76.5
2014-03-26,74.8
2014-03-27,77.85
2014-03-28,83.2
2014-03-31,88.85
2014-04-01,91.85
2014-04-02,91.75
2014-04-03,97.55
2014-04-04,97.95
2014-04-07,94.6
2014-04-09,95.0
2014-04-10,93.9
2014-04-11,87.15
2014-04-15,85.65
2014-04-16,82.95
2014-04-17,82.95
2014-04-21,80.8
2014-04-22,76.75
2014-04-23,70.8
2014-04-25,70.0
2014-04-28,66.2
2014-04-29,62.9
2014-04-30,59.8
2014-05-02,57.35
2014-05-05,59.55
2014-05-06,62.5
2014-05-07,65.5
2014-05-08,63.5
2014-05-09,64.7
2014-05-12,62.85
2014-05-13,60.55
2014-05-14,63.4
2014-05-15,66.5
2014-05-16,65.0
2014-05-19,68.25
2014-05-20,71.65
2014-05-21,75.2
2014-05-22,78.9
2014-05-23,82.8
2014-05-26,86.9
2014-05-27,86.1
2014-05-28,86.8
2014-05-29,88.0
2014-05-30,89.5
2014-06-02,91.35
2014-06-03,92.05
2014-06-04,96.2
2014-06-05,98.05
2014-06-06,100.0
2014-06-09,103.9
2014-06-10,103.85
2014-06-11,102.35
2014-06-12,97.65
2014-06-30,94.75
2014-07-01,99.45
2014-07-02,104.4
2014-07-03,109.6
2014-07-04,115.05
2014-07-07,120.8
2014-07-08,114.8
2014-07-09,111.55
2014-07-10,115.55
2014-07-11,111.7
2014-07-14,113.1
2014-07-15,118.1
2014-07-16,121.65
2014-07-17,117.8
2014-07-18,118.05
2014-07-21,123.8
2014-07-22,128.95
2014-07-23,133.55
2014-07-24,140.2
2014-07-25,146.95
2014-07-28,151.5
2014-07-30,159.05
2014-07-31,167.0
2014-08-01,175.35
2014-08-04,184.1
2014-08-05,193.3
2014-09-09,179.75
2014-09-10,182.0
2014-09-11,180.7
2014-09-12,171.95
2014-09-15,170.95
2014-09-16,162.45
2014-09-17,154.35
2014-09-18,160.1
2014-09-19,152.15
2014-09-22,144.85
2014-09-23,140.0
2014-09-24,136.1
2014-09-25,131.0
2014-09-26,129.4
2014-09-29,135.85
2014-09-30,131.1
2014-10-01,136.15
2014-10-07,142.75
2014-10-08,149.85
2014-10-09,155.85
2014-10-10,157.3
2014-10-13,153.3
2014-10-14,148.1
2014-10-16,141.0
2014-10-17,136.15
2014-10-20,137.15
2014-10-21,136.7
2014-10-22,137.2
2014-10-23,141.1
2014-10-27,145.7
2014-10-28,144.05
2014-10-29,139.5
2014-10-30,138.3
2014-10-31,134.2
2014-11-03,131.4
2014-11-05,130.3
2014-11-07,129.1
2014-11-10,123.45
2014-11-11,117.85
2014-11-12,115.05
2014-11-13,118.3
2014-11-14,124.2
2014-11-17,126.9
2014-11-18,125.85
2014-11-19,125.85
2014-11-20,119.6
2014-11-21,113.65
2014-11-24,110.5
2014-11-25,111.25
2014-11-26,106.8
2014-11-27,112.1
2014-11-28,107.85
2014-12-01,108.5
2014-12-02,107.0
2014-12-03,107.55
2014-12-04,105.25
2014-12-05,108.25
2014-12-08,103.9
2014-12-09,104.6
2014-12-10,104.25
2014-12-11,104.6
2014-12-12,97.45
2014-12-15,97.8
2014-12-16,96.95
2014-12-17,98.05
2014-12-18,95.75
2014-12-19,105.2
2014-12-22,103.95
2014-12-23,101.35
