Date,SHARDACROP
2014-09-23,230.95
2014-09-24,253.25
2014-09-25,261.6
2014-09-26,252.85
2014-09-29,256.0
2014-09-30,260.8
2014-10-01,259.9
2014-10-07,258.1
2014-10-08,266.4
2014-10-09,266.35
2014-10-10,257.0
2014-10-13,255.15
2014-10-14,257.75
2014-10-16,237.4
2014-10-17,242.15
2014-10-20,242.15
2014-10-21,252.25
2014-10-22,251.25
2014-10-23,252.6
2014-10-27,252.3
2014-10-28,262.35
2014-10-29,256.8
2014-10-30,255.75
2014-10-31,265.15
2014-11-03,282.05
2014-11-05,260.6
2014-11-07,287.55
2014-11-10,294.05
2014-11-11,291.7
2014-11-12,297.75
2014-11-13,290.8
2014-11-14,293.95
2014-11-17,295.6
2014-11-18,296.8
2014-11-19,286.45
2014-11-20,278.8
2014-11-21,273.55
2014-11-24,275.2
2014-11-25,266.8
2014-11-26,271.7
2014-11-27,278.5
2014-11-28,272.35
2014-12-01,266.75
2014-12-02,269.8
2014-12-03,272.1
2014-12-04,271.05
2014-12-05,266.0
2014-12-08,264.95
2014-12-09,256.4
2014-12-10,265.2
2014-12-11,257.7
2014-12-12,249.65
2014-12-15,259.95
2014-12-16,249.1
2014-12-17,241.6
2014-12-18,246.65
2014-12-19,251.6
2014-12-22,255.15
2014-12-23,251.4
2014-12-24,253.5
2014-12-26,257.85
2014-12-29,266.65
2014-12-30,266.55
2014-12-31,269.75
2015-01-01,268.2
2015-01-02,268.85
2015-01-05,262.95
2015-01-06,254.45
2015-01-07,254.8
2015-01-08,259.5
2015-01-09,255.45
2015-01-12,255.55
2015-01-13,255.9
2015-01-14,256.25
2015-01-15,257.25
2015-01-16,258.75
2015-01-19,260.4
2015-01-20,256.1
2015-01-21,259.5
2015-01-22,257.05
2015-01-23,258.65
2015-01-27,276.2
2015-01-28,265.05
2015-01-29,267.4
2015-01-30,261.5
2015-02-02,265.3
2015-02-03,271.8
2015-02-04,274.3
2015-02-05,268.65
2015-02-06,264.95
2015-02-09,263.6
2015-02-10,261.3
2015-02-11,264.75
2015-02-12,263.65
2015-02-13,263.75
2015-02-16,275.6
2015-02-18,276.95
2015-02-19,269.5
2015-02-20,269.0
2015-02-23,269.75
2015-02-24,269.0
