Date,RECLTD
2013-01-01,250.6
2013-01-02,256.5
2013-01-03,265.45
2013-01-04,266.05
2013-01-07,258.95
2013-01-08,257.55
2013-01-09,256.4
2013-01-10,256.75
2013-01-11,251.95
2013-01-14,250.9
2013-01-15,250.6
2013-01-16,247.9
2013-01-17,248.6
2013-01-18,250.85
2013-01-21,253.35
2013-01-22,242.1
2013-01-23,234.15
2013-01-24,227.6
2013-01-25,240.8
2013-01-28,242.15
2013-01-29,238.45
2013-01-30,237.25
2013-01-31,241.45
2013-02-01,236.55
2013-02-04,248.2
2013-02-05,248.8
2013-02-06,253.35
2013-02-07,251.65
2013-02-08,242.8
2013-02-11,241.6
2013-02-12,242.9
2013-02-13,240.75
2013-02-14,234.05
2013-02-15,236.05
2013-02-18,235.6
2013-02-19,241.15
2013-02-20,243.45
2013-02-21,241.2
2013-02-22,240.2
2013-02-25,244.15
2013-02-26,239.15
2013-02-27,241.15
2013-02-28,228.2
2013-03-01,213.6
2013-03-04,215.6
2013-03-05,225.45
2013-03-06,236.25
2013-03-07,238.0
2013-03-08,232.8
2013-03-11,232.0
2013-03-12,226.55
2013-03-13,215.2
2013-03-14,223.1
2013-03-15,221.75
2013-03-18,215.85
2013-03-19,206.15
2013-03-20,202.65
2013-03-21,195.95
2013-03-22,200.75
2013-03-25,195.45
2013-03-26,202.4
2013-03-28,208.45
2013-04-01,212.0
2013-04-02,213.45
2013-04-03,205.8
2013-04-04,208.4
2013-04-05,211.25
2013-04-08,211.95
2013-04-09,214.95
2013-04-10,215.95
2013-04-11,213.0
2013-04-12,218.2
2013-04-15,220.15
2013-04-16,225.55
2013-04-17,218.75
2013-04-18,218.35
2013-04-22,216.25
2013-04-23,219.7
2013-04-25,224.5
2013-04-26,217.55
2013-04-29,223.5
2013-04-30,224.4
2013-05-02,225.5
2013-05-03,217.95
2013-05-06,223.6
2013-05-07,233.1
2013-05-08,230.55
2013-05-09,232.2
2013-05-10,232.9
2013-05-11,233.25
2013-05-13,224.35
2013-05-14,224.4
2013-05-15,234.75
2013-05-16,238.1
2013-05-17,242.6
2013-05-20,239.1
2013-05-21,236.4
2013-05-22,236.1
2013-05-23,225.45
2013-05-24,227.75
2013-05-27,232.85
2013-05-28,230.7
2013-05-29,235.1
2013-05-30,230.7
2013-05-31,221.1
2013-06-03,221.25
2013-06-04,222.15
2013-06-05,219.55
2013-06-06,216.95
2013-06-07,220.05
2013-06-10,222.5
2013-06-11,214.1
2013-06-12,206.7
2013-06-13,195.65
2013-06-14,200.95
2013-06-17,201.0
2013-06-18,204.95
2013-06-19,208.4
2013-06-20,198.1
2013-06-21,190.65
2013-06-24,184.65
2013-06-25,190.75
2013-06-26,183.9
2013-06-27,192.7
2013-06-28,200.75
2013-07-01,205.95
2013-07-02,209.35
2013-07-03,198.15
2013-07-04,196.25
2013-07-05,198.0
2013-07-08,196.35
2013-07-09,202.55
2013-07-10,201.1
2013-07-11,198.95
2013-07-12,203.05
2013-07-15,206.05
2013-07-16,196.5
2013-07-17,194.05
2013-07-18,194.7
2013-07-19,192.15
2013-07-22,193.4
2013-07-23,196.65
2013-07-24,183.7
2013-07-25,175.9
2013-07-26,169.3
2013-07-29,165.05
2013-07-30,162.85
2013-07-31,158.5
2013-08-01,151.35
2013-08-02,151.05
2013-08-05,159.05
2013-08-06,151.15
2013-08-07,159.1
2013-08-08,160.9
2013-08-12,169.15
2013-08-13,174.95
2013-08-14,178.0
2013-08-16,172.7
2013-08-19,172.4
2013-08-20,175.05
2013-08-21,174.15
2013-08-22,179.65
2013-08-23,188.6
2013-08-26,187.0
2013-08-27,171.35
2013-08-28,171.65
2013-08-29,166.55
2013-08-30,168.85
2013-09-02,173.0
2013-09-03,164.7
2013-09-04,175.3
2013-09-05,181.1
2013-09-06,185.0
2013-09-10,192.7
2013-09-11,196.2
2013-09-12,191.15
2013-09-13,198.1
2013-09-16,195.2
2013-09-17,196.1
2013-09-18,194.55
2013-09-19,202.9
2013-09-20,203.3
2013-09-23,199.0
2013-09-24,199.0
2013-09-25,199.55
2013-09-26,195.3
2013-09-27,194.9
2013-09-30,188.05
2013-10-01,191.05
2013-10-03,193.05
2013-10-04,193.9
2013-10-07,192.4
2013-10-08,194.05
2013-10-09,195.95
2013-10-10,193.95
2013-10-11,193.25
2013-10-14,188.65
2013-10-15,190.6
2013-10-17,181.75
2013-10-18,186.95
2013-10-21,188.65
2013-10-22,191.2
2013-10-23,186.8
2013-10-24,187.25
2013-10-25,186.15
2013-10-28,183.15
2013-10-29,189.0
2013-10-30,191.2
2013-10-31,194.25
2013-11-01,203.6
