Date,THEMISMED
2013-01-01,93.65
2013-01-02,98.15
2013-01-03,96.2
2013-01-04,95.35
2013-01-07,97.25
2013-01-08,94.1
2013-01-09,93.75
2013-01-10,91.6
2013-01-11,92.75
2013-01-14,90.95
2013-01-15,86.55
2013-01-16,84.65
2013-01-17,84.0
2013-01-18,86.7
2013-01-21,87.0
2013-01-22,86.75
2013-01-23,80.95
2013-01-24,80.25
2013-01-25,76.65
2013-01-28,82.4
2013-01-29,77.7
2013-01-30,79.1
2013-01-31,75.5
2013-02-01,76.1
2013-02-04,76.25
2013-02-05,71.65
2013-02-06,67.95
2013-02-07,65.0
2013-02-08,64.5
2013-02-11,60.4
2013-02-12,60.5
2013-02-13,68.3
2013-02-14,68.75
2013-02-15,62.85
2013-02-18,62.0
2013-02-19,63.7
2013-02-20,65.0
2013-02-21,62.0
2013-02-22,62.2
2013-02-25,61.25
2013-02-26,60.7
2013-02-27,61.95
2013-02-28,63.4
2013-03-01,60.85
2013-03-04,58.0
2013-03-05,59.45
2013-03-06,61.75
2013-03-07,60.2
2013-03-08,61.5
2013-03-11,61.2
2013-03-12,60.25
2013-03-13,59.85
2013-03-14,60.0
2013-03-15,61.45
2013-03-18,59.75
2013-03-19,59.5
2013-03-20,59.0
2013-03-21,57.8
2013-03-22,55.5
2013-03-25,55.0
2013-03-26,50.85
2013-03-28,52.55
2013-04-01,58.45
2013-04-02,60.75
2013-04-03,58.3
2013-04-04,58.95
2013-04-05,57.05
2013-04-08,56.25
2013-04-09,57.65
2013-04-12,58.55
2013-04-15,61.95
2013-04-16,72.15
2013-04-17,70.45
2013-04-18,68.95
2013-04-22,72.05
2013-04-23,72.0
2013-04-25,75.65
2013-04-26,75.0
2013-04-29,73.9
2013-04-30,71.1
2013-05-02,71.2
2013-05-03,71.55
2013-05-06,71.05
2013-05-07,71.7
2013-05-08,71.0
2013-05-09,71.0
2013-05-10,71.45
2013-05-11,69.45
2013-05-13,68.65
2013-05-15,68.9
2013-05-16,69.75
2013-05-20,66.6
2013-05-21,67.75
2013-05-22,68.2
2013-05-23,68.45
2013-05-24,69.9
2013-05-29,66.15
2013-05-30,66.0
2013-05-31,68.75
2013-06-03,66.0
2013-06-04,62.25
2013-06-05,62.15
2013-06-07,63.0
2013-06-10,59.75
2013-06-11,56.75
2013-06-12,59.85
2013-06-13,59.8
2013-06-14,57.4
2013-06-17,56.7
2013-06-18,57.0
2013-06-19,57.0
2013-06-20,56.7
2013-06-21,56.7
2013-06-24,54.3
2013-06-25,54.0
2013-06-26,56.0
2013-06-27,55.95
2013-06-28,55.0
2013-07-01,54.9
2013-07-02,52.5
2013-07-03,50.25
2013-07-04,49.5
2013-07-05,50.15
2013-07-08,50.9
2013-07-11,51.0
2013-07-12,58.0
2013-07-17,54.0
2013-07-19,47.0
2013-07-22,47.0
2013-07-25,47.0
2013-07-26,45.0
2013-08-05,40.5
2013-08-08,44.0
2013-08-12,44.0
2013-08-13,42.05
2013-08-14,44.0
2013-08-20,44.0
2013-08-23,44.0
2013-08-29,40.1
2013-09-03,40.05
2013-09-04,40.0
2013-09-06,40.1
2013-09-10,43.65
2013-09-11,44.0
2013-09-12,44.0
2013-09-13,44.0
2013-09-17,44.0
2013-09-18,44.0
2013-09-19,44.0
2013-09-24,42.0
2013-09-25,42.0
2013-09-26,42.0
2013-09-30,42.0
2013-10-01,42.0
2013-10-04,41.0
2013-10-07,42.0
2013-10-09,41.45
2013-10-11,41.5
2013-10-14,42.0
2013-10-17,40.5
2013-10-18,40.5
2013-10-22,42.0
2013-10-23,42.0
2013-10-24,42.0
2013-10-25,42.0
2013-10-30,41.75
2013-11-05,42.0
2013-11-06,42.0
2013-11-11,50.4
2013-11-12,54.0
2013-11-13,52.0
2013-11-14,52.0
2013-11-18,52.9
2013-11-19,51.05
2013-11-20,51.05
2013-11-21,52.2
2015-11-23,380.0
2015-11-24,379.05
2015-11-26,398.0
2015-11-27,417.9
2015-11-30,438.75
2015-12-01,460.65
2015-12-02,475.25
2015-12-03,464.1
2015-12-04,444.45
2015-12-07,458.35
2016-02-09,334.75
2016-02-10,318.05
2016-02-11,302.15
2016-02-12,288.55
2016-02-15,295.4
2016-02-16,280.65
2016-02-17,269.05
2016-02-18,273.0
2016-02-19,282.85
2016-02-22,279.95
2016-02-23,266.0
2016-02-24,252.7
2016-02-25,265.3
2016-02-26,278.4
2016-02-29,286.25
2016-03-01,300.55
2016-03-02,315.55
2016-03-03,324.1
2016-03-04,331.65
