Date,TI
2013-01-01,78.5
2013-01-02,83.4
2013-01-03,85.1
2013-01-04,85.1
2013-01-07,82.85
2013-01-08,80.95
2013-01-09,80.0
2013-01-10,79.65
2013-01-11,80.75
2013-01-14,80.9
2013-01-15,81.7
2013-01-16,80.0
2013-01-17,80.45
2013-01-18,82.05
2013-01-21,80.3
2013-01-22,80.2
2013-01-23,78.05
2013-01-24,76.1
2013-01-25,76.25
2013-01-28,78.15
2013-01-29,77.4
2013-01-30,76.25
2013-01-31,79.0
2013-02-01,79.0
2013-02-04,77.55
2013-02-05,74.85
2013-02-06,73.65
2013-02-07,74.3
2013-02-08,73.05
2013-02-11,72.3
2013-02-12,70.35
2013-02-13,71.55
2013-02-14,69.75
2013-02-15,69.25
2013-02-18,70.25
2013-02-19,71.15
2013-02-20,71.75
2013-02-21,69.85
2013-02-22,69.85
2013-02-25,67.7
2013-02-26,66.4
2013-02-27,69.7
2013-02-28,64.95
2013-03-01,65.35
2013-03-04,64.75
2013-03-05,66.9
2013-03-06,67.85
2013-03-07,69.2
2013-03-08,69.9
2013-03-11,68.75
2013-03-12,67.75
2013-03-13,65.45
2013-03-14,64.6
2013-03-15,62.85
2013-03-18,64.95
2013-03-19,63.9
2013-03-20,62.6
2013-03-21,58.3
2013-03-22,58.95
2013-03-25,61.7
2013-03-26,60.0
2013-03-28,59.3
2013-04-01,60.15
2013-04-02,60.45
2013-04-03,62.15
2013-04-04,60.05
2013-04-05,60.05
2013-04-08,58.95
2013-04-09,57.65
2013-04-10,57.1
2013-04-11,57.75
2013-04-12,60.9
2013-04-15,64.05
2013-04-16,62.6
2013-04-17,66.6
2013-04-18,67.45
2013-04-22,65.8
2013-04-23,64.95
2013-04-25,65.95
2013-04-26,64.0
2013-04-29,65.05
2013-04-30,67.75
2013-05-02,70.0
2013-05-03,66.9
2013-05-06,66.55
2013-05-07,67.8
2013-05-08,69.65
2013-05-09,69.3
2013-05-10,68.35
2013-05-11,69.85
2013-05-13,65.9
2013-05-14,67.4
2013-05-15,69.1
2013-05-16,69.55
2013-05-17,72.85
2013-05-20,72.05
2013-05-21,70.1
2013-05-22,67.65
2013-05-23,62.5
2013-05-24,59.75
2013-05-27,60.4
2013-05-28,60.0
2013-05-29,60.35
2013-05-30,60.3
2013-05-31,60.25
2013-06-03,59.7
2013-06-04,59.35
2013-06-05,57.85
2013-06-06,56.9
2013-06-07,56.1
2013-06-10,54.7
2013-06-11,53.85
2013-06-12,54.05
2013-06-13,52.4
2013-06-14,53.25
2013-06-17,52.1
2013-06-18,52.55
2013-06-19,52.9
2013-06-20,52.3
2013-06-21,52.05
2013-06-24,51.55
2013-06-25,49.9
2013-06-26,48.2
2013-06-27,46.75
2013-06-28,47.9
2013-07-01,50.9
2013-07-02,50.45
2013-07-03,48.75
2013-07-04,49.0
2013-07-05,50.3
2013-07-08,50.05
2013-07-09,52.1
2013-07-10,53.05
2013-07-11,53.3
2013-07-12,53.65
2013-07-15,54.35
2013-07-16,54.1
2013-07-17,53.95
2013-07-18,55.3
2013-07-19,55.4
2013-07-22,54.15
2013-07-23,53.7
2013-07-24,52.25
2013-07-25,51.6
2013-07-26,51.8
2013-07-29,51.35
2013-07-30,50.1
2013-07-31,48.25
2013-08-01,47.95
2013-08-02,46.05
2013-08-05,46.05
2013-08-06,47.25
2013-08-07,53.45
2013-08-08,60.4
2013-08-12,61.15
2013-08-13,64.4
2013-08-14,62.1
2013-08-16,60.0
2013-08-19,59.95
2013-08-20,59.05
2013-08-21,59.35
2013-08-22,58.15
2013-08-23,58.6
2013-08-26,61.0
2013-08-27,59.9
2013-08-28,58.75
2013-08-29,59.85
2013-08-30,58.7
2013-09-02,59.25
2013-09-03,58.7
2013-09-04,58.7
2013-09-05,58.85
2013-09-06,61.1
2013-09-10,59.65
2013-09-11,60.05
2013-09-12,59.0
2013-09-13,58.6
2013-09-16,57.8
2013-09-17,56.7
2013-09-18,58.2
2013-09-19,59.75
2013-09-20,59.2
2013-09-23,59.5
2013-09-24,57.95
2013-09-25,55.5
2013-09-26,55.8
2013-09-27,56.6
2013-09-30,56.85
2013-10-01,55.95
2013-10-03,55.8
2013-10-04,55.05
2013-10-07,55.55
2013-10-08,56.1
2013-10-09,57.2
2013-10-10,57.55
2013-10-11,57.2
2013-10-14,60.7
2013-10-15,58.3
2013-10-17,60.2
2013-10-18,60.45
2013-10-21,60.5
2013-10-22,66.1
2013-10-23,64.55
2013-10-24,63.4
2013-10-25,61.4
2013-10-28,63.15
2013-10-29,63.35
2013-10-30,64.4
2013-10-31,62.4
2013-11-01,62.15
2013-11-03,63.1
2013-11-05,62.3
2013-11-06,62.5
2013-11-07,60.2
2013-11-08,59.15
2013-11-11,57.9
2013-11-12,57.3
