Date,ADSL
2013-01-01,21.0
2013-01-02,21.55
2013-01-03,21.2
2013-01-04,21.25
2013-01-07,21.4
2013-01-08,21.35
2013-01-09,20.6
2013-01-10,20.6
2013-01-11,20.15
2013-01-14,20.35
2013-01-15,20.7
2013-01-16,20.55
2013-01-17,20.35
2013-01-18,19.9
2013-01-21,19.75
2013-01-22,19.65
2013-01-23,19.5
2013-01-24,18.9
2013-01-25,19.45
2013-01-28,19.15
2013-01-29,18.95
2013-01-30,19.0
2013-01-31,18.75
2013-02-01,18.55
2013-02-04,18.4
2013-02-05,18.25
2013-02-06,17.8
2013-02-07,17.5
2013-02-08,17.25
2013-02-11,17.4
2013-02-12,17.25
2013-02-13,16.9
2013-02-14,15.55
2013-02-15,13.7
2013-02-18,15.25
2013-02-19,15.8
2013-02-20,15.95
2013-02-21,15.45
2013-02-22,15.15
2013-02-25,15.05
2013-02-26,14.75
2013-02-27,14.95
2013-02-28,14.55
2013-03-01,14.5
2013-03-04,13.7
2013-03-05,13.6
2013-03-06,14.3
2013-03-07,13.8
2013-03-08,14.0
2013-03-11,14.1
2013-03-12,13.7
2013-03-13,13.4
2013-03-14,12.3
2013-03-15,12.95
2013-03-18,12.15
2013-03-19,11.5
2013-03-20,11.05
2013-03-21,10.75
2013-03-22,10.1
2013-03-25,9.85
2013-03-26,10.1
2013-03-28,10.3
2013-04-01,10.8
2013-04-02,12.95
2013-04-03,13.35
2013-04-04,12.9
2013-04-05,12.85
2013-04-08,12.6
2013-04-09,12.85
2013-04-10,12.3
2013-04-11,12.75
2013-06-14,9.1
2013-06-17,9.55
2013-06-18,10.0
2013-06-19,10.5
2013-06-20,10.5
2013-06-21,10.0
2013-06-24,9.5
2013-06-25,9.2
2013-06-26,8.85
2013-06-27,8.9
2013-06-28,8.95
2013-07-01,9.25
2013-07-02,9.6
2013-07-03,10.05
2013-07-04,10.55
2013-07-05,11.05
2013-07-08,11.6
2013-07-09,12.15
2013-07-10,12.75
2013-07-11,13.35
2013-07-12,14.0
2013-07-15,14.7
2013-07-16,14.0
2013-07-17,13.3
2013-07-18,12.85
2013-08-30,12.65
2013-09-02,13.25
2013-09-03,13.9
2013-09-04,14.55
2013-09-05,15.25
2013-09-06,16.75
2013-09-10,17.65
2013-09-11,19.2
2013-09-12,20.05
2013-09-13,19.4
2013-09-16,19.25
2013-09-17,20.05
2013-09-18,21.05
2013-09-19,22.1
2013-09-20,21.05
2013-09-23,21.7
2013-09-24,21.4
2013-09-25,20.9
2013-09-26,19.9
2013-11-29,17.9
2013-12-02,18.75
2013-12-03,19.3
2013-12-04,18.35
2013-12-05,17.7
2013-12-06,17.25
2013-12-09,16.8
2013-12-10,16.4
2013-12-11,17.2
2013-12-12,17.3
2013-12-13,16.85
2013-12-16,16.65
2013-12-17,16.65
2013-12-18,16.3
2013-12-19,16.8
2013-12-20,16.65
2013-12-23,16.45
2013-12-24,16.55
2013-12-26,17.1
2013-12-27,17.15
2013-12-30,16.5
2013-12-31,16.75
2014-01-01,17.45
2014-01-02,18.25
2014-01-03,17.35
2014-01-06,17.0
2014-01-07,16.65
2014-01-08,16.3
2014-01-09,15.95
2014-01-10,16.6
2014-01-13,16.45
2014-01-14,16.35
2014-01-15,16.2
2014-01-16,16.05
2014-01-17,16.05
2014-01-20,16.45
2014-01-21,16.2
2014-01-22,16.4
2014-01-23,16.3
2014-01-24,15.7
2014-01-27,15.4
2014-01-28,16.0
2014-01-29,15.65
2014-01-30,15.45
2014-01-31,14.5
2014-02-03,13.7
2014-02-04,12.45
2014-02-05,13.05
2014-02-06,13.7
2014-02-07,14.3
2014-02-10,13.6
2014-02-11,13.25
2014-02-12,13.25
2014-02-13,12.85
2014-02-14,12.95
2014-02-17,13.0
2014-02-18,13.0
2014-02-19,12.8
2014-02-20,12.85
2014-02-21,12.6
2014-02-24,13.2
2014-02-25,13.8
2014-02-26,13.65
2014-02-28,13.35
2014-03-03,13.2
2014-03-04,13.0
2014-03-05,12.85
2014-03-06,13.05
2014-03-07,12.7
2014-03-10,12.4
2014-03-11,12.25
2014-03-12,12.75
2014-03-13,12.45
2014-03-14,12.0
2014-03-18,11.65
2014-03-19,11.75
2014-03-20,11.95
2014-03-21,12.85
2014-03-22,12.95
2014-03-24,12.6
2014-03-25,12.0
2014-03-26,11.35
2014-03-27,11.45
2014-03-28,11.5
2014-03-31,12.15
2014-04-01,12.05
2014-04-02,12.65
2014-04-03,12.65
2014-04-04,12.55
2014-04-07,12.55
2014-04-09,13.1
2014-04-10,14.4
2014-04-11,15.15
2014-04-15,14.35
2014-04-16,14.35
2014-04-17,14.55
2014-04-21,13.95
2014-04-22,13.8
2014-04-23,13.55
2014-04-25,13.7
2014-04-28,13.5
2014-04-29,13.25
2014-04-30,12.9
2014-05-02,13.1
2014-05-05,13.4
2014-05-06,13.1
2014-05-07,12.8
2014-05-08,12.8
2014-05-09,13.3
2014-05-12,13.75
2014-05-13,13.4
2014-05-14,13.2
2014-05-15,13.55
2014-05-16,12.65
2014-05-19,14.55
2014-05-20,17.45
2014-05-21,17.25
2014-05-22,18.05
2014-05-23,21.6
2014-05-26,19.45
2014-05-27,18.45
2014-05-28,20.2
2014-05-29,19.45
2014-05-30,19.8
2014-06-02,21.3
2014-06-03,21.3
2014-06-04,22.05
2014-06-05,23.1
2014-06-06,23.25
2014-06-09,23.1
2014-06-10,22.3
2014-06-11,21.9
2014-06-12,21.7
2014-06-30,22.1
2014-07-01,23.2
2014-07-02,24.35
2014-07-03,24.3
2014-07-04,23.75
2014-07-07,22.8
2014-07-08,21.8
2014-07-09,20.75
2014-07-10,21.25
2014-07-11,20.2
2014-07-14,19.45
2014-07-15,19.8
2014-07-16,20.4
2014-07-17,19.95
2014-07-18,20.85
2014-07-21,20.7
2014-07-22,21.1
2014-07-23,20.75
2014-07-24,20.65
2014-07-25,20.05
2014-07-28,19.15
2014-07-30,18.45
2014-07-31,18.15
2014-08-01,18.5
2014-08-04,19.0
2014-08-05,19.05
2014-08-06,18.7
2014-08-07,18.8
2014-08-08,18.2
2014-08-11,18.3
2014-08-12,18.8
2014-08-13,18.35
2014-08-14,18.5
2014-08-18,16.8
2014-08-19,16.75
2014-08-20,16.9
2014-08-21,18.55
2014-08-22,19.4
2014-08-25,19.65
2014-08-26,18.0
2014-08-27,19.8
2014-08-28,21.05
2014-09-01,22.3
2014-09-02,24.5
2014-09-03,23.3
2014-09-04,22.95
2014-09-05,22.2
2014-09-08,23.3
2014-09-09,24.45
2014-09-10,23.5
2014-09-11,22.85
2014-09-12,22.9
2014-09-15,23.05
2014-09-16,22.4
2014-09-17,22.55
2014-09-18,22.8
2014-09-19,22.25
2014-09-22,23.15
2014-09-23,22.3
2014-09-24,21.85
2014-09-25,20.95
2014-09-26,20.4
2014-09-29,19.4
2014-09-30,19.0
2014-10-01,18.5
2014-10-07,18.05
2014-10-08,17.95
2014-10-09,18.6
2014-10-10,18.2
2014-10-13,18.0
2014-10-14,17.7
2014-10-16,18.4
2014-10-17,18.0
2014-10-20,18.0
2014-10-21,17.75
2014-10-22,17.9
2014-10-23,18.1
2014-10-27,18.5
2014-10-28,17.95
2014-10-29,17.75
2014-10-30,18.6
2014-10-31,19.5
2014-11-03,20.45
2014-11-05,20.15
2014-11-07,19.2
2014-11-10,19.95
2014-11-11,19.45
2014-11-12,20.3
2014-11-13,19.95
2014-11-14,19.55
2014-11-17,21.45
2014-11-18,21.1
2014-11-19,20.1
2014-11-20,20.15
2014-11-21,19.8
2014-11-24,21.65
2014-11-25,20.4
2014-11-26,20.35
2014-11-27,19.95
2014-11-28,20.4
2014-12-01,19.85
2014-12-02,20.1
2014-12-03,20.4
2014-12-04,22.3
2014-12-05,21.1
2014-12-08,21.5
2014-12-09,20.7
2014-12-10,21.45
2014-12-11,21.25
2014-12-12,22.1
2014-12-15,24.0
2014-12-16,22.15
2014-12-17,21.8
2014-12-18,22.75
2014-12-19,22.15
2014-12-22,21.8
2014-12-23,21.1
2014-12-24,21.6
2014-12-26,21.0
2014-12-29,21.85
2014-12-30,21.4
2014-12-31,22.55
2015-01-01,22.65
2015-01-02,23.1
2015-01-05,22.95
2015-01-06,21.55
2015-01-07,21.15
2015-01-08,21.55
2015-01-09,21.15
2015-01-12,22.05
2015-01-13,26.45
2015-01-14,28.75
2015-01-15,28.35
2015-01-16,27.35
2015-01-19,32.8
2015-01-20,31.05
2015-01-21,29.6
2015-01-22,29.25
2015-01-23,27.9
2015-01-27,30.65
2015-01-28,31.05
2015-01-29,30.05
2015-01-30,29.9
2015-02-02,31.65
2015-02-03,30.85
2015-02-04,30.25
2015-02-05,29.55
2015-02-06,27.45
2015-02-09,27.75
2015-02-10,28.85
2015-02-11,28.75
2015-02-12,30.65
2015-02-13,25.75
2015-02-16,22.8
2015-02-18,23.95
2015-02-19,23.65
2015-02-20,23.75
2015-02-23,22.7
2015-02-24,22.25
2015-02-25,22.45
2015-02-26,21.9
2015-02-27,23.1
2015-02-28,22.75
2015-03-02,22.55
2015-03-03,22.7
2015-03-04,22.3
2015-03-05,23.75
2015-03-09,23.2
2015-03-10,23.25
2015-03-11,22.85
2015-03-12,22.85
2015-03-13,22.45
2015-03-16,22.35
2015-03-17,22.45
2015-03-18,22.05
2015-03-19,21.35
2015-03-20,20.0
2015-03-23,18.6
2015-03-24,17.2
2015-03-25,16.65
2015-03-26,16.1
2015-03-27,15.45
2015-03-30,18.5
2015-03-31,19.3
2015-04-01,19.65
2015-04-06,21.05
2015-04-07,20.85
2015-04-08,19.65
2015-04-09,19.6
2015-04-10,19.8
2015-04-13,19.75
2015-04-15,19.8
2015-04-16,19.6
2015-04-17,19.25
2015-04-20,18.85
2015-04-21,18.6
2015-04-22,18.75
2015-04-23,18.35
2015-04-24,17.75
2015-04-27,17.3
2015-04-28,17.75
2015-04-29,17.85
2015-04-30,18.05
2015-05-04,18.1
