Date,STAR
2013-01-01,1088.35
2013-01-02,1072.1
2013-01-03,1083.6
2013-01-04,1072.05
2013-01-07,1048.3
2013-01-08,1082.1
2013-01-09,1076.95
2013-01-10,1067.35
2013-01-11,1028.45
2013-01-14,1053.65
2013-01-15,1060.45
2013-01-16,1080.35
2013-01-17,1093.85
2013-01-18,1109.05
2013-01-21,1114.7
2013-01-22,1077.15
2013-01-23,1060.4
2013-01-24,1020.5
2013-01-25,1041.25
2013-01-28,1049.4
2013-01-29,1076.5
2013-01-30,1099.8
2013-01-31,1086.0
2013-02-01,1078.65
2013-02-04,1058.65
2013-02-05,1066.65
2013-02-06,1049.6
2013-02-07,916.4
2013-02-08,955.9
2013-02-11,967.65
2013-02-12,1037.9
2013-02-13,1006.7
2013-02-14,980.55
2013-02-15,967.2
2013-02-18,960.8
2013-02-19,977.4
2013-02-20,985.35
2013-02-21,984.4
2013-02-22,1036.8
2013-02-25,1030.75
2013-02-26,972.5
2013-02-27,985.55
2013-02-28,917.25
2013-03-01,872.35
2013-03-04,858.75
2013-03-05,877.9
2013-03-06,900.85
2013-03-07,908.85
2013-03-08,916.65
2013-03-11,899.45
2013-03-12,900.0
2013-03-13,900.0
2013-03-14,894.25
2013-03-15,893.55
2013-03-18,885.6
2013-03-19,870.65
2013-03-20,853.45
2013-03-21,839.45
2013-03-22,860.8
2013-03-25,827.45
2013-03-26,830.1
2013-03-28,872.0
2013-04-01,868.65
2013-04-02,880.5
2013-04-03,893.4
2013-04-04,858.65
2013-04-05,844.55
2013-04-08,843.1
2013-04-09,833.95
2013-04-10,838.2
2013-04-11,831.05
2013-04-12,813.1
2013-04-15,799.5
2013-04-16,817.7
2013-04-17,834.15
2013-04-18,835.75
2013-04-22,815.05
2013-04-23,821.3
2013-04-25,825.2
2013-04-26,825.5
2013-04-29,818.5
2013-04-30,856.15
2013-05-02,878.1
2013-05-03,881.5
2013-05-06,876.3
2013-05-07,900.0
2013-05-08,899.55
2013-05-09,885.5
2013-05-10,877.8
2013-05-11,874.85
2013-05-13,889.45
2013-05-14,899.5
2013-05-15,897.9
