Date,PREMIER
2013-01-01,141.75
2013-01-02,139.95
2013-01-03,137.7
2013-01-04,137.35
2013-01-07,142.05
2013-01-08,142.2
2013-01-09,144.55
2013-01-10,140.95
2013-01-11,139.25
2013-01-14,142.1
2013-01-15,139.05
2013-01-16,121.25
2013-01-17,112.85
2013-01-18,114.65
2013-01-21,114.9
2013-01-22,111.4
2013-01-23,110.9
2013-01-24,100.8
2013-01-25,101.85
2013-01-28,99.45
2013-01-29,100.95
2013-01-30,100.8
2013-01-31,101.5
2013-02-01,102.1
2013-02-04,101.6
2013-02-05,100.6
2013-02-06,102.3
2013-02-07,100.15
2013-02-08,100.1
2013-02-11,100.0
2013-02-12,100.15
2013-02-13,98.2
2013-02-14,92.6
2013-02-15,90.2
2013-02-18,91.45
2013-02-19,91.3
2013-02-20,92.9
2013-02-21,90.2
2013-02-22,88.8
2013-02-25,86.35
2013-02-26,86.65
2013-02-27,86.35
2013-02-28,82.1
2013-03-01,81.7
2013-03-04,78.15
2013-03-05,77.1
2013-03-06,87.95
2013-03-07,85.4
2013-03-08,84.65
2013-03-11,83.2
2013-03-12,79.2
2013-03-13,77.6
2013-03-14,76.25
2013-03-15,77.6
2013-03-18,76.5
2013-03-19,77.8
2013-03-20,75.1
2013-03-21,75.05
2013-03-22,70.85
2013-03-25,70.65
2013-03-26,68.4
2013-03-28,80.1
2013-04-01,88.6
2013-04-02,90.55
2013-04-03,88.15
2013-04-04,87.75
2013-04-05,86.85
2013-04-08,84.2
2013-04-09,82.75
2013-04-10,80.65
2013-04-11,79.0
2013-04-12,78.4
2013-04-15,74.7
2013-04-16,79.6
2013-04-17,77.2
2013-04-18,76.95
2013-04-22,76.8
2013-04-23,78.0
2013-04-25,79.3
2013-04-26,77.85
2013-04-29,77.8
2013-04-30,78.35
2013-05-02,78.65
2013-05-03,77.8
2013-05-06,75.0
2013-05-07,73.95
2013-05-08,74.85
2013-05-09,73.9
2013-05-10,74.15
2013-05-11,74.5
2013-05-13,75.35
2013-05-14,73.9
2013-05-15,73.4
2013-05-16,73.35
2013-05-17,71.3
2013-05-20,70.2
2013-05-21,73.55
2013-05-22,77.95
2013-05-23,76.8
2013-05-24,78.9
2013-05-27,80.2
2013-05-28,79.55
2013-05-29,79.45
2013-05-30,77.85
2013-05-31,65.45
2013-06-03,65.9
2013-06-04,65.25
2013-06-05,64.85
2013-06-06,62.9
2013-06-07,62.45
2013-06-10,60.55
2013-06-11,59.1
2013-06-12,60.35
2013-06-13,58.0
2013-06-14,59.45
2013-06-17,58.55
