Date,CREST
2013-01-02,52.45
2013-01-03,53.75
2013-01-04,52.2
2013-01-07,54.0
2013-01-08,52.5
2013-01-09,52.5
2013-01-10,52.5
2013-01-11,51.05
2013-01-14,51.0
2013-01-15,52.0
2013-01-16,51.5
2013-01-17,53.05
2013-01-21,52.0
2013-01-22,50.75
2013-01-23,50.35
2013-01-24,51.5
2013-01-25,52.0
2013-01-28,52.2
2013-01-29,52.0
2013-01-30,47.4
2013-01-31,50.0
2013-02-01,48.95
2013-02-04,47.15
2013-02-05,51.45
2013-02-06,49.15
2013-02-07,50.95
2013-02-08,50.0
2013-02-11,49.7
2013-02-12,52.5
2013-02-13,48.0
2013-02-14,49.95
2013-02-15,48.85
2013-02-18,45.2
2013-02-21,47.5
2013-02-22,52.15
2013-02-25,54.5
2013-02-26,53.0
2013-02-27,49.05
2013-03-01,47.05
2013-03-05,47.0
2013-03-06,47.05
2013-03-07,46.4
2013-03-08,48.95
2013-03-11,48.85
2013-03-13,46.8
2013-03-14,46.2
2013-03-15,46.05
2013-03-18,45.0
2013-03-20,48.95
2013-03-21,43.75
2013-03-22,48.5
2013-03-25,48.75
2013-03-26,55.95
2013-03-28,57.75
2013-04-01,53.2
2013-04-02,49.55
2013-04-03,51.55
2013-04-04,48.0
2013-04-05,49.8
2013-04-08,49.0
2013-04-09,49.35
2013-04-10,46.8
2013-04-12,45.5
2013-04-15,48.95
2013-04-17,44.15
2013-04-18,47.9
2013-04-22,47.8
2013-04-23,50.0
2013-04-25,47.8
2013-04-26,41.1
2013-04-29,42.75
2013-04-30,40.0
2013-05-02,40.0
2013-05-06,39.05
2013-05-07,40.0
2013-05-08,42.0
2013-05-09,40.1
2013-05-15,41.95
2013-05-16,41.25
2013-05-17,40.45
2013-05-20,42.35
2013-05-21,40.1
2013-05-22,40.0
2013-05-23,38.05
2013-05-24,41.1
2013-05-27,41.0
2013-05-28,41.0
2013-05-29,40.0
2013-05-30,41.45
2013-06-04,40.0
2013-06-05,38.15
2013-06-06,38.05
2013-06-07,41.95
2013-06-10,39.0
2013-06-12,40.0
