Date,TVSSRICHAK
2013-01-01,268.05
2013-01-02,262.3
2013-01-03,264.95
2013-01-04,262.9
2013-01-07,265.25
2013-01-08,266.35
2013-01-09,266.4
2013-01-10,265.0
2013-01-11,265.0
2013-01-14,261.35
2013-01-15,264.25
2013-01-16,260.9
2013-01-17,260.05
2013-01-18,265.0
2013-01-21,259.7
2013-01-22,258.35
2013-01-23,252.1
2013-01-24,252.05
2013-01-25,256.45
2013-01-28,255.0
2013-01-29,253.7
2013-01-30,251.75
2013-01-31,254.05
2013-02-01,250.2
2013-02-04,253.2
2013-02-05,250.7
2013-02-06,252.0
2013-02-07,247.5
2013-02-08,238.75
2013-02-11,237.75
2013-02-12,231.65
2013-02-13,232.55
2013-02-14,236.8
2013-02-15,231.95
2013-02-18,225.4
2013-02-19,227.05
2013-02-20,226.6
2013-02-21,221.85
2013-02-22,221.45
2013-02-25,217.35
2013-02-26,211.05
2013-02-27,209.85
2013-02-28,206.85
2013-03-01,210.15
2013-03-04,198.15
2013-03-05,201.05
2013-03-06,202.0
2013-03-07,202.85
2013-03-08,202.25
2013-03-11,201.0
2013-03-12,192.1
2013-03-13,190.45
2013-03-14,194.25
2013-03-15,191.5
2013-03-18,191.0
2013-03-19,189.0
2013-03-20,187.2
2013-03-21,177.7
2013-03-22,179.5
2013-03-25,175.35
2013-03-26,173.25
2013-03-28,181.3
2013-04-01,182.75
2013-04-02,182.3
2013-04-03,184.55
2013-04-04,188.9
2013-04-05,179.7
2013-04-08,170.2
2013-04-09,173.7
2013-04-10,174.05
2013-04-11,177.4
2013-04-12,172.0
2013-04-15,178.35
2013-04-16,180.2
2013-04-17,173.65
2013-04-18,175.85
2013-04-22,187.4
2013-04-23,185.25
2013-04-25,195.15
2013-04-26,186.95
2013-04-29,192.05
2013-04-30,190.1
2013-05-02,188.15
2013-05-03,184.6
2013-05-06,189.0
2013-05-07,188.8
2013-05-08,185.0
2013-05-09,187.7
2013-05-10,188.05
2013-05-11,185.85
2013-05-13,184.6
2013-05-14,176.65
2013-05-15,172.5
2013-05-16,178.6
2013-05-17,180.2
2013-05-20,181.3
2013-05-21,180.0
2013-05-22,182.8
2013-05-23,186.85
2013-05-24,185.15
2013-05-27,187.0
2013-05-28,188.85
2013-05-29,188.9
2013-05-30,184.55
2013-05-31,183.75
2013-06-03,181.5
2013-06-04,184.8
2013-06-05,187.5
2013-06-06,192.7
2013-06-07,195.55
2013-06-10,192.75
2013-06-11,188.0
2013-06-12,189.2
2013-06-13,182.35
2013-06-14,181.65
2013-06-17,186.5
2013-06-18,184.05
2013-06-19,191.0
2013-06-20,187.7
2013-06-21,179.75
2013-06-24,176.65
2013-06-25,173.05
2013-06-26,176.4
2013-06-27,176.15
2013-06-28,174.75
2013-07-01,170.85
2013-07-02,169.65
2013-07-03,175.0
2013-07-04,175.95
2013-07-05,175.2
2013-07-08,172.7
2013-07-09,170.3
2013-07-10,176.9
2013-07-11,178.95
2013-07-12,175.15
2013-07-15,176.4
2013-07-16,176.0
2013-07-17,176.2
2013-07-18,171.95
2013-07-19,172.65
2013-07-22,171.95
2013-07-23,172.05
2013-07-24,170.35
2013-07-25,175.2
2013-07-26,173.45
2013-07-29,175.95
2013-07-30,167.05
2013-07-31,162.25
2013-08-01,168.2
2013-08-02,162.95
2013-08-05,163.4
2013-08-06,158.2
2013-08-07,164.9
2013-08-08,166.4
2013-08-12,167.25
2013-08-13,166.05
2013-08-14,169.0
2013-08-16,167.0
2013-08-19,164.35
2013-08-20,164.95
2013-08-21,166.0
2013-08-22,163.95
2013-08-23,169.0
2013-08-26,169.05
2013-08-27,160.0
2013-08-28,160.0
2013-08-29,159.15
2013-08-30,165.25
2013-09-02,168.8
2013-09-03,168.7
2013-09-04,170.0
2013-09-05,173.45
2013-09-06,175.35
2013-09-10,175.5
2013-09-11,181.0
2013-09-12,183.3
2013-09-13,186.25
2013-09-16,190.85
2013-09-17,192.1
2013-09-18,182.2
2013-09-19,180.4
2013-09-20,178.0
2013-09-23,179.8
2013-09-24,173.45
2013-09-25,171.0
2013-09-26,180.05
2013-09-27,183.3
2013-09-30,190.1
2013-10-01,191.85
2013-10-03,219.85
2013-10-04,236.95
2013-10-07,235.65
2013-10-08,236.55
2013-10-09,230.85
2013-10-10,225.4
2013-10-11,225.55
2013-10-14,225.0
2013-10-15,226.0
2013-10-17,229.1
2013-10-18,235.0
2013-10-21,233.25
2013-10-22,236.95
2013-10-23,231.85
2013-10-24,232.05
