Date,NBCC
2013-01-01,173.5
2013-01-02,180.65
2013-01-03,180.1
2013-01-04,185.55
2013-01-07,185.75
2013-01-08,192.6
2013-01-09,186.3
2013-01-10,189.35
2013-01-11,182.4
2013-01-14,182.85
2013-01-15,180.95
2013-01-16,173.75
2013-01-17,177.05
2013-01-18,176.95
2013-01-21,177.1
2013-01-22,173.5
2013-01-23,171.45
2013-01-24,163.1
2013-01-25,170.6
2013-01-28,169.6
2013-01-29,163.05
2013-01-30,164.7
2013-01-31,164.5
2013-02-01,161.7
2013-02-04,156.5
2013-02-05,155.8
2013-02-06,158.3
2013-02-07,156.7
2013-02-08,146.75
2013-02-11,145.6
2013-02-12,139.4
2013-02-13,142.05
2013-02-14,140.5
2013-02-15,136.15
2013-02-18,139.25
2013-02-19,147.05
2013-02-20,147.4
2013-02-21,142.85
2013-02-22,142.5
2013-02-25,142.0
2013-02-26,134.9
2013-02-27,138.7
2013-02-28,129.95
2013-03-01,134.15
2013-03-04,133.7
2013-03-05,134.25
2013-03-06,140.35
2013-03-07,142.8
2013-03-08,142.7
2013-03-11,140.85
2013-03-12,141.05
2013-03-13,137.95
2013-03-14,138.5
2013-03-15,138.45
2013-03-18,133.05
2013-03-19,126.4
2013-03-20,122.0
2013-03-21,115.3
2013-03-22,114.0
2013-03-25,119.45
2013-03-26,122.9
2013-03-28,121.8
2013-04-01,125.15
2013-04-02,138.6
2013-04-03,134.2
2013-04-04,130.95
2013-04-05,129.65
2013-04-08,130.25
2013-04-09,125.15
2013-04-10,129.25
2013-04-11,130.8
2013-04-12,130.0
2013-04-15,131.35
2013-04-16,138.35
2013-04-17,139.25
2013-04-18,137.55
2013-04-22,139.8
2013-04-23,137.85
2013-04-25,138.3
2013-04-26,136.2
2013-04-29,142.7
2013-04-30,142.45
2013-05-02,140.15
2013-05-03,143.3
2013-05-06,142.65
2013-05-07,143.25
2013-05-08,148.7
2013-05-09,144.3
2013-05-10,143.05
2013-05-11,141.75
2013-05-13,141.45
2013-05-14,138.75
2013-05-15,142.3
2013-05-16,141.6
2013-05-17,141.45
2013-05-20,143.6
2013-05-21,139.2
2013-05-22,136.25
2013-05-23,131.3
2013-05-24,126.95
2013-05-27,135.5
2013-05-28,136.1
2013-05-29,135.75
2013-05-30,134.75
2013-05-31,134.8
2013-06-03,135.0
2013-06-04,133.65
2013-06-05,134.75
2013-06-06,135.2
2013-06-07,143.0
2013-06-10,147.9
2013-06-11,145.95
2013-06-12,143.0
2013-06-13,137.95
2013-06-14,137.7
2013-06-17,139.6
2013-06-18,138.7
2013-06-19,137.85
