Date,LINDEINDIA
2013-01-01,381.85
2013-01-02,386.55
2013-01-03,391.3
2013-01-04,385.55
2013-01-07,383.6
2013-01-08,380.3
2013-01-09,380.7
2013-01-10,381.45
2013-01-11,378.8
2013-01-14,381.05
2013-01-15,379.9
2013-01-16,382.05
2013-01-17,386.1
2013-01-18,381.9
2013-01-21,380.0
2013-01-22,375.0
2013-01-23,368.55
2013-01-24,367.1
2013-01-25,364.3
2013-01-28,362.75
2013-01-29,363.8
2013-01-30,359.65
2013-01-31,356.8
2013-02-01,341.55
2013-02-04,335.75
2013-02-05,327.6
2013-02-06,338.95
2013-02-07,341.35
2013-02-08,329.05
2013-02-11,315.35
2013-02-12,316.05
2013-02-13,318.3
2013-02-14,314.15
2013-02-15,311.45
2013-02-18,310.5
2013-02-19,309.45
2013-02-20,307.35
2013-02-21,305.05
2013-02-22,299.25
2013-02-25,299.85
2013-02-26,291.9
2013-02-27,295.1
2013-02-28,285.3
2013-03-01,289.05
2013-03-04,288.55
2013-03-05,283.25
2013-03-06,290.5
2013-03-07,288.05
2013-03-08,277.2
2013-03-11,264.8
2013-03-12,251.95
2013-03-13,257.5
2013-03-14,252.3
2013-03-15,302.75
2013-03-18,305.15
2013-03-19,355.9
2013-03-20,320.35
2013-03-21,291.45
2013-03-22,281.25
2013-03-25,286.55
2013-03-26,276.45
2013-03-28,279.45
2013-04-01,280.25
2013-04-02,281.05
2013-04-03,288.55
2013-04-04,301.0
2013-04-05,296.3
2013-04-08,291.4
2013-04-09,284.35
2013-04-10,284.15
2013-04-11,283.95
2013-04-12,269.8
2013-04-15,256.35
2013-04-16,243.55
2013-04-17,250.85
2013-04-18,254.65
2013-04-22,247.85
2013-04-23,240.15
2013-04-25,239.55
2013-04-26,236.4
2013-04-29,239.95
2013-04-30,247.2
2013-05-02,251.55
2013-05-03,251.3
2013-05-06,250.4
2013-05-07,262.9
2013-05-08,255.05
2013-05-09,251.65
2013-05-10,259.85
2013-05-11,259.95
2013-05-13,259.6
2013-05-14,261.3
2013-05-15,251.4
2013-05-16,261.3
2013-05-17,250.75
2013-05-20,252.5
2013-05-21,241.0
2013-05-22,232.9
2013-05-23,235.35
2013-05-24,237.15
2013-05-27,246.05
2013-05-28,251.8
2013-05-29,252.85
2013-05-30,258.3
2013-05-31,254.05
2013-06-03,255.2
2013-06-04,277.8
2013-06-05,280.75
2013-06-06,281.5
2013-06-07,268.3
2013-06-10,260.55
2013-06-11,262.3
2013-06-12,264.8
2013-06-13,260.75
2013-06-14,262.9
2013-06-17,274.5
2013-06-18,289.55
2013-06-19,288.35
2013-06-20,274.9
2013-06-21,273.8
2013-06-24,265.1
2013-06-25,261.6
2013-06-26,260.6
2013-06-27,270.75
2013-06-28,266.2
2013-07-01,271.7
2013-07-02,266.05
2013-07-03,262.95
2013-07-04,264.85
2013-07-05,265.55
2013-07-08,268.35
2013-07-09,265.4
2013-07-10,265.1
2013-07-11,264.55
2013-07-12,264.15
2013-07-15,266.8
2013-07-16,268.65
2013-07-17,268.85
2013-07-18,268.85
2013-07-19,268.5
2013-07-22,264.4
2013-07-23,269.4
2013-07-24,266.35
2013-07-25,266.8
2013-07-26,270.25
2013-07-29,269.8
2013-07-30,258.5
2013-07-31,258.2
2013-08-01,254.95
2013-08-02,250.0
2013-08-05,250.3
2013-08-06,250.25
2013-08-07,251.15
2013-08-08,253.9
2013-08-12,254.35
2013-08-13,251.7
2013-08-14,253.25
2013-08-16,250.0
2013-08-19,251.8
2013-08-20,249.65
