Date,INFRABEES
2013-01-01,270.51
2013-01-02,277.0
2013-01-03,274.0
2013-01-04,268.52
2013-01-07,272.0
2013-01-08,269.6
2013-01-09,267.1
2013-01-10,266.81
2013-01-11,270.0
2013-01-14,267.0
2013-01-15,267.62
2013-01-16,268.0
2013-01-17,268.06
2013-01-18,268.0
2013-01-21,269.0
2013-01-22,269.3
2013-01-23,269.0
2013-01-24,269.05
2013-01-25,274.0
2013-01-28,275.75
2013-01-29,269.78
2013-01-30,264.04
2013-01-31,265.95
2013-02-01,263.39
2013-02-04,266.65
2013-02-05,265.98
2013-02-06,265.0
2013-02-07,265.0
2013-02-08,247.53
2013-02-11,256.0
2013-02-12,256.96
2013-02-13,248.16
2013-02-14,233.97
2013-02-15,237.8
2013-02-18,240.12
2013-02-19,242.0
2013-02-20,240.35
2013-02-21,233.08
2013-02-22,233.49
2013-02-25,232.95
2013-02-26,229.53
2013-02-27,232.95
2013-02-28,228.57
2013-03-01,232.0
2013-03-04,229.29
2013-03-05,232.9
2013-03-06,234.24
2013-03-07,230.21
2013-03-08,234.95
2013-03-11,236.7
2013-03-12,232.45
2013-03-13,231.91
2013-03-14,230.15
2013-03-15,229.5
2013-03-18,230.0
2013-03-19,227.5
2013-03-20,227.87
2013-03-21,225.18
2013-03-22,227.29
2013-03-25,220.45
2013-03-26,218.0
2013-03-28,217.49
2013-04-01,227.32
2013-04-02,231.18
2013-04-03,234.7
2013-04-04,231.43
2013-04-05,226.09
2013-04-08,230.45
2013-04-09,227.98
2013-04-10,225.0
2013-04-12,225.0
2013-04-15,230.46
2013-04-16,232.0
2013-04-17,227.76
2013-04-18,230.0
2013-04-22,225.04
2013-04-23,225.05
2013-04-25,228.5
2013-04-26,228.6
2013-04-29,228.5
2013-04-30,227.95
2013-05-02,232.77
2013-05-03,236.54
2013-05-06,230.0
2013-05-07,234.0
2013-05-08,231.77
2013-05-09,233.0
2013-05-10,228.49
2013-05-13,234.64
2013-05-14,230.0
2013-05-15,234.0
2013-05-16,236.06
2013-05-17,235.99
2013-05-20,236.0
2013-05-21,233.1
2013-05-22,233.05
2013-05-23,225.56
2013-05-24,230.0
2013-05-27,225.89
2013-05-28,222.47
2013-05-29,222.15
2013-05-30,220.55
2013-05-31,224.5
2013-06-03,224.97
2013-06-04,223.03
2013-06-05,223.0
2013-06-06,223.25
2013-06-07,223.06
2013-06-10,225.47
2013-06-11,222.0
2013-06-12,219.84
2013-06-13,218.85
2013-06-14,215.96
2013-06-17,224.79
2013-06-18,223.99
2013-06-19,220.0
2013-06-20,223.99
2013-06-21,216.0
2013-06-24,218.0
2013-06-25,217.69
2013-06-26,214.8
2013-06-27,216.85
2013-06-28,217.27
2013-07-01,223.37
2013-07-02,223.53
2013-07-03,224.0
2013-07-04,227.7
2013-07-05,224.0
2013-07-08,232.37
2013-07-09,223.58
2013-07-11,227.8
2013-07-12,223.24
2013-07-15,226.84
2013-07-16,231.5
2013-07-17,220.1
2013-07-18,221.99
2013-07-19,221.0
2013-07-22,216.55
2013-07-23,217.64
2013-07-24,214.02
2013-07-25,210.78
2013-07-26,212.66
2013-07-29,208.32
2013-07-30,207.95
2013-07-31,205.85
2013-08-01,218.2
2013-08-02,213.67
2013-08-05,212.0
2013-08-06,204.58
2013-08-07,204.88
2013-08-08,204.22
2013-08-12,205.57
2013-08-13,208.05
