Date,TALBROAUTO
2013-01-01,40.0
2013-01-02,40.05
2013-01-03,40.55
2013-01-04,40.95
2013-01-07,40.7
2013-01-08,41.0
2013-01-09,40.9
2013-01-10,40.85
2013-01-11,40.6
2013-01-14,41.0
2013-01-15,41.0
2013-01-16,41.0
2013-01-17,40.8
2013-01-18,40.75
2013-01-21,41.0
2013-01-22,40.3
2013-01-23,40.45
2013-01-24,39.55
2013-01-25,40.5
2013-01-28,40.15
2013-01-29,39.65
2013-01-30,39.1
2013-01-31,40.0
2013-02-01,40.5
2013-02-04,40.0
2013-02-05,39.05
2013-02-06,39.25
2013-02-07,38.85
2013-02-08,38.5
2013-02-11,38.7
2013-02-12,38.5
2013-02-13,38.5
2013-02-14,38.0
2013-02-15,38.5
2013-02-18,38.6
2013-02-19,38.65
2013-02-20,38.0
2013-02-21,39.0
2013-02-22,38.6
2013-02-25,38.15
2013-02-26,38.85
2013-02-27,38.0
2013-02-28,36.55
2013-03-01,39.0
2013-03-04,38.1
2013-03-05,38.05
2013-03-06,37.75
2013-03-07,38.3
2013-03-08,38.15
2013-03-11,39.0
2013-03-12,38.2
2013-03-13,38.5
2013-03-15,38.0
2013-03-18,37.0
2013-03-19,37.1
2013-03-20,37.95
2013-03-21,38.3
2013-03-22,37.65
2013-03-25,35.75
2013-03-26,36.05
2013-03-28,36.35
2013-04-02,36.5
2013-04-03,37.0
2013-04-04,36.5
2013-04-05,36.1
2013-04-08,36.0
2013-04-09,34.3
2013-04-12,33.05
2013-04-15,37.8
2013-04-18,34.3
2013-04-22,34.0
2013-04-23,34.5
2013-04-25,36.0
2013-04-26,36.0
2013-04-29,35.8
2013-04-30,36.2
2013-05-02,36.1
2013-05-03,35.6
2013-05-06,35.5
2013-05-07,35.65
2013-05-08,37.35
2013-05-09,37.5
2013-05-10,38.95
2013-05-11,37.4
2013-05-13,39.5
2013-05-14,39.8
2013-05-15,37.45
2013-05-16,38.0
2013-05-17,38.0
2013-05-21,35.6
2013-05-22,37.75
2013-05-23,38.4
2013-05-24,39.0
2013-05-27,38.0
2013-05-28,39.0
2013-05-29,38.5
2013-05-30,38.5
2013-05-31,38.5
2013-06-03,38.7
2013-06-04,39.1
2013-06-05,39.1
2013-06-06,39.0
2013-06-07,39.0
2013-06-10,39.0
2013-06-11,38.5
2013-06-12,39.0
2013-06-13,39.0
2013-06-14,39.0
2013-06-17,39.0
2013-06-18,40.0
2013-06-19,39.1
2013-06-20,38.55
2013-06-21,39.15
2013-06-24,38.9
2013-06-25,38.8
2013-06-26,38.5
2013-06-27,38.7
2013-06-28,38.6
2013-07-01,37.5
2013-07-02,38.85
2013-07-03,39.1
2013-07-04,39.1
2013-07-05,39.05
2013-07-08,39.0
2013-07-09,38.45
2013-07-10,38.95
2013-07-11,39.0
2013-07-12,39.1
2013-07-15,38.85
2013-07-16,39.0
2013-07-17,38.95
2013-07-18,38.55
2013-07-19,39.0
2013-07-22,39.0
2013-07-23,39.0
2013-07-24,38.95
2013-07-25,38.95
2013-07-26,39.0
2013-07-29,38.45
2013-07-30,38.7
