Date,UCALFUEL
2013-01-01,69.45
2013-01-02,70.25
2013-01-03,71.2
2013-01-04,70.5
2013-01-07,70.6
2013-01-08,71.1
2013-01-09,70.25
2013-01-10,70.15
2013-01-11,69.15
2013-01-14,68.6
2013-01-15,68.8
2013-01-16,68.0
2013-01-17,68.0
2013-01-18,68.0
2013-01-21,67.1
2013-01-22,67.35
2013-01-23,67.3
2013-01-24,66.15
2013-01-25,66.65
2013-01-28,67.6
2013-01-29,66.85
2013-01-30,66.15
2013-01-31,66.65
2013-02-01,66.25
2013-02-04,65.5
2013-02-05,64.35
2013-02-06,64.6
2013-02-07,63.6
2013-02-08,64.1
2013-02-11,63.3
2013-02-12,62.95
2013-02-13,63.05
2013-02-14,62.3
2013-02-15,61.9
2013-02-18,61.85
2013-02-19,61.75
2013-02-20,62.2
2013-02-21,62.8
2013-02-22,62.8
2013-02-25,60.65
2013-02-26,59.8
2013-02-27,60.65
2013-02-28,60.05
2013-03-01,56.45
2013-03-04,56.05
2013-03-05,57.15
2013-03-06,58.35
2013-03-07,58.25
2013-03-08,60.0
2013-03-11,58.9
2013-03-12,57.9
2013-03-13,56.5
2013-03-14,56.35
2013-03-15,56.0
2013-03-18,56.1
2013-03-19,55.05
2013-03-20,51.1
2013-03-21,51.35
2013-03-22,49.35
2013-03-25,49.5
2013-03-26,49.15
2013-03-28,49.05
2013-04-01,51.05
2013-04-02,53.7
2013-04-03,53.45
2013-04-04,52.5
2013-04-05,52.35
2013-04-08,51.75
2013-04-09,51.95
2013-04-10,51.6
2013-04-11,51.85
2013-04-12,52.7
2013-04-15,52.15
2013-04-16,52.65
2013-04-17,52.15
2013-04-18,53.2
2013-04-22,53.25
2013-04-23,53.75
2013-04-25,54.0
2013-04-26,53.75
2013-04-29,54.2
2013-04-30,56.2
2013-05-02,57.05
2013-05-03,55.85
2013-05-06,55.65
2013-05-07,56.05
2013-05-08,56.45
2013-05-09,55.95
2013-05-10,56.2
2013-05-11,56.0
2013-05-13,55.55
2013-05-14,56.85
2013-05-15,55.45
2013-05-16,56.7
2013-05-17,54.1
2013-05-20,52.3
2013-05-21,50.65
2013-05-22,50.3
2013-05-23,48.4
2013-05-24,48.6
2013-05-27,48.7
2013-05-28,49.5
2013-05-29,49.5
2013-05-30,49.85
2013-05-31,47.35
2013-06-03,46.75
2013-06-04,47.55
2013-06-05,47.4
2013-06-06,47.55
2013-06-07,47.4
2013-06-10,46.55
2013-06-11,45.3
2013-06-12,44.5
2013-06-13,43.85
2013-06-14,44.3
2013-06-17,43.9
2013-06-18,43.7
2013-06-19,43.8
2013-06-20,41.7
2013-06-21,41.8
2013-06-24,40.05
2013-06-25,39.85
2013-06-26,39.55
2013-06-27,39.15
2013-06-28,39.7
2013-07-01,40.25
2013-07-02,40.55
2013-07-03,40.2
2013-07-04,40.0
2013-07-05,38.6
2013-07-08,38.2
2013-07-09,39.2
2013-07-10,39.1
2013-07-11,39.7
2013-07-12,39.2
2013-07-15,39.8
2013-07-16,40.2
2013-07-17,39.8
2013-07-18,39.8
2013-07-19,39.65
2013-07-22,39.85
2013-07-23,39.25
2013-07-24,38.3
2013-07-25,38.05
2013-07-26,38.2
2013-07-29,36.55
2013-07-30,37.35
2013-07-31,35.6
2013-08-01,36.45
2013-08-02,36.25
2013-08-05,40.05
2013-08-06,42.95
2013-08-07,45.95
2013-08-08,53.55
2013-08-12,49.2
2013-08-13,45.3
2013-08-14,43.9
2013-08-16,41.75
2013-08-19,39.8
2013-08-20,38.15
2013-08-21,38.75
2013-08-22,39.3
2013-08-23,39.1
2013-08-26,40.7
2013-08-27,40.4
2013-08-28,40.9
2013-08-29,40.4
2013-08-30,41.05
2013-09-02,40.7
2013-09-03,39.75
2013-09-04,40.3
2013-09-05,41.8
2013-09-06,41.55
2013-09-10,42.4
2013-09-11,41.5
2013-09-12,41.95
2013-09-13,41.5
2013-09-16,42.45
2013-09-17,42.55
2013-09-18,42.55
2013-09-19,42.8
2013-09-20,43.55
2013-09-23,41.3
2013-09-24,41.0
2013-09-25,39.7
2013-09-26,39.75
2013-09-27,40.05
2013-09-30,39.5
2013-10-01,39.2
2013-10-03,40.2
2013-10-04,40.35
2013-10-07,42.2
2013-10-08,41.95
2013-10-09,41.6
2013-10-10,41.7
2013-10-11,41.45
2013-10-14,41.5
2013-10-15,41.25
2013-10-17,41.5
2013-10-18,41.25
2013-10-21,41.95
2013-10-22,42.1
2013-10-23,42.95
2013-10-24,45.45
2013-10-25,46.45
2013-10-28,44.4
2013-10-29,43.65
2013-10-30,43.25
2013-10-31,43.85
2013-11-01,43.3
2013-11-03,44.15
2013-11-05,44.6
2013-11-06,46.0
2013-11-07,51.05
2013-11-08,49.7
2013-11-11,45.25
2013-11-12,45.15
2013-11-13,50.05
2013-11-14,57.9
2013-11-18,53.8
2013-11-19,52.2
2013-11-20,50.35
2013-11-21,48.8
2013-11-22,49.15
2013-11-25,48.7
2013-11-26,52.2
2013-11-27,50.75
2013-11-28,50.0
2014-03-03,43.0
2014-03-04,43.3
2014-03-05,43.0
2014-03-06,43.95
2014-03-07,43.6
2014-03-10,43.9
2014-03-11,44.15
2014-03-12,44.15
2014-03-13,44.75
2014-03-14,43.6
2014-03-18,43.95
2014-03-19,47.9
2014-03-20,45.8
2014-03-21,46.45
2014-03-22,45.75
2014-03-24,45.95
2014-03-25,45.9
2014-03-26,46.45
2014-03-27,46.65
2014-03-28,48.05
2014-03-31,48.15
2014-04-01,48.2
2014-04-02,48.5
2014-04-03,50.1
2014-04-04,52.0
2014-04-07,57.1
2014-04-09,56.1
2014-04-10,54.65
2014-04-11,55.25
2014-04-15,54.05
2014-04-16,53.05
2014-04-17,54.8
2014-04-21,56.3
2014-04-22,56.9
2014-04-23,56.35
2014-04-25,55.65
2014-04-28,54.85
2014-04-29,55.1
2014-04-30,55.5
2014-05-02,57.55
2014-05-05,55.95
2014-05-06,54.25
2014-05-07,54.6
2014-05-08,54.35
2014-05-09,54.55
2014-05-12,52.3
2014-05-13,52.95
2014-05-14,53.5
2014-05-15,52.6
2014-05-16,51.95
2014-05-19,55.4
2014-05-20,60.95
2014-05-21,62.4
2014-05-22,63.5
2014-05-23,63.45
2014-05-26,60.65
2014-05-27,60.1
2014-05-28,61.25
2014-05-29,59.9
2014-05-30,59.8
2014-06-02,60.8
2014-06-03,64.4
2014-06-04,66.85
2014-06-05,70.9
2014-06-06,70.85
2014-06-09,73.95
2014-06-10,77.4
2014-06-11,74.3
2014-06-12,72.6
2014-06-13,68.85
2014-06-16,69.5
2014-06-17,73.0
2014-06-18,72.75
2014-06-19,70.9
2014-06-20,68.8
2014-06-23,68.55
2014-06-24,69.7
2014-06-25,73.9
2014-06-26,79.4
2014-06-27,79.45
2014-06-30,79.25
2014-07-01,78.55
2014-07-02,79.25
2014-07-03,77.8
2014-07-04,77.75
2014-07-07,75.85
2014-07-08,72.4
2014-07-09,72.9
2014-07-10,72.1
2014-07-11,69.75
2014-07-14,67.8
2014-07-15,69.2
2014-07-16,70.75
2014-07-17,71.25
2014-07-18,72.6
2014-07-21,72.55
2014-07-22,73.25
2014-07-23,71.15
2014-07-24,71.45
2014-07-25,68.45
2014-07-28,68.6
2014-07-30,71.9
2014-07-31,72.0
2014-08-01,72.85
2014-08-04,73.8
2014-08-05,80.0
2014-08-06,77.35
2014-08-07,75.25
2014-08-08,72.3
2014-08-11,73.15
2014-08-12,72.95
2014-08-13,69.1
2014-08-14,70.3
2014-08-18,71.0
2014-08-19,72.0
2014-08-20,72.05
2014-08-21,73.9
2014-08-22,78.8
2014-08-25,80.6
2014-08-26,79.4
2014-08-27,80.8
2014-08-28,81.25
2014-09-01,81.15
2014-09-02,86.7
2014-09-03,84.4
2014-09-04,82.8
2014-09-05,84.0
2014-09-08,90.25
2014-09-09,88.95
2014-09-10,89.9
