Date,PATSPINLTD
2013-01-01,8.0
2013-01-02,8.25
2013-01-03,8.4
2013-01-04,8.4
2013-01-07,8.5
2013-01-08,8.1
2013-01-09,8.2
2013-01-10,8.5
2013-01-11,8.3
2013-01-14,8.3
2013-01-15,8.5
2013-01-16,8.2
2013-01-17,8.75
2013-01-18,8.5
2013-01-21,8.7
2013-01-22,8.85
2013-01-23,8.45
2013-01-24,8.2
2013-01-25,8.45
2013-01-28,8.6
2013-01-29,8.7
2013-01-30,7.55
2013-01-31,7.4
2013-02-01,7.65
2013-02-04,7.65
2013-02-05,8.0
2013-02-06,7.9
2013-02-07,7.85
2013-02-08,7.85
2013-02-11,7.9
2013-02-12,7.95
2013-02-13,8.0
2013-02-14,7.3
2013-02-15,7.35
2013-02-18,7.25
2013-02-19,7.5
2013-02-20,7.5
2013-02-21,7.2
2013-02-22,7.0
2013-02-25,7.15
2013-02-26,6.75
2013-02-27,6.85
2013-02-28,6.65
2013-03-01,6.35
2013-03-04,5.85
2013-03-05,6.15
2013-03-06,5.9
2013-03-07,5.8
2013-03-08,6.8
2013-03-11,5.95
2013-03-12,5.7
2013-03-13,5.75
2013-03-14,5.4
2013-03-15,5.55
2013-03-18,5.25
2013-03-19,5.0
2013-03-20,4.0
2013-03-21,4.2
2013-03-22,4.45
2013-03-25,4.15
2013-03-26,4.35
2013-03-28,4.5
2013-04-01,4.95
2013-04-02,5.25
2013-04-03,5.25
2013-04-04,5.3
2013-04-05,5.55
2013-04-08,5.5
2013-04-09,5.3
2013-04-10,5.4
2013-04-11,5.15
2013-06-14,4.95
2013-06-17,4.95
2013-06-18,5.15
2013-06-19,5.3
2013-06-20,5.05
2013-06-21,5.0
2013-06-24,4.75
2013-06-25,4.95
2013-06-26,5.1
2013-06-27,5.0
2013-06-28,4.8
2013-07-01,5.0
2013-07-02,5.2
2013-07-03,4.95
2013-07-04,4.8
2013-07-05,5.0
2013-07-11,4.8
2013-07-12,4.85
2013-07-16,4.8
2013-07-18,4.9
2013-07-23,4.9
2013-08-13,4.7
2013-08-14,4.5
2013-08-19,4.5
2013-09-10,4.4
2013-09-24,4.2
2013-10-07,4.4
2013-10-08,4.25
2013-10-09,4.45
2013-10-10,4.25
2013-10-11,4.15
2013-10-14,4.35
2013-10-17,4.55
2013-10-22,4.75
2013-10-23,4.95
2013-10-24,5.1
2013-10-31,5.0
2013-11-01,5.25
2013-11-03,5.5
2013-11-05,5.75
2013-11-06,6.0
2013-11-07,6.3
2013-11-08,6.6
2013-11-11,6.85
2013-11-12,7.05
2013-11-13,7.0
2013-11-14,6.7
2013-11-18,6.75
2013-11-19,6.95
2013-11-20,6.65
2013-11-21,6.6
2014-05-23,8.7
2014-05-26,8.3
2014-05-27,8.5
2014-05-28,8.1
2014-05-29,7.9
2014-05-30,8.25
2014-06-02,8.65
2014-06-03,8.6
2014-06-04,9.0
2014-06-05,9.45
2014-06-06,9.85
2014-06-09,9.55
2014-06-10,9.6
2014-06-11,9.9
2014-06-12,9.8
2014-06-13,9.35
2014-06-16,9.65
2014-06-17,9.45
2014-06-18,9.55
2014-06-19,9.8
2014-06-20,10.0
2014-06-23,9.8
2014-06-24,9.95
2014-06-25,9.6
2014-06-26,9.6
2014-06-27,9.85
