Date,MOREPENLAB
2013-01-01,3.8
2013-01-02,3.8
2013-01-03,3.7
2013-01-04,3.85
2013-01-07,3.9
2013-01-08,3.85
2013-01-09,3.95
2013-01-10,3.9
2013-01-11,3.75
2013-01-14,3.7
2013-01-15,3.85
2013-01-16,3.65
2013-01-17,3.55
2013-01-18,3.5
2013-01-21,3.5
2013-01-22,3.45
2013-01-23,3.45
2013-01-24,3.45
2013-01-25,3.4
2013-01-28,3.4
2013-01-29,3.35
2013-01-30,3.35
2013-01-31,3.35
2013-02-01,3.3
2013-02-04,3.25
2013-02-05,3.6
2013-02-06,3.75
2013-02-07,3.55
2013-02-08,3.4
2013-02-11,3.5
2013-02-12,3.4
2013-02-13,3.35
2013-02-14,3.25
2013-02-15,3.25
2013-02-18,3.25
2013-02-19,3.3
2013-02-20,3.3
2013-02-21,3.25
2013-02-22,3.25
2013-02-25,3.1
2013-02-26,3.05
2013-02-27,3.05
2013-02-28,3.0
2013-03-01,3.05
2013-03-04,3.0
2013-03-05,3.0
2013-03-06,3.0
2013-03-07,3.0
2013-03-08,3.15
2013-03-11,3.1
2013-03-12,3.05
2013-03-13,2.9
2013-03-14,2.85
2013-03-15,2.85
2013-03-18,2.85
2013-03-19,2.8
2013-03-20,2.7
2013-03-21,2.65
2013-03-22,2.55
2013-03-25,2.55
2013-03-26,2.55
2013-03-28,2.55
2013-04-01,2.7
2013-04-02,2.85
2013-04-03,3.0
2013-04-04,2.75
2013-04-05,2.85
2013-04-08,2.8
2013-04-09,2.8
2013-04-10,2.85
2013-04-11,2.85
2013-04-12,2.75
2013-04-15,2.9
2013-04-16,2.85
2013-04-17,2.8
2013-04-18,2.85
2013-04-22,2.75
2013-04-23,2.8
2013-04-25,2.8
2013-04-26,2.8
2013-04-29,2.85
2013-04-30,2.8
2013-05-02,2.75
2013-05-03,2.7
2013-05-06,2.7
2013-05-07,2.8
2013-05-08,2.95
2013-05-09,2.95
2013-05-10,2.9
2013-05-11,3.0
2013-05-13,2.95
2013-05-14,2.95
2013-05-15,2.9
2013-05-16,2.9
2013-05-17,2.85
2013-05-20,2.75
2013-05-21,2.7
2013-05-22,2.7
2013-05-23,2.75
2013-05-24,2.65
2013-05-27,2.75
2013-05-28,2.65
2013-05-29,2.6
2013-05-30,2.65
2013-05-31,2.65
2013-06-03,2.6
2013-06-04,2.55
2013-06-05,2.7
2013-06-06,2.6
2013-06-07,2.6
2013-06-10,2.65
2013-06-11,2.6
2013-06-12,2.5
2013-06-13,2.4
2013-06-14,2.55
2013-06-17,2.5
2013-06-18,2.55
2013-06-19,2.5
2013-06-20,2.45
2013-06-21,2.4
2013-06-24,2.35
2013-06-25,2.4
2013-06-26,2.3
2013-06-27,2.35
2013-06-28,2.3
2013-07-01,2.45
2013-07-02,2.5
2013-07-03,2.45
2013-07-04,2.45
2013-07-05,2.45
2013-07-08,2.5
2013-07-09,2.65
2013-07-10,3.15
2013-07-11,3.25
2013-07-12,2.9
2013-07-15,2.8
2013-07-16,2.85
2013-07-17,2.8
2013-07-18,2.85
2013-08-30,2.25
2013-09-02,2.35
2013-09-03,2.35
2013-09-04,2.4
2013-09-05,2.5
2013-09-06,2.7
2013-09-10,2.95
2013-09-11,3.05
2013-09-12,2.8
2013-09-13,2.8
2013-09-16,2.75
2013-09-17,2.7
2013-09-18,2.75
2013-09-19,2.7
2013-09-20,2.8
2013-09-23,2.8
2013-09-24,2.85
2013-09-25,2.8
2013-09-26,2.85
2013-09-27,2.9
2013-09-30,3.15
2013-10-01,3.45
2013-10-03,3.75
2013-10-04,3.6
2013-10-07,3.45
2013-10-08,3.4
2013-10-09,3.3
2013-10-10,3.45
2013-12-24,3.6
2013-12-26,3.75
2013-12-27,3.9
2013-12-30,4.05
2013-12-31,4.1
2014-01-01,4.3
2014-01-02,4.45
2014-03-03,3.85
2014-03-04,4.0
2014-03-05,4.2
2014-03-06,4.4
2014-03-07,4.1
2014-03-10,4.2
2014-03-11,3.95
2014-03-12,3.85
2014-03-13,3.9
2014-03-14,3.7
2014-03-18,3.95
2014-03-19,3.85
2014-03-20,3.85
2014-03-21,3.8
2014-03-22,3.75
2014-03-24,3.7
2014-03-25,3.8
2014-03-26,3.85
2014-03-27,3.8
2014-03-28,3.8
2014-03-31,3.8
2014-04-01,3.9
2014-04-02,4.1
2014-04-03,4.3
2014-04-04,4.2
2014-04-07,4.15
2014-04-09,4.15
2014-04-10,4.45
2014-04-11,4.2
2014-04-15,4.35
2014-04-16,4.1
2014-04-17,4.15
2014-04-21,4.45
2014-04-22,4.45
2014-04-23,4.35
2014-04-25,4.2
2014-04-28,4.2
2014-04-29,4.15
2014-04-30,4.1
2014-05-02,4.15
2014-05-05,4.1
2014-05-06,4.1
2014-05-07,3.95
2014-05-08,3.95
2014-05-09,3.95
2014-05-12,4.1
2014-05-13,4.05
2014-05-14,4.05
2014-05-15,3.95
2014-05-16,3.9
2014-05-19,4.2
2014-05-20,4.55
2014-05-21,5.45
2014-05-22,5.1
2014-05-23,5.6
2014-05-26,5.3
2014-05-27,5.45
2014-05-28,5.2
2014-05-29,5.1
2014-05-30,5.05
2014-06-02,4.95
2014-06-03,4.9
2014-06-04,4.95
2014-06-05,5.25
2014-06-30,5.15
2014-07-01,5.4
2014-07-02,5.4
2014-07-03,5.25
2014-07-04,5.25
2014-07-07,5.45
2014-07-08,5.2
2014-07-09,5.0
2014-07-10,5.1
2014-07-11,4.85
2014-07-14,4.65
2014-07-15,4.65
2014-07-16,4.85
2014-07-17,5.05
2014-07-18,4.85
2014-07-21,4.85
2014-07-22,4.9
2014-07-23,4.85
2014-07-24,4.65
2014-07-25,4.55
2014-07-28,4.4
2014-07-30,4.4
2014-07-31,4.4
2014-08-01,4.25
2014-08-04,4.3
2014-08-05,4.25
2014-08-06,4.2
2014-08-07,4.3
2014-08-08,4.15
2014-08-11,4.55
2014-08-12,5.0
2014-08-13,5.0
2014-08-14,5.1
2014-08-18,5.6
2014-08-19,5.85
2014-08-20,6.1
2014-08-21,6.4
2014-08-22,6.7
2014-08-25,7.0
2014-08-26,6.7
2014-08-27,7.0
2014-08-28,7.35
2014-09-01,7.7
2014-09-02,8.05
2014-09-03,8.45
2014-09-04,8.85
2014-09-05,9.25
2014-09-08,9.7
2014-09-09,10.15
2014-09-10,10.65
2014-09-11,11.15
2014-09-12,11.7
2014-09-15,12.25
2014-09-16,12.85
2014-09-17,13.45
2014-09-18,14.1
2014-09-19,14.8
2014-09-22,15.5
2014-09-23,16.25
2014-09-24,15.45
2014-09-25,14.7
2014-09-26,14.0
2014-09-29,13.3
2014-09-30,12.65
2014-10-01,12.05
2014-10-07,11.45
2014-10-08,10.9
2014-10-09,11.4
2014-11-13,12.7
2014-11-14,12.1
2014-11-17,11.65
2014-11-18,11.5
2014-11-19,10.95
2014-11-20,10.8
2014-11-21,11.3
2014-11-24,10.75
2014-11-25,10.25
2014-11-26,10.0
2014-11-27,9.85
2014-11-28,9.75
2014-12-01,9.3
2014-12-02,9.3
2014-12-03,9.75
2014-12-04,10.2
2014-12-05,9.75
2014-12-08,9.8
2014-12-09,9.45
2014-12-10,9.2
2014-12-11,8.9
2014-12-12,8.6
2014-12-15,8.2
2014-12-16,7.95
2014-12-17,7.6
2014-12-18,7.95
2014-12-19,8.3
2014-12-22,8.65
2014-12-23,8.95
2014-12-24,8.95
2014-12-26,8.95
2014-12-29,8.75
2014-12-30,9.15
2014-12-31,9.05
2015-01-01,9.5
2015-01-02,10.45
2015-01-05,10.95
2015-01-06,10.6
2015-01-07,10.7
2015-01-08,10.9
2015-01-09,10.6
2015-01-12,10.6
2015-01-13,10.6
2015-01-14,10.2
2015-01-15,10.5
2015-01-16,10.05
2015-01-19,9.95
2015-01-20,10.9
2015-01-21,10.3
2015-01-22,10.25
2015-01-23,9.8
2015-01-27,9.7
2015-01-28,9.25
2015-01-29,9.4
2015-01-30,9.1
2015-02-02,9.15
2015-02-03,9.4
2015-02-04,9.7
2015-02-05,9.65
2015-02-06,9.5
2015-02-09,10.25
2015-02-10,9.75
2015-02-11,10.95
2015-02-12,11.55
2015-02-13,11.4
2015-02-16,10.95
2015-02-18,10.6
2015-02-19,11.05
2015-02-20,10.7
2015-02-23,10.6
2015-02-24,10.75
2015-02-25,11.0
2015-02-26,10.95
2015-02-27,10.95
2015-02-28,10.55
2015-03-02,10.6
2015-03-03,10.7
2015-03-04,10.15
2015-03-05,10.0
2015-03-09,12.0
2015-03-10,13.45
2015-03-11,12.6
2015-03-12,12.65
2015-03-13,12.55
2015-03-16,13.4
2015-03-17,13.3
2015-03-18,12.8
2015-03-19,12.6
2015-03-20,11.4
2015-03-23,11.2
2015-03-24,11.1
2015-03-25,10.8
2015-03-26,10.55
2015-03-27,10.1
