Date,VASWANI
2013-01-01,5.95
2013-01-02,6.2
2013-01-03,6.5
2013-03-01,4.4
2013-03-04,4.45
2013-03-05,4.65
2013-03-06,4.85
2013-03-07,5.05
2013-03-08,5.2
2013-03-11,5.25
2013-03-12,5.25
2013-03-13,5.2
2013-03-14,5.0
2013-03-15,4.7
2013-03-18,4.55
2013-03-19,4.4
2013-03-20,4.2
2013-03-21,4.15
2013-03-22,4.25
2013-03-25,4.2
2013-03-26,4.0
2013-03-28,3.9
2013-04-01,3.8
2013-04-02,3.9
2013-04-03,4.0
2013-04-04,4.05
2013-04-05,3.85
2013-04-08,3.95
2013-04-09,3.9
2013-04-10,3.75
2013-04-11,3.85
2013-04-12,3.75
2013-04-15,3.85
2013-04-16,3.9
2013-04-17,3.8
2013-04-18,3.8
2013-04-22,3.8
2013-04-23,3.65
2013-04-25,3.7
2013-04-26,3.8
2013-04-29,3.65
2013-04-30,3.65
2013-05-02,3.75
2013-05-03,3.75
2013-05-06,3.85
2013-05-07,3.7
2013-05-08,3.7
2013-05-09,3.65
2013-05-10,3.7
2013-05-11,3.6
2013-05-13,3.65
2013-05-14,3.75
2013-05-15,3.7
2013-05-16,3.9
2013-05-17,3.85
2013-05-20,3.7
2013-05-21,3.65
2013-05-22,3.45
2013-05-23,3.5
2013-05-24,3.4
2013-05-27,3.5
2013-05-28,3.2
2013-05-29,3.25
2013-05-30,3.4
2013-05-31,3.2
2013-06-03,3.3
2013-06-04,3.05
2013-06-05,3.25
2013-06-06,3.0
2013-06-07,3.0
2013-06-10,3.05
2013-06-11,3.1
2013-06-12,2.9
2013-06-13,2.9
2013-06-14,2.8
2013-06-17,2.95
2013-06-18,3.0
2013-06-19,2.95
2013-06-20,2.9
2013-06-21,2.95
2013-06-24,3.05
2013-06-25,2.95
2013-06-26,3.15
2013-06-27,2.9
2013-06-28,3.0
2013-07-01,2.85
2013-07-02,2.85
2013-07-03,3.0
2013-07-04,2.9
2013-07-05,2.9
2013-07-08,3.15
2013-07-09,3.4
2013-07-11,3.25
2013-07-17,3.1
2013-07-18,3.25
2013-07-19,3.4
2013-07-22,3.55
2013-07-23,3.5
2013-07-24,3.65
2013-07-25,3.8
2013-07-26,3.75
2013-07-29,3.9
2013-07-30,3.8
2013-07-31,3.8
2013-08-01,3.65
2014-03-04,1.6
2014-03-05,1.65
2014-03-06,1.65
2014-03-07,1.8
2014-03-10,1.85
2014-03-11,2.0
2014-03-12,2.1
2014-03-13,2.0
2014-03-14,1.95
2014-03-18,1.9
2014-03-19,1.95
2014-03-20,1.9
2014-03-21,1.9
2014-03-22,1.9
2014-03-24,1.9
2014-03-25,1.85
2014-03-26,1.8
2014-03-28,1.8
2014-03-31,1.85
2014-04-02,1.9
2014-04-03,1.95
2014-04-04,2.0
2014-04-07,2.1
2014-04-09,2.0
2014-04-10,1.95
2014-04-11,2.0
2014-04-16,2.1
2014-04-17,2.0
2014-04-21,2.0
2014-04-22,1.95
2014-04-23,2.0
2014-04-25,2.1
2014-04-28,2.2
2014-04-29,2.3
2014-04-30,2.4
2014-05-02,2.5
2014-05-05,2.6
2014-05-08,2.5
2014-08-06,3.3
2014-08-07,3.45
2014-08-08,3.6
2014-08-11,3.75
2014-08-12,3.65
2014-08-13,3.5
2014-08-14,3.65
2014-08-18,3.65
2014-08-19,3.8
2014-08-20,3.9
2014-08-21,3.9
2014-08-22,3.8
2014-08-25,3.65
2014-08-26,3.75
2014-08-27,3.6
2014-08-28,3.5
2014-09-01,3.4
2014-09-02,3.55
2014-09-03,3.6
2014-09-04,3.65
2014-09-05,4.0
2014-09-08,4.05
2014-09-09,4.4
2014-09-10,4.55
2014-09-11,4.75
2014-09-12,4.85
2014-09-15,5.05
2014-09-16,5.0
2014-09-17,5.0
2014-09-18,5.2
2014-09-19,4.95
2014-09-22,4.9
2014-09-23,4.9
2014-09-24,4.75
2014-09-25,4.55
2014-09-26,4.5
2014-09-29,4.35
2014-09-30,4.15
2014-10-01,3.95
2014-10-07,3.8
2014-10-08,3.65
2014-10-09,3.6
2014-10-10,3.45
2014-10-13,3.3
2014-10-14,3.15
2014-10-16,3.0
2014-10-17,3.05
2014-10-20,3.0
2014-10-21,3.15
2014-10-22,3.05
2014-10-23,3.2
2014-10-27,3.35
2014-10-28,3.5
2014-10-29,3.65
2014-10-30,3.55
2014-10-31,3.65
2014-11-03,3.7
2014-11-05,3.6
2014-11-07,3.75
2014-11-10,3.8
2014-11-11,3.6
2014-11-12,3.7
2014-11-13,3.9
2014-11-14,4.0
2014-11-17,3.85
2014-11-18,3.6
2014-11-19,3.4
2014-11-20,3.3
2014-11-21,3.6
2014-11-24,3.45
2014-11-25,3.25
2014-11-26,3.3
2014-11-27,3.6
2014-11-28,3.95
2014-12-01,4.3
2014-12-02,4.7
2014-12-03,4.9
2014-12-04,5.1
2014-12-05,5.05
2014-12-08,4.8
2014-12-09,4.6
2014-12-10,4.55
2014-12-15,4.35
2014-12-16,4.15
2014-12-17,3.95
2014-12-19,3.9
2014-12-22,3.8
2014-12-23,3.9
2014-12-24,4.0
2014-12-26,3.8
2014-12-29,3.95
2014-12-30,3.8
2014-12-31,3.65
2015-01-01,3.8
2015-01-02,3.7
2015-01-05,3.85
2015-01-06,4.0
2015-01-08,3.8
2015-01-09,3.75
2015-01-12,3.7
2015-01-13,3.7
2015-01-14,3.85
2015-01-15,3.75
2015-01-16,3.75
2015-01-19,3.9
2015-01-20,3.95
2015-01-21,3.8
2015-01-22,3.7
2015-01-23,3.7
2015-01-28,3.6
2015-01-29,3.7
2015-01-30,3.6
2015-02-02,3.65
2015-02-03,3.8
2015-02-04,3.7
2015-02-05,3.55
2015-02-06,3.65
2015-02-09,3.75
2015-02-10,3.75
2015-02-11,3.65
2015-02-12,3.75
2015-02-16,3.4
2015-02-18,3.1
2015-02-19,3.35
2015-02-23,3.55
2015-02-24,3.2
2015-02-25,3.4
2015-02-26,3.55
2015-02-27,3.45
2015-02-28,3.7
2015-03-02,3.4
2015-03-03,3.7
2015-03-04,3.75
2015-03-05,3.4
2015-03-09,3.25
2015-03-10,3.45
2015-03-11,3.15
2015-03-12,3.0
2015-03-13,2.9
2015-03-16,3.0
2015-03-17,2.95
2015-03-18,2.9
2015-03-19,2.9
2015-03-20,3.15
2015-03-23,3.0
2015-03-24,3.05
2015-03-25,3.15
2015-03-26,2.9
2015-03-27,2.9
2015-03-30,2.95
2015-03-31,3.2
2015-04-01,2.9
2015-04-06,3.0
2015-04-07,2.6
2015-04-08,3.05
2015-04-09,2.9
2015-04-10,2.8
2015-04-13,3.05
2015-04-15,2.65
2015-04-16,3.0
2015-04-20,3.4
2015-04-21,3.1
2015-04-22,2.85
2015-04-23,2.85
2015-04-24,2.95
2015-04-27,3.0
2015-04-28,2.95
2015-04-29,3.05
2015-04-30,3.0
2015-05-06,2.9
2015-05-07,3.0
2015-05-08,2.8
2015-05-11,2.8
2015-05-12,2.8
2015-05-13,2.3
2015-05-14,2.75
2015-05-15,3.2
2015-05-18,2.95
2015-05-19,3.0
2015-05-21,2.55
2015-05-22,2.65
2015-05-27,3.0
2015-05-28,2.8
2015-06-01,3.3
2015-06-02,2.7
2015-06-03,2.65
2015-06-09,2.55
2015-06-10,2.45
2015-06-12,2.55
2015-06-16,2.65
2015-06-18,2.6
2015-06-19,2.5
2015-06-22,2.5
2015-06-23,2.4
2015-06-24,2.3
2015-06-25,2.3
2015-06-26,2.25
2015-07-01,2.2
2015-07-02,2.3
2015-07-10,2.4
2015-07-14,2.5
2015-07-15,2.5
2015-07-16,2.55
2015-07-21,2.6
2015-07-22,2.5
2015-07-24,2.5
2015-07-30,2.6
2015-07-31,2.65
2015-08-04,2.75
2015-08-05,2.85
2015-08-06,2.85
2015-08-07,2.8
2015-08-10,2.9
2015-08-11,2.8
2015-08-17,2.9
2015-08-18,2.8
2015-08-24,2.7
2015-08-25,2.8
2015-08-26,2.7
2015-08-28,2.6
2015-08-31,2.6
2015-09-01,2.6
2015-09-02,2.6
2015-09-04,2.5
2015-09-07,2.6
2015-09-08,2.5
2015-09-11,2.5
2015-09-15,2.5
2015-09-18,2.4
2015-09-22,2.35
2015-09-24,2.45
2015-09-28,2.45
2015-09-30,2.4
2015-10-05,2.35
2015-10-06,2.35
2015-10-07,2.45
2015-10-08,2.35
2015-10-09,2.25
2015-10-12,2.25
2015-10-20,2.35
2015-10-21,2.45
2015-11-04,2.55
2015-11-05,2.65
2015-11-09,2.75
2015-11-10,2.85
2015-11-11,2.95
2015-11-13,3.05
2015-11-16,3.2
2015-11-17,3.35
2015-11-18,3.5
2015-11-19,3.65
2015-11-20,3.8
2015-11-23,3.95
2015-11-24,3.95
2015-11-26,4.1
2015-11-27,3.95
2015-11-30,4.1
2015-12-01,4.3
2015-12-02,4.15
2015-12-07,4.3
2016-01-05,6.1
2016-01-06,6.4
2016-01-07,6.5
2016-01-08,6.7
2016-01-11,7.0
2016-01-12,7.3
2016-01-13,7.65
2016-01-14,7.95
2016-01-15,7.85
2016-01-18,7.5
2016-01-19,7.15
2016-01-20,6.8
2016-01-21,6.5
2016-01-22,6.65
2016-01-25,6.55
2016-01-27,6.65
2016-01-28,6.65
2016-01-29,6.75
2016-02-01,7.05
2016-02-02,6.95
2016-02-03,6.85
2016-02-04,7.1
2016-02-05,7.5
2016-02-08,7.9
2016-02-09,7.55
2016-02-10,7.05
2016-02-11,6.35
2016-02-12,6.65
2016-02-15,7.0
2016-02-16,6.7
2016-02-17,6.8
2016-02-18,7.15
2016-02-19,6.8
2016-02-22,7.0
2016-02-23,6.9
2016-02-24,6.5
2016-02-25,6.75
2016-02-26,6.2
2016-02-29,6.2
2016-03-01,5.7
2016-03-02,6.25
2016-03-03,6.85
2016-03-04,7.45
2016-03-08,7.7
2016-03-09,7.6
2016-03-10,7.3
2016-03-11,7.3
2016-03-14,7.5
2016-03-15,7.3
2016-03-16,7.0
2016-03-17,6.7
2016-03-18,6.8
2016-03-21,6.5
2016-03-22,6.7
2016-03-23,6.4
2016-03-28,6.5
2016-03-29,6.4
2016-03-30,6.7
2016-03-31,6.95
2016-04-01,7.2
2016-04-04,7.9
2016-04-05,8.5
2016-04-06,9.35
2016-04-07,9.25
2016-04-08,8.8
2016-04-11,8.7
2016-04-12,8.8
2016-04-13,8.75
2016-04-18,8.7
2016-04-20,8.7
2016-04-21,8.85
2016-04-22,8.65
2016-04-25,8.9
2016-04-26,8.65
2016-04-27,8.65
2016-04-28,8.3
2016-04-29,8.4
2016-05-02,8.2
2016-05-03,7.9
2016-05-04,8.0
2016-05-05,7.75
2016-05-06,8.25
2016-05-09,7.5
2016-05-10,7.7
2016-05-11,7.45
2016-05-12,7.2
2016-05-13,7.25
2016-05-16,7.15
2016-05-17,7.25
2016-05-18,7.65
2016-05-19,7.1
2016-05-20,7.0
2016-05-23,7.4
2016-05-24,7.0
2016-05-25,7.1
2016-05-26,7.1
2016-05-27,6.75
2016-05-30,6.75
2016-05-31,6.6
2016-06-01,6.75
2016-06-02,7.05
2016-06-03,7.3
2016-06-06,7.0
2016-06-07,7.0
2016-06-08,6.95
2016-06-09,7.0
2016-06-10,7.25
2016-06-13,7.2
2016-06-14,7.1
2016-06-15,7.0
2016-06-16,6.85
2016-06-17,6.8
2016-06-20,6.95
2016-06-21,7.15
2016-06-22,6.75
2016-06-23,6.7
2016-06-24,6.8
2016-06-27,7.0
2016-06-28,6.65
2016-06-29,7.4
2016-06-30,7.45
2016-07-01,7.4
2016-07-04,7.8
2016-07-05,7.45
2016-07-07,7.4
2016-07-08,7.25
2016-07-11,7.35
2016-07-12,7.0
2016-07-13,7.15
2016-07-14,7.35
2016-07-15,7.35
2016-07-18,7.45
2016-07-19,7.1
2016-07-20,7.25
2016-07-21,7.4
2016-07-22,7.7
2016-07-25,7.3
2016-07-26,7.25
2016-07-27,7.2
2016-07-28,7.05
2016-07-29,7.05
2016-08-01,7.45
2016-08-02,7.35
2016-08-03,7.3
2016-08-04,7.2
