Date,KESORAMIND
2013-01-01,145.85
2013-01-02,147.4
2013-01-03,144.65
2013-01-04,143.25
2013-01-07,144.2
2013-01-08,142.15
2013-01-09,140.7
2013-01-10,138.95
2013-01-11,135.95
2013-01-14,137.55
2013-01-15,134.85
2013-01-16,133.95
2013-01-17,133.2
2013-01-18,133.7
2013-01-21,135.2
2013-01-22,132.45
2013-01-23,125.95
2013-01-24,125.65
2013-01-25,126.75
2013-01-28,130.3
2013-01-29,125.95
2013-01-30,121.5
2013-01-31,121.75
2013-02-01,120.4
2013-02-04,126.1
2013-02-05,120.45
2013-02-06,118.25
2013-02-07,112.2
2013-02-08,111.7
2013-02-11,108.2
2013-02-12,108.15
2013-02-13,108.25
2013-02-14,102.85
2013-02-15,102.55
2013-02-18,104.4
2013-02-19,104.55
2013-02-20,105.9
2013-02-21,102.85
2013-02-22,102.45
2013-02-25,101.7
2013-02-26,104.25
2013-02-27,103.95
2013-02-28,99.2
2013-03-01,99.75
2013-03-04,93.7
2013-03-05,94.65
2013-03-06,97.55
2013-03-07,100.1
2013-03-08,100.1
2013-03-11,99.25
2013-03-12,98.35
2013-03-13,93.25
2013-03-14,93.4
2013-03-15,85.65
2013-03-18,86.8
2013-03-19,88.75
2013-03-20,86.2
2013-03-21,82.6
2013-03-22,81.45
2013-03-25,79.8
2013-03-26,84.15
2013-03-28,85.5
2013-04-01,84.75
2013-04-02,85.55
2013-04-03,84.05
2013-04-04,83.15
2013-04-05,81.35
2013-04-08,80.75
2013-04-09,80.1
2013-04-10,79.0
2013-04-11,78.8
2013-04-12,78.5
2013-04-15,77.8
2013-04-16,77.3
2013-04-17,80.0
2013-04-18,84.95
2013-04-22,95.95
2013-04-23,115.1
2013-04-25,113.6
2013-04-26,112.0
2013-04-29,107.8
2013-04-30,105.5
2013-05-02,104.2
2013-05-03,106.05
2013-05-06,106.85
2013-05-07,117.5
2013-05-08,124.9
2013-05-09,116.15
2013-06-14,69.3
2013-06-17,68.25
2013-06-18,68.85
2013-06-19,68.7
2013-06-20,67.6
2013-06-21,65.2
2013-06-24,64.4
2013-06-25,64.0
2013-06-26,62.25
2013-06-27,63.45
2013-06-28,66.6
2013-07-01,68.1
2013-07-02,65.2
2013-07-03,65.1
2013-07-04,65.25
2013-07-05,69.15
2013-07-08,67.3
2013-07-09,67.85
2013-07-10,67.25
2013-07-11,68.9
2013-07-12,68.2
2013-07-15,68.95
2013-07-16,66.3
2013-07-17,65.5
2013-07-18,66.05
2013-07-19,65.9
2013-07-22,66.3
2013-07-23,65.35
2013-07-24,62.0
2013-07-25,61.8
2013-07-26,58.0
2013-07-29,55.85
2013-07-30,53.2
2013-07-31,56.6
2013-08-01,54.8
2013-08-02,51.2
2013-08-05,54.5
2013-08-06,52.3
2013-08-07,53.05
2013-08-08,55.55
2013-08-12,56.45
2013-08-13,56.15
2013-08-14,58.2
2013-08-16,53.65
2013-08-19,51.95
2013-08-20,54.05
2013-08-21,53.8
2013-08-22,53.75
2013-08-23,54.95
2013-08-26,55.8
2013-08-27,53.3
2013-08-28,53.45
2013-08-29,53.15
2013-08-30,53.05
2013-09-02,54.25
2013-09-03,53.15
2013-09-04,53.6
2013-09-05,53.4
2013-09-06,58.15
2013-09-10,58.75
2013-09-11,60.75
2013-09-12,58.8
2013-09-13,59.4
2013-09-16,58.35
2013-09-17,58.25
2013-09-18,58.9
2013-09-19,60.05
2013-09-20,58.6
2013-09-23,58.25
2013-09-24,57.9
2013-09-25,57.95
2013-09-26,57.15
2013-09-27,59.15
2013-09-30,59.5
2013-10-01,59.35
2013-10-03,60.6
2013-10-04,61.1
2013-10-07,60.9
2013-10-08,60.05
2013-10-09,60.6
2013-10-10,63.85
2013-10-11,62.9
2013-10-14,63.55
2013-10-15,60.3
2013-10-17,60.75
2013-10-18,61.8
2013-10-21,60.15
2013-10-22,61.55
2013-10-23,61.55
2013-10-24,62.65
2013-10-25,61.45
2013-10-28,60.4
2013-10-29,61.7
2013-10-30,61.3
2013-10-31,60.7
2013-11-01,61.4
2013-11-03,64.25
