Date,MUKANDLTD
2013-01-01,30.6
2013-01-02,31.6
2013-01-03,32.3
2013-01-04,31.85
2013-01-07,32.7
2013-01-08,32.95
2013-01-09,32.55
2013-01-10,31.8
2013-01-11,31.2
2013-01-14,30.4
2013-01-15,30.2
2013-01-16,29.65
2013-01-17,29.75
2013-01-18,30.0
2013-01-21,30.05
2013-01-22,29.9
2013-01-23,30.0
2013-01-24,29.85
2013-01-25,30.1
2013-01-28,29.8
2013-01-29,29.8
2013-01-30,29.9
2013-01-31,29.8
2013-02-01,29.75
2013-02-04,29.05
2013-02-05,28.7
2013-02-06,28.5
2013-02-07,27.95
2013-02-08,27.85
2013-02-11,27.7
2013-02-12,26.95
2013-02-13,27.3
2013-02-14,26.5
2013-02-15,26.7
2013-02-18,26.45
2013-02-19,26.8
2013-02-20,27.85
2013-02-21,26.9
2013-02-22,26.8
2013-02-25,26.45
2013-02-26,25.95
2013-02-27,25.9
2013-02-28,25.95
2013-03-01,25.3
2013-03-04,24.0
2013-03-05,26.65
2013-03-06,28.0
2013-03-07,28.7
2013-03-08,29.05
2013-03-11,30.85
2013-03-12,31.5
2013-03-13,31.65
2013-03-14,31.6
2013-03-15,31.5
2013-03-18,31.5
2013-03-19,31.05
2013-03-20,28.95
2013-03-21,27.65
2013-03-22,27.5
2013-03-25,26.65
2013-03-26,26.35
2013-03-28,26.75
2013-04-01,27.35
2013-04-02,27.5
2013-04-03,27.0
2013-04-04,26.9
2013-04-05,27.2
2013-04-08,26.5
2013-04-09,26.9
2013-04-10,26.45
2013-04-11,26.45
2013-04-12,26.05
2013-04-15,26.1
2013-04-16,26.9
2013-04-17,26.8
2013-04-18,26.85
2013-04-22,27.0
2013-04-23,26.8
2013-04-25,27.05
2013-04-26,26.5
2013-04-29,26.25
2013-04-30,26.15
2013-05-02,26.25
2013-05-03,26.15
2013-05-06,26.2
2013-05-07,26.3
2013-05-08,26.2
2013-05-09,25.95
2013-05-10,25.55
2013-05-11,26.15
2013-05-13,26.0
2013-05-14,25.95
2013-05-15,25.95
2013-05-16,25.65
2013-05-17,25.65
2013-05-20,26.0
2013-05-21,25.85
2013-05-22,25.4
2013-05-23,25.15
2013-05-24,25.3
2013-05-27,25.1
2013-05-28,25.0
2013-05-29,24.75
2013-05-30,24.5
2013-05-31,24.35
2013-06-03,23.8
2013-06-04,23.25
2013-06-05,23.1
2013-06-06,22.95
2013-06-07,23.75
2013-06-10,24.35
2013-06-11,24.0
2013-06-12,23.95
2013-06-13,23.65
2013-06-14,23.75
2013-06-17,23.45
2013-06-18,23.05
2013-06-19,22.6
2013-06-20,22.25
2013-06-21,22.0
2013-06-24,21.25
2013-06-25,21.65
2013-06-26,22.25
2013-06-27,22.45
2013-06-28,22.45
2013-07-01,22.75
2013-07-02,22.4
2013-07-03,22.25
2013-07-04,22.6
2013-07-05,21.35
2013-07-08,21.3
2013-07-09,21.45
2013-07-10,21.6
2013-07-11,21.3
2013-07-12,21.3
2013-07-15,21.8
2013-07-16,21.15
2013-07-17,21.6
2013-07-18,21.15
2013-07-19,21.0
2013-07-22,21.0
2013-07-23,20.5
2013-07-24,20.0
2013-07-25,20.0
2013-07-26,19.2
2013-07-29,18.95
2013-07-30,18.7
2013-07-31,16.85
2013-08-01,17.0
2013-08-02,16.3
2013-08-05,19.5
2013-08-06,21.45
2013-08-07,21.75
2013-08-08,22.3
2013-08-12,22.15
2013-08-13,23.95
2013-08-14,22.9
2013-08-16,21.75
2013-11-29,22.85
2013-12-02,23.85
2013-12-03,23.95
2013-12-04,23.9
2013-12-05,23.6
2013-12-06,23.35
2013-12-09,24.0
2013-12-10,23.25
2013-12-11,23.0
2013-12-12,22.85
2013-12-13,23.0
2013-12-16,23.0
2013-12-17,23.0
2013-12-18,22.8
2013-12-19,23.0
2013-12-20,23.05
2013-12-23,23.5
2013-12-24,23.5
2013-12-26,23.45
2013-12-27,24.0
2013-12-30,25.2
2013-12-31,24.85
2014-01-01,25.5
2014-01-02,24.75
2014-01-03,24.2
2014-01-06,24.7
2014-01-07,24.2
2014-01-08,24.65
2014-01-09,23.9
2014-01-10,23.95
2014-01-13,23.3
2014-01-14,23.35
2014-01-15,23.15
2014-01-16,23.8
2014-01-17,23.05
2014-01-20,23.15
2014-01-21,22.7
2014-01-22,23.0
2014-01-23,22.75
2014-01-24,22.95
2014-01-27,22.3
2014-01-28,22.25
2014-01-29,21.65
2014-01-30,21.5
2014-01-31,21.4
2014-02-03,20.05
2014-02-04,20.45
2014-02-05,20.4
2014-02-06,20.05
2014-02-07,20.05
2014-02-10,20.5
2014-02-11,20.65
2014-02-12,20.2
2014-02-13,20.25
2014-02-14,20.8
2014-02-17,21.0
2014-02-18,21.6
2014-02-19,21.9
2014-02-20,21.25
2014-02-21,21.5
2014-02-24,21.5
2014-02-25,21.6
2014-02-26,21.6
2014-02-28,21.7
2014-03-03,21.5
2014-03-04,21.7
2014-03-05,21.4
2014-03-06,21.8
2014-03-07,21.9
2014-03-10,22.55
2014-03-11,21.65
2014-03-12,22.4
2014-03-13,22.7
2014-03-14,21.15
2014-03-18,20.85
2014-03-19,20.75
2014-03-20,24.9
2014-03-21,24.5
2014-03-22,24.5
2014-03-24,24.2
2014-03-25,23.7
2014-03-26,23.55
2014-03-27,22.6
2014-03-28,23.15
2014-03-31,23.5
2014-04-01,23.35
2014-04-02,25.0
2014-04-03,24.1
2014-04-04,24.6
2014-04-07,26.95
2014-04-09,27.2
2014-04-10,27.05
2014-04-11,32.45
2014-04-15,32.8
2014-04-16,29.75
2014-04-17,31.9
2014-04-21,32.05
2014-04-22,30.9
2014-04-23,30.2
2014-04-25,30.75
2014-06-13,38.15
2014-06-16,38.0
2014-06-17,38.1
2014-06-18,37.2
2014-06-19,36.7
2014-06-20,35.9
2014-06-23,37.35
2014-06-24,39.2
2014-06-25,37.3
2014-06-26,36.85
2014-06-27,36.3
2014-06-30,36.85
2014-07-01,37.65
2014-07-02,39.5
2014-07-03,39.6
2014-07-04,38.55
2014-07-07,37.3
2014-07-08,34.05
2014-07-09,34.7
2014-07-10,35.35
2014-07-11,34.05
2014-07-14,34.45
