Date,DCBBANK
2013-01-01,50.65
2013-01-02,50.4
2013-01-03,50.7
2013-01-04,51.45
2013-01-07,50.8
2013-01-08,50.05
2013-01-09,49.5
2013-01-10,49.5
2013-01-11,48.55
2013-01-14,50.75
2013-01-15,50.2
2013-01-16,49.2
2013-01-17,49.2
2013-01-18,48.55
2013-01-21,48.7
2013-01-22,48.25
2013-01-23,47.6
2013-01-24,46.45
2013-01-25,47.45
2013-01-28,48.5
2013-01-29,47.45
2013-01-30,46.8
2013-01-31,46.45
2013-02-01,46.2
2013-02-04,46.2
2013-02-05,46.0
2013-02-06,46.3
2013-02-07,45.9
2013-02-08,45.75
2013-02-11,45.8
2013-02-12,46.05
2013-02-13,45.4
2013-02-14,43.45
2013-02-15,43.9
2013-02-18,44.0
2013-02-19,44.45
2013-02-20,44.25
2013-02-21,43.55
2013-02-22,43.25
2013-02-25,43.25
2013-02-26,40.05
2013-02-27,40.9
2013-02-28,40.0
2013-03-01,40.25
2013-03-04,39.8
2013-03-05,40.75
2013-03-06,42.7
2013-03-07,44.5
2013-03-08,44.15
2013-03-11,44.05
2013-03-12,43.7
2013-03-13,43.4
2013-03-14,43.35
2013-03-15,42.1
2013-03-18,41.95
2013-03-19,40.55
2013-03-20,40.0
2013-03-21,40.15
2013-03-22,39.9
2013-03-25,40.15
2013-03-26,39.7
2013-03-28,43.0
2013-04-01,43.05
2013-04-02,43.65
2013-04-03,43.15
2013-04-04,42.35
2013-04-05,42.3
2013-04-08,42.05
2013-04-09,42.15
2013-04-10,42.2
2013-04-11,43.0
2013-04-12,43.65
2013-04-15,44.2
2013-04-16,46.7
2013-04-17,46.5
2013-04-18,46.9
2013-04-22,47.05
2013-04-23,47.3
2013-04-25,47.35
2013-04-26,46.4
2013-04-29,47.05
2013-04-30,46.95
2013-05-02,47.0
2013-05-03,46.35
2013-05-06,46.65
2013-05-07,46.85
2013-05-08,47.65
2013-05-09,47.65
2013-05-10,47.05
2013-05-11,47.15
2013-05-13,46.35
