Date,EMAMILTD
2013-01-01,599.25
2013-01-02,601.5
2013-01-03,591.4
2013-01-04,584.65
2013-01-07,586.3
2013-01-08,585.65
2013-01-09,583.05
2013-01-10,573.15
2013-01-11,581.2
2013-01-14,578.9
2013-01-15,579.85
2013-01-16,584.6
2013-01-17,583.45
2013-01-18,583.95
2013-01-21,581.0
2013-01-22,580.25
2013-01-23,580.25
2013-01-24,564.05
2013-01-25,586.2
2013-01-28,587.85
2013-01-29,580.45
2013-01-30,585.55
2013-01-31,585.05
2013-02-01,583.8
2013-02-04,583.5
2013-02-05,584.65
2013-02-06,589.6
2013-02-07,583.05
2013-02-08,575.7
2013-02-11,594.9
2013-02-12,610.15
2013-02-13,617.45
2013-02-14,619.15
2013-02-15,622.25
2013-02-18,623.2
2013-02-19,629.55
2013-02-20,632.05
2013-02-21,619.65
2013-02-22,615.35
2013-02-25,614.4
2013-02-26,606.2
2013-02-27,596.4
2013-02-28,593.9
2013-03-01,588.2
2013-03-04,588.05
2013-03-05,596.55
2013-03-06,595.4
2013-03-07,598.1
2013-03-08,600.3
2013-03-11,597.7
2013-03-12,592.85
2013-03-13,596.7
2013-03-14,593.75
2013-03-15,600.15
2013-03-18,622.15
2013-03-19,609.1
2013-03-20,605.65
2013-03-21,591.05
2013-03-22,583.45
2013-03-25,579.85
2013-03-26,592.1
2013-03-28,601.95
2013-04-01,602.3
2013-04-02,600.0
2013-04-03,602.8
2013-04-04,587.7
2013-04-05,601.7
2013-04-08,607.05
2013-04-09,599.25
2013-04-10,592.1
2013-04-11,589.85
2013-04-12,591.35
2013-04-15,599.3
2013-04-16,596.3
2013-04-17,600.35
2013-04-18,612.95
2013-04-22,614.05
2013-04-23,608.8
2013-04-25,614.75
2013-04-26,616.6
2013-04-29,625.1
2013-04-30,641.45
2013-05-02,658.0
2013-05-03,658.2
2013-05-06,664.6
2013-05-07,681.8
2013-05-08,678.25
2013-05-09,677.45
2013-05-10,675.15
2013-05-11,676.55
2013-05-13,677.45
2013-05-14,677.85
2013-05-15,682.2
2013-05-16,685.75
2013-05-17,693.6
2013-05-20,696.45
2013-05-21,728.8
2013-05-22,746.75
2013-05-23,728.8
2013-05-24,736.4
2013-05-27,779.95
2013-05-28,768.1
2013-05-29,774.55
2013-05-30,769.1
2013-05-31,765.0
2013-06-03,771.5
2013-06-04,758.0
2013-06-05,779.2
2013-06-06,765.35
2013-06-07,747.75
2013-06-10,728.65
2013-06-11,714.55
2013-06-12,700.25
2013-06-13,709.2
2013-06-14,728.6
2013-06-17,727.9
2013-06-18,717.9
2013-06-19,714.85
2013-06-20,717.9
2013-06-21,730.1
2013-06-24,715.6
2013-06-25,686.35
2013-06-26,443.9
2013-06-27,468.8
2013-06-28,480.3
2013-07-01,474.4
2013-07-02,475.75
2013-07-03,485.4
2013-07-04,501.6
2013-07-05,479.35
2013-07-08,473.15
2013-07-09,465.6
2013-07-10,493.75
2013-07-11,522.0
2013-07-12,496.3
2013-07-15,504.15
2013-07-16,491.15
2013-07-17,498.0
2013-07-18,510.95
2013-07-19,506.45
2013-07-22,510.8
2013-07-23,514.5
2013-07-24,509.55
2013-07-25,497.3
2013-07-26,496.85
2013-07-29,481.7
2013-07-30,474.1
2013-07-31,468.1
2013-08-01,468.9
2013-08-02,468.4
2013-08-05,471.5
2013-08-06,463.2
2013-08-07,441.3
2013-08-08,453.45
2013-08-12,456.3
2013-08-13,452.65
2013-08-14,450.0
2013-08-16,443.5
2013-08-19,427.75
2013-08-20,416.1
