Date,VETO
2015-04-29,78.05
2015-04-30,82.0
2015-05-04,83.0
2015-05-05,82.4
2015-05-06,81.35
2015-05-07,80.0
2015-05-08,80.0
2015-05-11,80.0
2015-05-12,80.0
2015-05-13,76.0
2015-05-14,80.0
2015-05-15,86.6
2015-05-18,86.5
2015-05-19,86.35
2015-05-20,92.3
2015-05-21,87.85
2015-05-22,84.1
2015-05-25,84.1
2015-05-26,85.0
2015-05-27,85.0
2015-05-28,82.5
2015-05-29,84.0
2015-06-01,85.0
2015-06-02,80.0
2015-06-03,82.0
2015-06-04,80.0
2015-06-08,80.0
2015-06-09,80.0
2015-06-10,84.0
2015-06-11,79.35
2015-06-12,78.5
2015-06-15,80.0
2015-06-16,77.0
2015-06-17,82.6
2015-06-18,83.1
2015-06-19,88.5
2015-06-22,88.0
2015-06-23,89.95
2015-06-24,86.15
2015-06-25,85.9
2015-06-26,93.95
2015-06-29,88.9
2015-06-30,89.55
2015-07-01,90.1
2015-07-02,90.5
2015-07-03,88.2
2015-07-06,90.0
2015-07-07,89.75
2015-07-08,89.65
2015-07-09,87.4
2015-07-10,87.5
2015-07-13,89.0
2015-07-14,87.7
2015-07-15,87.3
2015-07-16,88.7
2015-07-17,89.0
2015-07-20,89.0
2015-07-21,79.3
2015-07-22,78.9
2015-07-23,80.5
2015-07-24,77.35
2015-07-27,74.35
2015-07-28,79.3
2015-07-29,79.75
2015-07-30,80.75
2015-07-31,80.1
2015-08-03,80.1
2015-08-04,80.0
2015-08-05,81.7
2015-08-06,77.5
2015-08-07,71.15
2015-08-10,72.85
2015-08-11,74.55
2015-08-12,73.0
2015-08-13,76.8
2015-08-14,74.05
2015-08-17,71.05
2015-08-18,70.95
2015-08-19,72.6
2015-08-20,73.4
2015-08-21,74.2
2015-08-24,69.75
2015-08-25,70.3
2015-08-26,68.5
2015-08-27,69.85
2015-08-28,70.85
2015-08-31,72.45
2015-09-01,70.65
2015-09-02,71.75
2015-09-03,72.75
2015-09-04,69.7
2015-09-07,68.55
2015-09-08,70.3
2015-09-09,70.4
2015-09-10,69.25
2015-09-11,70.2
2015-09-14,71.5
2015-09-15,72.5
2015-09-16,73.45
2015-09-18,71.65
2015-09-21,73.5
2015-09-22,73.4
2015-09-23,74.6
2015-09-24,79.35
2015-09-28,77.75
2015-09-29,76.9
2015-09-30,76.7
2015-10-01,75.65
2015-10-05,75.1
2015-10-06,75.5
2015-10-07,75.45
2015-10-08,75.0
2015-10-09,75.35
2015-10-12,76.15
2015-10-13,75.4
2015-10-14,75.35
2015-10-15,82.95
2015-10-16,83.6
2015-10-19,84.05
2015-10-20,82.5
2015-10-21,80.8
2015-10-23,91.05
2015-10-26,89.95
2015-10-27,89.2
2015-10-28,93.9
2015-10-29,99.45
2015-10-30,97.55
2015-11-02,100.5
2015-11-03,99.05
2015-11-04,98.0
2015-11-05,96.85
2015-11-06,96.3
2015-11-09,102.1
2015-11-10,98.95
2015-11-11,101.75
2015-11-13,103.05
2015-11-16,111.45
2015-11-17,109.3
2015-11-18,108.35
2015-11-19,108.75
2015-11-20,106.75
2015-11-23,104.85
2015-11-24,104.75
2015-11-26,103.1
2015-11-27,102.75
2015-11-30,102.6
2015-12-01,100.35
2015-12-02,102.3
2015-12-03,105.25
2015-12-04,104.0
2015-12-07,102.1
2015-12-08,99.95
2015-12-09,94.7
2015-12-10,97.5
2015-12-11,99.95
2015-12-14,101.1
2015-12-15,101.3
2015-12-16,101.2
2015-12-17,101.85
2015-12-18,101.85
2015-12-21,104.0
2015-12-22,104.05
2015-12-23,102.7
2015-12-24,102.45
2015-12-28,101.95
2015-12-29,102.1
2015-12-30,101.95
2015-12-31,100.4
