Date,TRIVENI
2013-01-01,19.0
2013-01-02,18.8
2013-01-03,18.9
2013-01-04,18.9
2013-01-07,18.7
2013-01-08,18.95
2013-01-09,18.5
2013-01-10,18.1
2013-01-11,17.75
2013-01-14,17.8
2013-01-15,17.85
2013-01-16,17.6
2013-01-17,17.5
2013-01-18,17.35
2013-01-21,17.1
2013-01-22,17.05
2013-01-23,16.8
2013-01-24,15.9
2013-01-25,16.25
2013-01-28,16.2
2013-01-29,16.9
2013-01-30,16.5
2013-01-31,16.4
2013-02-01,16.75
2013-02-04,16.75
2013-02-05,16.55
2013-02-06,17.35
2013-02-07,17.4
2013-02-08,17.45
2013-02-11,16.95
2013-02-12,16.4
2013-02-13,16.1
2013-02-14,15.85
2013-02-15,16.5
2013-02-18,17.25
2013-02-19,17.4
2013-02-20,17.05
2013-02-21,16.45
2013-02-22,16.65
2013-02-25,16.35
2013-02-26,16.4
2013-02-27,16.65
2013-02-28,16.05
2013-03-01,16.45
2013-03-04,15.8
2013-03-05,16.35
2013-03-06,16.55
2013-03-07,16.45
2013-03-08,16.75
2013-03-11,16.75
2013-03-12,17.05
2013-03-13,17.2
2013-03-14,16.8
2013-03-15,16.1
2013-03-18,16.4
2013-03-19,15.95
2013-03-20,15.15
2013-03-21,14.75
2013-03-22,14.0
2013-03-25,13.75
2013-03-26,14.6
2013-03-28,14.9
2013-04-01,15.4
2013-04-02,16.25
2013-04-03,15.6
2013-04-04,16.5
2013-04-05,16.8
2013-04-08,15.8
2013-04-09,15.25
2013-04-10,14.9
2013-04-11,14.95
2013-06-14,14.2
2013-06-17,14.05
2013-06-18,14.25
2013-06-19,14.25
2013-06-20,14.0
2013-06-21,13.95
2013-06-24,13.45
2013-06-25,13.75
2013-06-26,14.0
2013-06-27,13.4
2013-06-28,14.05
2013-07-01,14.65
2013-07-02,14.4
2013-07-03,14.4
2013-07-04,14.9
2013-07-05,14.6
2013-07-08,13.95
2013-07-09,14.1
2013-07-10,14.3
2013-07-11,14.6
2013-07-12,14.65
2013-07-15,14.75
2013-07-16,14.4
2013-07-17,13.7
2013-07-18,13.95
2013-07-19,13.85
2013-07-22,13.75
2013-07-23,13.6
2013-07-24,13.55
2013-07-25,13.1
2013-07-26,13.1
2013-07-29,12.7
2013-07-30,12.3
2013-07-31,11.6
2013-08-01,11.85
2013-08-02,11.5
2013-08-05,11.25
2013-08-06,11.05
2013-08-07,11.65
2013-08-08,11.95
2013-08-12,12.15
2013-08-13,11.9
2013-08-14,12.1
2013-08-16,11.85
2013-08-19,11.45
2013-08-20,11.45
2013-08-21,11.2
2013-08-22,11.25
2013-08-23,11.05
2013-08-26,10.95
2013-08-27,11.2
2013-08-28,11.2
2013-08-29,11.0
2013-08-30,11.2
2013-09-02,12.3
2013-09-03,11.65
2013-09-04,12.1
2013-09-05,11.75
2013-09-06,12.1
2013-09-10,12.3
2013-09-11,12.4
2013-09-12,12.75
2013-09-13,13.0
2013-09-16,13.15
2013-09-17,13.15
2013-09-18,13.0
2013-09-19,12.75
2013-09-20,12.3
2013-09-23,11.55
2013-09-24,12.0
2013-09-25,11.7
2013-09-26,11.95
2013-09-27,11.85
2013-09-30,11.9
2013-10-01,12.2
2013-10-03,12.45
2013-10-04,12.55
2013-10-07,12.65
2013-10-08,12.55
2013-10-09,12.6
2013-10-10,12.95
2013-10-11,12.75
2013-10-14,12.55
2013-10-15,12.55
2013-10-17,13.15
2013-10-18,13.15
2013-10-21,13.4
2013-10-22,14.85
2013-10-23,15.45
2013-10-24,15.25
2013-10-25,14.95
2013-10-28,14.25
2013-10-29,13.85
2013-10-30,13.55
2013-10-31,13.95
2013-11-01,13.8
2013-11-03,14.85
2013-11-05,14.55
2013-11-06,14.75
2013-11-07,14.4
2013-11-08,14.8
2013-11-11,14.05
2013-11-12,13.65
2013-11-13,13.0
2013-11-14,13.15
2013-11-18,13.05
2013-11-19,13.05
2013-11-20,14.6
2013-11-21,14.55
2013-11-22,14.75
2013-11-25,15.0
2013-11-26,15.2
2013-11-27,14.9
2013-11-28,15.2
2013-11-29,14.3
2013-12-02,14.25
2013-12-03,14.35
2013-12-04,14.25
2013-12-05,14.1
