Date,GANDHITUBE
2013-01-01,161.75
2013-01-02,166.0
2013-01-03,164.15
2013-01-04,166.05
2013-01-07,169.45
2013-01-08,165.95
2013-01-09,165.35
2013-01-10,164.9
2013-01-11,164.75
2013-01-14,162.0
2013-01-15,162.55
2013-01-16,163.85
2013-01-17,161.75
2013-01-18,166.3
2013-01-21,164.0
2013-01-22,163.75
2013-01-23,182.1
2013-01-24,172.2
2013-01-25,170.7
2013-01-28,171.05
2013-01-29,163.8
2013-01-30,164.8
2013-01-31,168.1
2013-02-01,160.5
2013-02-04,157.45
2013-02-05,152.75
2013-02-06,150.5
2013-02-07,151.35
2013-02-08,155.45
2013-02-11,152.95
2013-02-12,152.6
2013-02-13,152.5
2013-02-14,152.9
2013-02-15,154.0
2013-02-18,151.85
2013-02-19,156.85
2013-02-20,154.0
2013-02-21,153.05
2013-02-22,153.9
2013-02-25,150.85
2013-02-26,151.7
2013-02-27,153.1
2013-02-28,150.35
2013-03-01,156.75
2013-03-04,152.35
2013-03-05,152.35
2013-03-06,155.0
2013-03-07,153.0
2013-03-08,154.0
2013-03-11,152.05
2013-03-12,152.55
2013-03-13,150.2
2013-03-14,152.65
2013-03-15,152.0
2013-03-18,150.75
2013-03-19,150.05
2013-03-20,150.0
2013-03-21,153.0
2013-03-22,151.65
2013-03-25,147.8
2013-03-26,147.3
2013-03-28,152.9
2013-04-01,150.55
2013-04-02,153.05
2013-04-03,153.0
2013-04-04,150.45
2013-04-05,153.5
2013-04-08,154.55
2013-04-09,151.1
2013-04-10,150.9
2013-04-11,150.3
2013-04-12,150.25
2013-04-15,150.45
2013-04-16,150.3
2013-04-17,151.5
2013-04-18,150.9
2013-04-22,151.0
2013-04-23,154.35
2013-04-25,153.9
2013-04-26,150.15
2013-04-29,150.15
2013-04-30,150.45
2013-05-02,150.0
2013-05-03,152.75
2013-05-06,150.0
2013-05-07,152.5
2013-05-08,150.0
2013-05-09,150.0
2013-05-10,153.5
2013-05-11,153.5
2013-05-13,152.65
2013-05-14,150.1
2013-05-15,150.0
2013-05-16,152.95
