Date,MCLEODRUSS
2013-01-01,349.85
2013-01-02,357.4
2013-01-03,359.85
2013-01-04,358.35
2013-01-07,357.8
2013-01-08,352.6
2013-01-09,352.35
2013-01-10,354.8
2013-01-11,352.2
2013-01-14,349.15
2013-01-15,349.8
2013-01-16,344.0
2013-01-17,341.85
2013-01-18,340.4
2013-01-21,340.55
2013-01-22,344.7
2013-01-23,348.3
2013-01-24,341.95
2013-01-25,342.7
2013-01-28,348.3
2013-01-29,350.45
2013-01-30,358.6
2013-01-31,362.0
2013-02-01,356.3
2013-02-04,350.65
2013-02-05,352.15
2013-02-06,364.85
2013-02-07,361.75
2013-02-08,362.65
2013-02-11,360.05
2013-02-12,355.0
2013-02-13,347.65
2013-02-14,350.65
2013-02-15,357.65
2013-02-18,365.0
2013-02-19,375.05
2013-02-20,382.55
2013-02-21,377.15
2013-02-22,382.95
2013-02-25,371.65
2013-02-26,366.85
2013-02-27,374.9
2013-02-28,356.35
2013-03-01,368.45
2013-03-04,365.2
2013-03-05,370.1
2013-03-06,372.35
2013-03-07,366.95
2013-03-08,352.9
2013-03-11,355.75
2013-03-12,357.15
2013-03-13,355.65
2013-03-14,346.6
2013-03-15,339.9
2013-03-18,345.6
2013-03-19,343.3
2013-03-20,335.65
2013-03-21,329.75
2013-03-22,341.3
2013-03-25,345.55
2013-03-26,346.95
2013-03-28,350.05
2013-04-01,359.45
2013-04-02,349.4
2013-04-03,340.1
2013-04-04,330.95
2013-04-05,343.45
2013-04-08,343.45
2013-04-09,333.5
2013-04-10,335.25
2013-04-11,336.0
2013-04-12,336.8
2013-04-15,341.75
2013-04-16,347.15
2013-04-17,320.85
2013-04-18,296.0
2013-04-22,305.4
2013-04-23,309.8
2013-04-25,312.05
2013-04-26,320.15
2013-04-29,319.95
2013-04-30,313.15
2013-05-02,316.05
2013-05-03,318.2
2013-05-06,318.0
2013-05-07,315.0
2013-05-08,307.1
2013-05-09,305.85
2013-05-10,312.45
2013-05-11,310.25
2013-05-13,312.75
2013-05-14,313.2
2013-05-15,314.45
2013-05-16,317.35
2013-05-17,314.15
2013-05-20,322.25
2013-05-21,317.9
2013-05-22,314.2
2013-05-23,300.3
2013-05-24,296.45
2013-05-27,302.5
2013-05-28,299.4
2013-05-29,305.3
2013-05-30,298.1
2013-05-31,294.65
2013-06-03,298.5
2013-06-04,303.6
2013-06-05,308.6
2013-06-06,316.25
2013-06-07,321.25
2013-06-10,317.9
2013-06-11,305.05
2013-06-12,308.1
2013-06-13,308.05
2013-06-14,316.0
2013-06-17,314.45
2013-06-18,310.5
2013-06-19,313.15
2013-06-20,305.6
2013-06-21,305.55
2013-06-24,286.5
2013-06-25,276.75
2013-06-26,270.35
2013-06-27,271.55
2013-06-28,288.8
2013-07-01,296.05
2013-07-02,293.9
2013-07-03,277.15
2013-07-04,282.45
2013-07-05,277.85
2013-07-08,278.4
2013-07-09,279.9
2013-07-10,280.2
2013-07-11,288.45
2013-07-12,286.85
2013-07-15,280.7
2013-07-16,275.35
2013-07-17,278.0
2013-07-18,287.95
2013-07-19,281.15
2013-07-22,282.45
2013-07-23,278.55
2013-07-24,285.15
2013-07-25,280.75
2013-07-26,278.15
2013-07-29,286.8
2013-07-30,287.5
2013-07-31,286.5
2013-08-01,264.05
2013-08-02,269.8
2013-08-05,278.0
2013-08-06,269.45
2013-08-07,266.2
2013-08-08,276.65
2013-08-12,275.85
2013-08-13,280.5
2013-08-14,275.95
2013-08-16,263.25
2013-08-19,249.25
2013-08-20,255.3
2013-08-21,247.25
2013-08-22,250.65
2013-08-23,251.7
2013-08-26,249.4
2013-08-27,250.5
2013-08-28,256.35
2013-08-29,253.8
2013-08-30,252.4
2013-09-02,267.1
2013-09-03,263.65
2013-09-04,267.7
2013-09-05,265.45
2013-09-06,263.95
2013-09-10,264.55
2013-09-11,264.9
2013-09-12,261.6
2013-09-13,262.95
2013-09-16,262.85
2013-09-17,261.05
2013-09-18,261.65
2013-09-19,262.7
2013-09-20,259.0
2013-09-23,256.65
2013-09-24,256.6
2013-09-25,256.55
2013-09-26,260.2
2013-09-27,254.3
2013-09-30,250.9
2013-10-01,248.95
2013-10-03,249.05
2013-10-04,249.1
2013-10-07,252.3
2013-10-08,267.2
2013-10-09,265.85
2013-10-10,272.35
2013-10-11,275.8
2013-10-14,272.0
2013-10-15,271.45
2013-10-17,280.8
2013-10-18,282.95
2013-10-21,281.85
2013-10-22,277.45
2013-10-23,275.65
2013-10-24,273.65
2013-10-25,282.75
2013-10-28,282.55
2013-10-29,285.3
2013-10-30,279.1
2013-10-31,274.2
2013-11-01,274.05
2013-11-03,271.15
2013-11-05,271.85
2013-11-06,271.15
2013-11-07,266.85
2013-11-08,263.6
2013-11-11,270.45
2013-11-12,262.5
2013-11-13,259.85
2013-11-14,264.75
2013-11-18,273.9
2013-11-19,274.5
2013-11-20,272.1
2013-11-21,273.0
2013-11-22,277.25
2013-11-25,281.85
2013-11-26,283.05
2013-11-27,282.95
2013-11-28,280.65
2013-11-29,282.15
2013-12-02,279.3
2013-12-03,299.45
2013-12-04,296.1
2013-12-05,290.75
2013-12-06,289.95
2013-12-09,290.55
2013-12-10,285.3
2013-12-11,287.7
2013-12-12,305.15
2013-12-13,299.0
2013-12-16,300.2
2013-12-17,312.5
2013-12-18,311.55
2013-12-19,309.3
2013-12-20,312.9
2013-12-23,313.05
2013-12-24,312.05
2013-12-26,309.85
2013-12-27,316.6
2013-12-30,326.7
2013-12-31,321.6
2014-01-01,323.6
2014-01-02,318.05
2014-01-03,321.2
2014-01-06,316.45
2014-01-07,315.5
2014-01-08,315.5
2014-01-09,306.65
2014-01-10,304.25
2014-01-13,298.05
2014-01-14,306.15
2014-01-15,298.85
2014-01-16,286.2
2014-01-17,286.45
2014-01-20,281.15
2014-01-21,277.05
2014-01-22,270.65
2014-01-23,273.8
2014-01-24,266.0
2014-01-27,260.15
2014-01-28,254.55
2014-01-29,256.2
2014-01-30,258.2
2014-01-31,257.1
