Date,PEARLPOLY
2013-01-01,11.0
2013-01-02,10.95
2013-01-03,10.85
2013-01-04,11.2
2013-01-07,11.0
2013-01-08,10.95
2013-01-09,11.2
2013-01-10,10.85
2013-01-11,11.25
2013-01-14,10.85
2013-01-15,10.85
2013-01-16,10.4
2013-01-17,10.9
2013-01-18,11.0
2013-01-21,10.45
2013-01-22,10.25
2013-01-23,10.7
2013-01-24,10.2
2013-01-25,9.95
2013-01-28,10.0
2013-01-29,9.7
2013-01-30,10.15
2013-02-01,9.7
2013-02-04,9.5
2013-02-05,9.55
2013-02-06,10.0
2013-02-07,10.4
2013-02-11,9.9
2013-02-12,9.8
2013-02-14,9.75
2013-02-15,9.35
2013-02-18,9.8
2013-02-19,9.35
2013-02-20,9.8
2013-02-21,9.8
2013-02-22,9.55
2013-02-25,9.25
2013-02-26,9.7
2013-02-27,9.95
2013-02-28,9.5
2013-03-01,9.05
2013-03-04,8.65
2013-03-06,9.05
2013-03-07,9.45
2013-03-08,9.15
2013-03-11,9.4
2013-03-12,9.25
2013-03-14,9.6
2013-03-19,9.15
2013-03-26,9.6
2013-04-05,9.5
2013-05-09,9.45
2013-05-17,9.0
2013-06-07,9.0
2013-06-10,9.0
2013-09-05,8.55
2013-09-10,8.15
2013-09-11,7.75
2013-09-12,7.4
2013-09-13,7.05
2013-09-16,6.7
2013-09-18,6.4
2013-09-20,6.1
2013-09-23,5.8
2013-10-23,6.0
2013-10-25,5.7
2013-10-28,5.7
2013-10-29,5.45
2013-10-30,5.2
2013-10-31,5.45
2013-11-03,5.25
2013-11-07,5.5
2013-11-08,5.25
2013-11-14,5.25
2013-11-25,5.5
2013-12-05,5.4
2013-12-17,5.65
2013-12-30,5.9
2013-12-31,5.65
2014-01-01,5.4
2014-01-07,5.4
2014-01-09,5.2
2014-01-10,5.15
2014-01-13,5.4
2014-01-15,5.65
2014-01-16,5.9
2014-01-20,6.15
2014-01-21,6.45
2014-01-22,6.75
2014-01-23,6.5
2014-01-24,6.25
2014-01-30,6.15
2014-01-31,6.2
2014-02-03,6.5
2014-02-04,6.8
2014-02-06,7.1
2014-02-07,7.45
2014-02-10,7.6
2014-02-11,7.35
2014-02-12,7.7
2014-02-14,8.05
2014-02-18,7.8
2014-02-19,7.5
2014-02-20,7.5
2014-02-21,7.5
2014-02-24,7.2
2014-02-25,6.85
2014-02-26,6.55
2014-02-28,6.85
2014-06-13,12.7
2014-06-16,12.1
2014-06-17,11.6
2014-06-18,11.2
2014-06-20,10.65
2014-06-23,10.25
2014-06-25,10.25
2014-06-26,10.1
2014-06-27,10.25
2014-06-30,10.75
2014-07-01,11.25
2014-07-02,11.8
2014-07-03,12.35
2014-07-07,12.95
2014-07-08,13.55
2014-07-09,14.2
2014-07-10,14.25
2014-07-11,13.55
2014-07-14,13.55
2014-07-15,12.95
2014-07-16,13.1
2014-07-17,13.1
2014-07-18,13.25
2014-07-21,12.75
2014-07-22,12.3
2014-07-24,11.95
2014-07-28,12.5
2014-07-30,11.95
2014-08-04,11.4
2014-08-06,11.0
2014-08-07,10.9
2014-08-08,10.95
2014-08-11,10.45
2014-08-12,10.0
2014-08-14,10.0
2014-08-19,10.25
2014-08-20,10.75
2014-08-21,11.25
2014-08-22,11.4
2014-08-25,10.95
2014-08-27,11.45
2014-08-28,12.0
2014-09-01,11.4
2014-09-02,10.85
2014-09-03,11.35
2014-09-04,11.0
2014-09-08,11.0
2014-09-09,10.8
2014-09-10,11.65
2014-09-12,12.75
2014-09-15,13.85
2014-09-16,13.3
2014-09-18,13.45
2014-09-19,14.1
2014-09-22,14.55
2014-09-23,14.0
2014-09-24,14.15
2014-09-25,14.4
2014-09-26,13.7
2014-09-29,13.1
2014-09-30,12.5
2014-10-01,12.0
2014-10-07,11.7
2014-10-10,12.6
2014-10-14,12.3
2014-10-16,12.4
2014-10-17,11.45
2014-10-20,12.55
2014-10-21,12.65
2014-10-22,13.25
2014-10-23,13.5
2014-10-27,13.75
2014-10-28,14.5
2014-10-29,15.5
2014-10-30,16.25
2014-10-31,17.05
2014-11-03,17.15
2014-11-05,16.6
2014-11-07,15.8
2014-11-10,15.5
2014-11-11,15.55
2014-11-12,15.45
2014-11-13,16.2
2014-11-14,15.6
2014-11-17,15.3
2014-11-18,15.4
2014-11-19,15.5
2014-11-20,15.15
2014-11-21,14.6
2014-11-24,15.25
2014-11-25,15.2
2014-11-28,15.7
2014-12-01,15.1
2014-12-02,15.85
2014-12-03,16.6
2014-12-04,17.4
2014-12-05,17.9
2014-12-08,18.05
2014-12-09,17.05
2014-12-10,16.65
2014-12-11,16.55
2014-12-12,16.45
2014-12-15,16.8
2014-12-16,16.4
2014-12-17,16.3
2014-12-18,16.0
2014-12-19,15.9
2014-12-22,16.5
2014-12-23,16.5
2014-12-24,16.0
2014-12-26,16.0
2014-12-29,15.8
2014-12-30,16.25
2014-12-31,16.0
2015-01-01,14.95
2015-01-02,15.55
2015-01-05,15.7
2015-01-06,16.0
2015-01-07,14.8
2015-01-08,15.0
2015-01-09,15.0
2015-01-12,14.9
2015-01-13,16.05
2015-01-14,15.25
2015-01-15,15.45
2015-01-16,15.0
2015-01-19,15.2
2015-01-20,17.6
2015-01-21,19.15
2015-01-22,18.5
2015-01-23,17.35
2015-01-27,16.6
2015-01-28,17.55
2015-01-29,17.45
2015-01-30,15.9
2015-02-02,17.0
2015-02-03,16.75
2015-02-04,15.85
2015-02-05,15.3
2015-02-06,15.0
2015-02-10,14.2
2015-02-11,14.1
2015-02-12,14.4
2015-02-13,15.1
2015-02-16,15.05
2015-02-18,14.7
2015-02-19,14.95
2015-02-20,14.5
2015-02-23,14.3
2015-02-24,14.0
2015-02-25,14.5
2015-02-27,13.5
2015-02-28,14.95
2015-03-02,13.65
2015-03-03,13.15
2015-03-04,13.9
2015-03-05,13.5
2015-03-09,13.1
2015-03-10,13.5
2015-03-11,12.7
2015-03-12,13.9
2015-03-13,12.55
2015-03-16,11.75
2015-03-17,12.8
2015-03-18,12.55
2015-03-19,13.35
2015-03-20,12.25
2015-03-23,11.3
2015-03-24,11.15
2015-03-27,10.2
2015-03-31,10.05
2015-04-01,12.05
2015-04-06,13.5
2015-04-07,13.0
2015-04-08,13.35
2015-04-09,13.35
2015-04-10,14.35
2015-04-13,13.35
2015-04-15,13.6
2015-04-16,13.75
2015-04-17,13.05
2015-04-20,13.95
2015-04-21,13.9
2015-04-22,14.0
2015-04-23,13.1
2015-04-24,12.8
2015-04-27,12.95
2015-04-28,13.0
2015-04-30,13.05
2015-05-05,12.65
2015-05-06,12.15
2015-05-07,13.75
2015-05-08,12.1
2015-05-11,13.35
2015-05-12,13.35
2015-05-13,12.6
2015-05-14,12.15
2015-05-15,13.25
2015-05-18,12.85
2015-05-19,13.45
2015-05-20,13.0
2015-05-21,13.55
2015-05-22,13.9
2015-05-25,13.75
2015-05-26,13.3
2015-05-27,13.1
2015-05-28,12.6
2015-05-29,12.6
2015-06-01,12.7
2015-06-02,12.75
2015-06-03,11.6
2015-06-04,11.0
2015-06-05,11.0
2015-06-08,11.3
2015-06-09,11.9
2015-06-10,11.05
