Date,BLISSGVS
2013-01-01,43.15
2013-01-02,43.4
2013-01-03,42.7
2013-01-04,43.1
2013-01-07,42.75
2013-01-08,42.25
2013-01-09,41.8
2013-01-10,41.7
2013-01-11,41.5
2013-01-14,41.2
2013-01-15,41.3
2013-01-16,40.05
2013-01-17,39.75
2013-01-18,39.45
2013-01-21,39.35
2013-01-22,39.95
2013-01-23,39.9
2013-01-24,39.15
2013-01-25,38.55
2013-01-28,38.65
2013-01-29,38.05
2013-01-30,37.65
2013-01-31,38.7
2013-02-01,38.05
2013-02-04,38.35
2013-02-05,37.65
2013-02-06,39.2
2013-02-07,38.55
2013-02-08,37.8
2013-02-11,37.5
2013-02-12,38.0
2013-02-13,36.5
2013-02-14,35.3
2013-02-15,34.35
2013-02-18,34.4
2013-02-19,34.15
2013-02-20,33.95
2013-02-21,33.7
2013-02-22,33.1
2013-02-25,33.0
2013-02-26,32.0
2013-02-27,31.65
2013-02-28,30.8
2013-03-01,30.55
2013-03-04,29.5
2013-03-05,29.5
2013-03-06,30.6
2013-03-07,30.7
2013-03-08,31.4
2013-03-11,31.2
2013-03-12,31.05
2013-03-13,30.65
2013-03-14,30.7
2013-03-15,30.0
2013-03-18,30.15
2013-03-19,31.05
2013-03-20,30.35
2013-03-21,28.8
2013-03-22,28.05
2013-03-25,26.95
2013-03-26,26.55
2013-03-28,26.55
2013-04-01,29.7
2013-04-02,29.95
2013-04-03,30.3
2013-04-04,30.95
2013-04-05,30.3
2013-04-08,30.85
2013-04-09,30.5
2013-04-10,30.05
2013-04-11,30.55
2013-04-12,29.6
2013-04-15,30.0
2013-04-16,30.9
2013-04-17,30.8
2013-04-18,30.55
2013-04-22,30.5
2013-04-23,29.35
2013-04-25,29.95
2013-04-26,30.3
2013-04-29,30.2
2013-04-30,29.9
2013-05-02,29.55
2013-05-03,29.55
2013-05-06,29.5
2013-05-07,29.05
2013-05-08,28.3
2013-05-09,28.2
2013-05-10,29.95
2013-05-11,29.8
2013-05-13,29.3
2013-05-14,29.5
2013-05-15,29.35
2013-05-16,29.35
2013-05-17,29.35
2013-05-20,31.65
2013-05-21,32.5
2013-05-22,32.0
2013-05-23,30.5
2013-05-24,29.6
2013-05-27,28.95
2013-05-28,28.6
2013-05-29,29.0
2013-05-30,28.45
2013-05-31,28.7
2013-06-03,28.85
2013-06-04,28.5
2013-06-05,28.65
2013-06-06,29.1
2013-06-07,29.0
2013-06-10,29.35
2013-06-11,29.3
2013-06-12,29.85
2013-06-13,30.1
2013-06-14,31.35
2013-06-17,32.0
2013-06-18,32.45
2013-06-19,31.55
2013-06-20,31.95
2013-06-21,31.05
2013-06-24,30.45
2013-06-25,29.95
2013-06-26,29.25
2013-06-27,29.15
2013-06-28,29.15
2013-07-01,29.3
2013-07-02,32.6
2013-07-03,33.0
2013-07-04,33.1
2013-07-05,32.05
2013-07-08,30.75
2013-07-09,30.95
2013-07-10,31.35
2013-07-11,31.95
2013-07-12,31.25
2013-07-15,31.55
2013-07-16,31.1
2013-07-17,30.6
2013-07-18,31.0
2013-07-19,31.0
2013-07-22,30.65
2013-07-23,30.75
2013-07-24,31.05
2013-07-25,31.1
2013-07-26,31.05
2013-07-29,31.35
2013-07-30,32.05
2013-07-31,32.6
2013-08-01,33.35
2013-08-02,33.15
2013-08-05,33.8
2013-08-06,33.4
2013-08-07,32.95
2013-08-08,32.8
2013-08-12,31.55
2013-08-13,32.7
2013-08-14,34.0
2013-08-16,31.95
2013-08-19,31.85
2013-08-20,32.35
2013-08-21,32.7
2013-08-22,32.05
2013-08-23,33.0
2013-08-26,32.45
2013-08-27,30.95
2013-08-28,31.55
2013-08-29,31.65
2013-08-30,31.7
2013-09-02,32.4
2013-09-03,31.85
2013-09-04,32.85
2013-09-05,34.05
2013-09-06,34.95
2013-09-10,36.25
2013-09-11,36.25
2013-09-12,36.9
2013-09-13,36.8
2013-09-16,37.75
2013-09-17,38.0
2013-09-18,37.9
2013-09-19,36.9
2013-09-20,38.0
2013-09-23,37.95
2013-09-24,37.9
2013-09-25,37.9
2013-09-26,38.65
2013-09-27,38.8
2013-09-30,40.95
2013-10-01,38.25
2013-10-03,35.8
