Date,SHK
2015-11-16,208.25
2015-11-17,215.8
2015-11-18,215.65
2015-11-19,217.0
2015-11-20,215.0
2015-11-23,220.15
2015-11-24,218.85
2015-11-26,217.6
2015-11-27,216.1
2015-11-30,215.8
2015-12-01,215.0
2015-12-02,215.0
2015-12-03,213.75
2015-12-04,212.25
2015-12-07,214.25
2015-12-08,216.85
2015-12-09,214.85
2015-12-10,220.55
2015-12-11,216.9
2015-12-14,218.05
2015-12-15,219.05
2015-12-16,234.35
2015-12-17,233.75
2015-12-18,243.3
2015-12-21,239.8
2015-12-22,234.25
2015-12-23,242.85
2015-12-24,237.85
2015-12-28,236.7
2015-12-29,241.15
2015-12-30,257.05
2015-12-31,253.4
2016-01-01,248.9
2016-01-04,249.85
2016-01-05,257.3
2016-01-06,259.3
2016-01-07,250.75
2016-01-08,260.1
2016-01-11,267.25
2016-01-12,269.7
2016-01-13,264.9
2016-01-14,256.8
2016-01-15,247.9
2016-01-18,244.9
2016-01-19,250.3
2016-01-20,243.95
2016-01-21,239.7
2016-01-22,246.6
2016-01-25,251.4
2016-01-27,252.05
2016-01-28,250.75
2016-01-29,258.2
2016-02-01,262.0
2016-02-02,256.0
2016-02-03,250.45
2016-02-04,248.8
2016-02-05,254.45
2016-02-08,252.9
2016-02-09,239.55
2016-02-10,232.35
2016-02-11,218.45
2016-02-12,217.4
2016-02-15,227.75
2016-02-16,224.0
2016-02-17,229.85
2016-02-18,232.15
2016-02-19,239.25
2016-02-22,238.25
2016-02-23,239.45
2016-02-24,235.3
2016-02-25,237.6
2016-02-26,231.85
2016-02-29,236.4
2016-03-01,236.05
2016-03-02,233.4
2016-03-03,234.75
2016-03-04,234.65
2016-03-08,238.3
2016-03-09,230.6
2016-03-10,238.25
2016-03-11,232.1
2016-03-14,242.25
2016-03-15,242.85
2016-03-16,241.05
2016-03-17,236.5
2016-03-18,245.15
2016-03-21,241.75
2016-03-22,238.8
2016-03-23,238.4
2016-03-28,234.1
2016-03-29,228.3
2016-03-30,228.7
2016-03-31,227.3
2016-04-01,227.05
2016-04-04,226.45
2016-04-05,227.1
2016-04-06,229.85
2016-04-07,233.65
2016-04-08,235.8
2016-04-11,238.8
2016-04-12,238.75
2016-04-13,240.05
2016-04-18,249.35
2016-04-20,249.85
2016-04-21,243.15
2016-04-22,242.7
2016-04-25,238.65
2016-04-26,235.8
2016-04-27,232.1
2016-04-28,230.85
2016-04-29,227.95
2016-05-02,229.85
2016-05-03,226.95
2016-05-04,225.25
2016-05-05,224.2
2016-05-06,225.7
2016-05-09,228.05
2016-05-10,224.3
2016-05-11,224.15
2016-05-12,221.8
2016-05-13,224.95
2016-05-16,229.1
2016-05-17,233.75
2016-05-18,227.35
2016-05-19,227.7
2016-05-20,227.8
2016-05-23,226.1
2016-05-24,222.15
2016-05-25,224.05
2016-05-26,221.9
2016-05-27,220.95
2016-05-30,222.0
2016-05-31,218.8
2016-06-01,216.2
2016-06-02,215.0
2016-06-03,211.0
2016-06-06,210.3
2016-06-07,214.3
2016-06-08,212.15
2016-06-09,221.0
2016-06-10,221.5
2016-06-13,215.85
2016-06-14,213.3
2016-06-15,212.65
2016-06-16,212.6
2016-06-17,212.2
2016-06-20,212.25
2016-06-21,216.1
2016-06-22,217.05
2016-06-23,217.1
2016-06-24,214.3
2016-06-27,215.15
2016-06-28,213.8
2016-06-29,213.05
2016-06-30,213.05
2016-07-01,212.95
2016-07-04,212.75
2016-07-05,211.25
2016-07-07,220.7
2016-07-08,227.9
2016-07-11,227.9
2016-07-12,229.65
2016-07-13,225.25
2016-07-14,228.2
2016-07-15,225.1
2016-07-18,224.2
2016-07-19,228.65
2016-07-20,231.6
2016-07-21,234.2
2016-07-22,243.85
2016-07-25,241.15
2016-07-26,241.85
2016-07-27,245.65
2016-07-28,253.2
2016-07-29,254.9
2016-08-01,258.1
2016-08-02,254.0
2016-08-03,249.7
2016-08-04,252.25
2016-08-05,257.45
2016-08-08,257.9
2016-08-09,262.45
2016-08-10,260.05
2016-08-11,261.55
2016-08-12,260.45
2016-08-16,265.85
2016-08-17,297.8
2016-08-18,291.95
