Date,NUCLEUS
2013-01-01,74.1
2013-01-02,74.25
2013-01-03,77.15
2013-01-04,78.7
2013-01-07,77.15
2013-01-08,77.35
2013-01-09,75.55
2013-01-10,74.35
2013-01-11,73.8
2013-01-14,74.0
2013-01-15,74.75
2013-01-16,73.6
2013-01-17,74.25
2013-01-18,74.75
2013-01-21,74.7
2013-01-22,73.7
2013-01-23,74.35
2013-01-24,71.75
2013-01-25,74.2
2013-01-28,75.25
2013-01-29,72.95
2013-01-30,72.45
2013-01-31,72.45
2013-02-01,71.55
2013-02-04,76.65
2013-02-05,74.1
2013-02-06,76.2
2013-02-07,79.65
2013-02-08,85.7
2013-02-11,85.35
2013-02-12,77.85
2013-02-13,78.3
2013-02-14,77.1
2013-02-15,77.35
2013-02-18,77.75
2013-02-19,78.75
2013-02-20,78.6
2013-02-21,79.9
2013-02-22,81.75
2013-02-25,80.2
2013-02-26,75.75
2013-02-27,77.5
2013-02-28,75.6
2013-03-01,79.95
2013-03-04,83.2
2013-03-05,81.6
2013-03-06,82.55
2013-03-07,80.6
2013-03-08,81.75
2013-03-11,84.05
2013-03-12,83.05
2013-03-13,82.45
2013-03-14,81.25
2013-03-15,80.15
2013-03-18,79.4
2013-03-19,78.15
2013-03-20,75.35
2013-03-21,73.0
2013-03-22,72.8
2013-03-25,72.35
2013-03-26,72.9
2013-03-28,72.5
2013-04-01,74.3
2013-04-02,78.85
2013-04-03,80.4
2013-04-04,75.45
2013-04-05,76.7
2013-04-08,75.1
2013-04-09,73.1
2013-04-10,74.2
2013-04-11,74.45
2013-04-12,73.7
2013-04-15,73.4
2013-04-16,74.3
2013-04-17,74.7
2013-04-18,73.15
2013-04-22,73.4
2013-04-23,74.2
2013-04-25,74.85
2013-04-26,74.45
2013-04-29,75.5
2013-04-30,74.3
2013-05-02,75.1
2013-05-03,74.5
2013-05-06,75.2
2013-05-07,76.15
2013-05-08,76.3
2013-05-09,75.6
2013-05-10,73.4
2013-05-11,74.9
2013-05-13,73.05
2013-05-14,73.45
2013-05-15,75.05
2013-05-16,74.55
2013-05-17,73.6
2013-05-20,73.8
2013-05-21,74.65
2013-05-22,74.95
2013-05-23,73.35
2013-05-24,72.95
2013-05-27,72.8
2013-05-28,71.6
2013-05-29,71.95
2013-05-30,71.95
2013-05-31,70.8
2013-06-03,70.15
2013-06-04,70.55
2013-06-05,71.75
2013-06-06,71.0
2013-06-07,70.4
2013-06-10,70.1
2013-06-11,70.05
2013-06-12,69.75
2013-06-13,69.55
2013-06-14,69.7
2013-06-17,69.9
2013-06-18,70.0
2013-06-19,71.0
2013-06-20,70.15
2013-06-21,69.4
2013-06-24,69.0
2013-06-25,69.55
2013-06-26,69.3
2013-06-27,69.35
2013-06-28,68.25
2013-07-01,68.55
2013-07-02,68.4
2013-07-03,67.35
2013-07-04,68.0
2013-07-05,68.55
2013-07-08,69.85
2013-07-09,69.85
2013-07-10,70.15
2013-07-11,71.7
2013-07-12,72.7
2013-07-15,74.35
2013-07-16,73.3
2013-07-17,71.95
2013-07-18,73.25
2013-07-19,73.25
2013-07-22,72.0
2013-07-23,73.65
2013-07-24,72.75
2013-07-25,72.05
2013-07-26,71.45
2013-07-29,70.15
2013-07-30,69.8
2013-07-31,67.65
2013-08-01,69.45
2013-08-02,67.9
2013-08-05,69.25
2013-08-06,69.7
2013-08-07,73.8
2013-08-08,77.7
2013-08-12,79.4
2013-08-13,80.75
2013-08-14,80.15
2013-08-16,78.05
2013-08-19,76.6
2013-08-20,76.4
2013-08-21,76.75
2013-08-22,77.15
2013-08-23,79.7
2013-08-26,81.2
2013-08-27,80.85
2013-08-28,80.55
2013-08-29,80.35
2013-08-30,84.1
2013-09-02,84.35
2013-09-03,83.8
2013-09-04,86.0
2013-09-05,87.55
2013-09-06,87.6
2013-09-10,85.45
2013-09-11,84.6
2013-09-12,84.2
2013-09-13,84.75
2013-09-16,88.15
2013-09-17,88.1
2013-09-18,88.95
2013-09-19,87.05
2013-09-20,84.85
2013-09-23,87.3
2013-09-24,87.3
2013-09-25,86.35
2013-09-26,86.55
2013-09-27,86.05
2013-09-30,92.75
2013-10-01,95.05
2013-10-03,95.75
2013-10-04,95.85
2013-10-07,102.45
2013-10-08,103.15
2013-10-09,104.2
2013-10-10,104.45
2013-10-11,100.85
2013-10-14,101.3
2013-10-15,99.5
2013-10-17,97.6
2013-10-18,98.9
2013-10-21,94.0
2013-10-22,89.9
2013-10-23,88.35
2013-10-24,87.4
2013-10-25,86.1
2013-10-28,86.5
2013-10-29,89.8
2013-10-30,90.85
2013-10-31,89.4
2013-11-01,98.3
2013-11-03,100.35
2013-11-05,103.75
2013-11-06,109.1
2013-11-07,107.25
2013-11-08,105.0
2013-11-11,106.25
2013-11-12,108.65
2013-11-13,107.45
2013-11-14,117.75
2013-11-18,116.65
2013-11-19,114.2
2013-11-20,111.15
2013-11-21,107.25
2013-11-22,111.15
2013-11-25,114.85
2013-11-26,112.15
2013-11-27,110.5
2013-11-28,111.85
2013-11-29,110.65
2013-12-02,112.45
2013-12-03,112.4
2013-12-04,108.35
2013-12-05,108.35
2013-12-06,108.15
2013-12-09,108.2
2013-12-10,105.95
2013-12-11,105.4
2013-12-12,110.0
2013-12-13,112.15
2013-12-16,118.7
2013-12-17,116.3
