Date,HINDUNILVR
2013-01-01,530.6
2013-01-02,530.5
2013-01-03,532.35
2013-01-04,534.7
2013-01-07,525.4
2013-01-08,525.5
2013-01-09,519.3
2013-01-10,516.6
2013-01-11,498.1
2013-01-14,505.3
2013-01-15,503.7
2013-01-16,500.15
2013-01-17,500.55
2013-01-18,490.4
2013-01-21,497.25
2013-01-22,480.9
2013-01-23,460.05
2013-01-24,468.8
2013-01-25,476.5
2013-01-28,470.35
2013-01-29,468.55
2013-01-30,477.45
2013-01-31,473.95
2013-02-01,464.85
2013-02-04,467.1
2013-02-05,461.5
2013-02-06,454.25
2013-02-07,456.0
2013-02-08,452.7
2013-02-11,460.55
2013-02-12,460.0
2013-02-13,455.75
2013-02-14,464.55
2013-02-15,462.1
2013-02-18,470.2
2013-02-19,476.6
2013-02-20,477.15
2013-02-21,468.25
2013-02-22,455.4
2013-02-25,451.7
2013-02-26,452.1
2013-02-27,453.25
2013-02-28,443.05
2013-03-01,452.8
2013-03-04,440.95
2013-03-05,449.9
2013-03-06,440.5
2013-03-07,433.2
2013-03-08,437.8
2013-03-11,439.05
2013-03-12,444.45
2013-03-13,446.75
2013-03-14,456.05
2013-03-15,458.6
2013-03-18,463.45
2013-03-19,453.5
2013-03-20,468.65
2013-03-21,460.8
2013-03-22,459.1
2013-03-25,461.3
2013-03-26,472.7
2013-03-28,466.95
2013-04-01,471.35
2013-04-02,470.9
2013-04-03,462.8
2013-04-04,470.05
2013-04-05,471.7
2013-04-08,477.95
2013-04-09,472.15
2013-04-10,467.95
2013-04-11,471.65
2013-04-12,479.05
2013-04-15,475.0
2013-04-16,485.8
2013-04-17,483.05
2013-04-18,483.2
2013-04-22,482.9
2013-04-23,479.35
2013-04-25,478.65
2013-04-26,465.05
2013-04-29,497.35
2013-04-30,583.8
2013-05-02,571.85
2013-05-03,572.4
2013-05-06,573.15
2013-05-07,579.35
2013-05-08,587.0
2013-05-09,584.85
2013-05-10,585.0
2013-05-11,586.1
2013-05-13,582.2
2013-05-14,583.85
2013-05-15,585.5
2013-05-16,582.75
