Date,BANSWRAS
2013-01-01,59.1
2013-01-02,58.45
2013-01-03,59.3
2013-01-04,60.7
2013-01-07,59.0
2013-01-08,59.55
2013-01-09,61.85
2013-01-10,62.9
2013-01-11,60.2
2013-01-14,61.15
2013-01-15,60.7
2013-01-16,61.0
2013-01-17,59.95
2013-01-18,60.0
2013-01-21,61.45
2013-01-22,61.6
2013-01-23,59.05
2013-01-24,58.05
2013-01-25,59.0
2013-01-28,58.1
2013-01-29,58.1
2013-01-30,56.6
2013-01-31,55.3
2013-02-01,54.5
2013-02-04,55.95
2013-02-05,53.7
2013-02-06,52.1
2013-02-07,52.65
2013-02-08,52.75
2013-02-11,53.1
2013-02-12,53.1
2013-02-13,53.0
2013-02-14,52.3
2013-02-15,52.15
2013-02-18,51.6
2013-02-19,51.15
2013-02-20,53.0
2013-02-21,50.85
2013-02-22,52.0
2013-02-25,52.0
2013-02-26,52.2
2013-02-27,50.0
2013-02-28,50.2
2013-03-01,48.5
2013-03-04,50.95
2013-03-05,47.9
2013-03-06,49.95
2013-03-07,49.95
2013-03-08,53.05
2013-03-11,55.75
2013-03-12,53.8
2013-03-13,51.05
2013-03-14,53.4
2013-03-15,50.1
2013-03-18,48.3
2013-03-19,48.4
2013-03-20,46.75
2013-03-21,46.15
2013-03-22,46.1
2013-03-25,49.75
2013-03-26,45.5
2013-03-28,47.75
2013-04-01,47.05
2013-04-03,48.75
2013-04-04,50.6
2013-04-05,50.0
2013-04-15,44.0
2013-04-18,52.75
2013-04-22,53.5
2013-04-23,53.0
2013-04-25,50.5
2013-04-26,49.8
2013-04-29,50.0
2013-04-30,50.0
2013-05-02,48.6
2013-05-03,48.1
2013-05-06,50.0
2013-05-07,50.0
2013-05-08,49.25
2013-05-09,45.95
2013-05-10,48.0
2013-05-14,47.0
2013-05-15,44.5
2013-05-16,43.4
2013-05-17,43.0
2013-05-20,43.5
2013-05-21,42.85
2013-05-22,43.0
2013-05-23,43.25
2013-05-24,43.25
2013-05-28,41.0
2013-05-30,41.0
2013-05-31,38.0
2013-06-04,41.9
2013-06-07,41.35
2013-06-28,38.05
2013-07-01,37.5
2013-07-03,37.5
2013-07-08,39.35
2013-07-12,39.0
2013-07-24,38.1
2013-07-30,36.5
2013-07-31,35.15
2013-08-02,34.75
2013-08-06,34.25
2013-08-07,35.9
2013-08-08,37.0
2013-08-14,36.8
2013-08-16,37.0
2013-08-23,36.55
2013-08-26,38.35
2013-08-30,37.85
2013-09-02,36.1
2013-09-03,37.0
2013-09-04,35.55
2013-09-06,37.3
2013-09-10,35.5
2013-09-11,35.5
2013-09-12,36.0
2013-09-13,37.8
2013-09-16,38.0
2013-09-17,36.15
2013-09-18,37.95
2013-09-19,39.75
2013-09-20,39.7
2013-09-26,40.0
2013-09-27,40.5
2013-10-07,39.05
2013-10-11,40.0
2013-10-17,42.0
2013-10-18,43.0
2013-10-21,42.05
2013-10-22,44.0
2013-10-24,45.0
2013-10-25,45.0
2013-10-30,46.0
2013-10-31,45.0
2013-11-01,45.5
2013-11-05,47.0
2013-11-08,46.0
2013-11-11,45.0
2013-11-13,43.2
2013-11-19,42.65
2013-11-22,42.0
2013-11-26,44.1
2013-11-27,44.15
2013-11-28,46.0
2013-11-29,45.0
2013-12-02,45.65
2013-12-03,47.85
2013-12-04,46.0
