Date,SMLISUZU
2013-01-01,448.9
2013-01-02,446.35
2013-01-03,445.05
2013-01-04,460.5
2013-01-07,470.15
2013-01-08,475.15
2013-01-09,470.9
2013-01-10,462.3
2013-01-11,454.9
2013-01-14,445.15
2013-01-15,448.95
2013-01-16,436.8
2013-01-17,435.9
2013-01-18,437.3
2013-01-21,435.6
2013-01-22,435.45
2013-01-23,431.95
2013-01-24,427.0
2013-01-25,424.35
2013-01-28,427.45
2013-01-29,425.1
2013-01-30,426.5
2013-01-31,410.5
2013-02-01,408.75
2013-02-04,400.5
2013-02-05,404.2
2013-02-06,399.5
2013-02-07,402.3
2013-02-08,405.0
2013-02-11,404.95
2013-02-12,401.0
2013-02-13,400.0
2013-02-14,394.75
2013-02-15,358.85
2013-02-18,351.9
2013-02-19,359.7
2013-02-20,355.65
2013-02-21,347.0
2013-02-22,357.3
2013-02-25,353.95
2013-02-26,332.4
2013-02-27,339.1
2013-02-28,327.3
2013-03-01,330.1
2013-03-04,323.35
2013-03-05,329.15
2013-03-06,324.1
2013-03-07,328.1
2013-03-08,333.0
2013-03-11,336.75
2013-03-12,323.7
2013-03-13,313.9
2013-03-14,317.05
2013-03-15,313.3
2013-03-18,305.1
2013-03-19,291.5
2013-03-20,283.25
2013-03-21,286.45
2013-03-22,293.95
2013-03-25,291.3
2013-03-26,283.95
2013-03-28,295.95
2013-04-01,304.85
2013-04-02,307.9
2013-04-03,318.0
2013-04-04,315.2
2013-04-05,305.75
2013-04-08,305.0
2013-04-09,312.7
2013-04-10,308.8
2013-04-11,305.15
2013-04-12,301.05
2013-04-15,300.05
2013-04-16,294.55
2013-04-17,302.7
2013-04-18,307.7
2013-04-22,300.65
2013-04-23,310.1
2013-04-25,310.0
2013-04-26,306.75
2013-04-29,304.4
2013-04-30,304.5
2013-05-02,304.55
2013-05-03,304.3
2013-05-06,301.35
2013-05-07,313.55
2013-05-08,334.0
2013-05-09,345.45
2013-05-10,341.25
2013-05-13,325.9
2013-05-14,314.65
2013-05-15,319.55
2013-05-16,317.75
2013-05-17,310.5
2013-05-20,309.2
2013-05-21,312.85
2013-05-22,314.4
2013-05-23,310.05
2013-05-24,309.85
2013-05-27,310.8
2013-05-28,310.9
2013-05-29,308.3
2013-05-30,306.6
2013-05-31,300.2
2013-06-03,302.9
2013-06-04,298.25
2013-06-05,299.35
2013-06-06,292.75
2013-06-07,292.6
2013-06-10,296.4
2013-06-11,286.45
2013-06-12,280.35
2013-06-13,270.0
2013-06-14,281.75
2013-06-17,290.0
2013-06-18,292.6
2013-06-19,301.6
2013-06-20,293.8
