Date,ARROWTEX
2013-01-01,7.0
2013-01-02,7.0
2013-01-03,6.8
2013-01-04,6.85
2013-01-07,6.9
2013-01-08,6.95
2013-01-09,6.75
2013-01-10,6.8
2013-01-11,6.75
2013-01-14,7.0
2013-01-15,6.75
2013-01-16,6.8
2013-01-17,6.75
2013-01-18,6.8
2013-01-21,6.75
2013-01-24,6.75
2013-01-25,6.75
2013-01-28,6.75
2013-01-29,6.75
2013-01-30,6.75
2013-01-31,6.75
2013-02-01,6.75
2013-02-04,6.95
2013-02-05,6.7
2013-02-07,6.5
2013-02-08,6.3
2013-02-11,6.5
2013-02-12,6.2
2013-02-13,6.5
2013-02-14,6.55
2013-02-15,6.75
2013-02-18,6.8
2013-02-19,6.9
2013-02-21,6.9
2013-02-22,6.75
2013-02-25,6.75
2013-02-26,6.5
2013-02-27,6.7
2013-03-01,6.5
2013-03-04,6.25
2013-03-05,6.15
2013-03-06,6.45
2013-03-07,6.5
2013-03-08,6.3
2013-03-11,6.35
2013-03-12,6.65
2013-03-13,6.35
2013-03-14,6.05
2013-03-15,6.0
2013-03-18,6.05
2013-03-19,5.75
2013-03-20,5.75
2013-03-21,5.55
2013-03-22,5.6
2013-03-26,5.5
2013-04-01,5.7
2013-04-02,5.45
2013-04-03,5.2
2013-04-04,5.0
2013-04-05,5.0
2013-05-09,5.25
2013-05-10,5.5
2013-05-16,5.75
2013-05-21,5.75
2013-05-22,6.0
2013-05-23,5.7
2013-05-24,5.45
2013-05-27,5.25
2013-05-29,5.4
2013-05-30,5.25
2013-05-31,5.0
2013-06-06,5.0
2013-06-07,5.0
2013-06-10,4.75
2013-09-02,4.05
2013-09-03,4.25
2013-09-05,4.05
2013-09-06,3.85
2013-09-10,4.0
2013-09-11,4.2
2013-09-12,4.4
2013-09-13,4.6
2013-09-19,4.8
2013-09-23,4.65
2013-09-26,4.45
2013-09-30,4.3
2013-10-04,4.5
2013-10-14,4.5
2013-10-15,4.7
2013-10-18,4.5
2013-10-21,4.7
2013-10-22,4.9
2013-10-24,5.1
2013-10-25,5.35
2013-10-28,5.1
2013-10-29,4.85
2013-10-30,4.65
2013-10-31,4.6
2013-11-06,4.8
2013-11-07,5.0
2013-11-08,5.2
2013-11-11,5.45
2013-11-12,5.7
2013-11-14,5.45
2013-11-19,5.2
2013-11-20,5.2
2013-11-29,5.0
2013-12-04,5.25
2013-12-05,5.05
2013-12-06,5.3
2013-12-13,5.05
2013-12-16,4.85
2013-12-18,4.65
2013-12-24,4.85
2013-12-26,5.0
2014-01-08,5.25
2014-01-09,5.5
2014-01-10,5.75
2014-01-13,5.9
2014-01-14,5.65
2014-01-16,5.45
2014-01-20,5.25
2014-01-21,5.5
2014-01-22,5.25
2014-01-23,5.45
2014-01-24,5.3
2014-01-27,5.4
2014-01-28,5.35
2014-01-29,5.6
2014-01-31,5.4
2014-02-04,5.65
