Date,JOCIL
2013-01-01,125.1
2013-01-02,125.7
2013-01-03,126.6
2013-01-04,128.1
2013-01-07,128.0
2013-01-08,126.1
2013-01-09,126.5
2013-01-10,126.5
2013-01-11,125.7
2013-01-14,126.0
2013-01-15,125.55
2013-01-16,123.9
2013-01-17,122.4
2013-01-18,123.5
2013-01-21,124.0
2013-01-22,126.5
2013-01-23,126.5
2013-01-24,121.45
2013-01-25,122.4
2013-01-28,124.7
2013-01-29,123.7
2013-01-30,121.2
2013-01-31,121.95
2013-02-01,121.0
2013-02-04,120.6
2013-02-05,120.0
2013-02-06,121.0
2013-02-07,120.95
2013-02-08,120.05
2013-02-11,101.5
2013-02-12,99.05
2013-02-13,98.7
2013-02-14,94.3
2013-02-15,100.15
2013-02-18,97.75
2013-02-19,97.45
2013-02-20,100.2
2013-02-21,96.2
2013-02-22,94.2
2013-02-25,96.55
2013-02-26,97.0
2013-02-27,95.0
2013-02-28,92.8
2013-03-01,90.7
2013-03-04,87.5
2013-03-05,86.7
2013-03-06,89.95
2013-03-07,94.6
2013-03-08,92.35
2013-03-11,95.05
2013-03-12,92.7
2013-03-13,93.0
2013-03-14,96.6
2013-03-15,94.35
2013-03-18,92.1
2013-03-19,91.85
2013-03-20,89.2
2013-03-21,89.65
2013-03-22,87.2
2013-03-25,88.05
2013-03-26,87.45
2013-03-28,88.0
2013-04-01,90.0
2013-04-02,90.15
2013-04-03,90.0
2013-04-04,87.65
2013-04-05,90.0
2013-04-10,77.25
2013-04-11,82.1
2013-04-12,80.25
2013-04-15,81.5
2013-04-16,80.05
2013-04-18,76.5
2013-04-22,78.2
2013-04-23,85.0
2013-04-26,85.0
2013-04-30,85.5
2013-05-02,89.0
2013-05-03,90.0
2013-05-06,87.05
2013-05-07,87.5
2013-05-08,89.0
2013-05-09,92.0
2013-05-10,91.5
2013-05-13,86.6
2013-05-14,89.0
2013-05-15,89.25
2013-05-16,90.1
2013-05-17,91.0
2013-05-20,90.5
2013-05-21,85.05
2013-05-24,86.85
2013-05-27,95.0
2013-05-28,92.3
2013-05-29,93.0
2013-05-30,93.5
2013-05-31,94.0
2013-06-03,93.85
2013-06-04,89.3
2013-06-05,89.3
2013-06-06,89.95
2013-06-07,86.95
2013-06-10,90.0
2013-06-11,89.95
2013-06-13,86.0
2013-06-14,85.5
2013-06-17,89.0
2013-06-18,89.9
2013-06-19,89.95
2013-06-20,89.9
2013-06-21,89.0
2013-06-24,89.0
2013-06-25,88.0
2013-06-26,87.1
2013-06-28,89.0
2013-07-01,89.0
2013-07-02,89.0
2013-07-03,89.0
2013-07-04,89.0
2013-07-09,88.0
2013-07-11,88.0
2013-07-15,87.3
2013-07-17,90.9
2013-07-18,90.0
2013-07-19,90.0
2013-07-22,91.0
2013-07-23,91.65
2013-07-24,90.0
2013-07-25,89.0
2013-07-26,88.05
2013-07-29,89.0
2013-07-30,89.0
2013-07-31,87.0
2013-08-01,88.0
2013-08-02,91.0
2013-08-05,88.85
2013-08-06,85.5
2013-08-07,85.5
2013-08-13,84.0
2013-08-14,84.0
2013-08-16,82.35
2013-08-19,83.0
2013-08-20,83.0
2013-08-21,83.0
2013-08-22,79.0
2013-08-23,80.0
2013-08-26,79.0
2013-08-27,75.8
2013-08-29,73.8
2013-08-30,77.45
2013-09-04,79.9
2013-09-05,82.0
2013-09-06,84.85
2013-09-10,85.0
2013-09-11,85.25
2013-09-12,85.0
2013-09-18,86.15
2013-09-19,83.2
2013-09-20,86.3
2013-09-23,86.9
2013-09-24,83.9
2013-09-25,86.8
2013-09-27,86.8
2013-10-01,85.0
2013-10-03,83.1
2013-10-04,83.25
2013-10-07,83.5
2013-10-08,86.0
2013-10-10,85.7
2013-10-11,85.7
2013-10-14,81.5
2013-10-15,83.3
2013-10-17,83.0
2013-10-18,84.0
2013-10-21,84.9
2013-10-22,84.5
2013-10-23,83.95
2013-10-24,82.1
2013-10-25,78.05
2013-10-28,81.95
2013-10-29,82.05
2013-10-30,86.1
2013-10-31,87.3
2013-11-01,87.0
2013-11-05,84.7
2013-11-06,83.5
2013-11-07,85.0
2013-11-11,81.05
2013-11-12,83.0
2013-11-13,79.0
2013-11-14,79.1
2013-11-18,79.15
2013-11-19,80.0
2013-11-20,80.0
2013-11-21,82.9
2013-11-25,80.25
2013-11-26,79.25
2013-11-28,79.25
2013-11-29,78.5
2013-12-02,78.0
2013-12-03,76.0
2013-12-04,76.8
2013-12-05,80.0
2013-12-06,78.0
2013-12-09,77.0
2013-12-10,80.0
2013-12-11,78.8
2013-12-13,76.25
