Date,INDOSOLAR
2013-01-01,4.45
2013-01-02,4.35
2013-01-03,4.3
2013-01-04,4.25
2013-01-07,4.35
2013-01-08,4.25
2013-01-09,4.25
2013-01-10,4.15
2013-01-11,4.1
2013-01-14,4.0
2013-01-15,4.0
2013-01-16,4.0
2013-01-17,3.95
2013-01-18,3.85
2013-01-21,3.9
2013-01-22,3.85
2013-01-23,3.85
2013-01-24,3.65
2013-01-25,3.75
2013-01-28,3.7
2013-01-29,3.7
2013-01-30,3.75
2013-01-31,3.8
2013-02-01,3.9
2013-02-04,3.85
2013-02-05,3.75
2013-02-06,3.8
2013-02-07,3.9
2013-02-08,4.05
2013-02-11,4.05
2013-02-12,3.95
2013-02-13,4.0
2013-02-14,3.75
2013-02-15,3.75
2013-02-18,3.7
2013-02-19,3.7
2013-02-20,3.75
2013-02-21,3.75
2013-02-22,3.7
2013-02-25,3.65
2013-02-26,3.6
2013-02-27,3.65
2013-02-28,3.8
2013-03-01,3.7
2013-03-04,3.55
2013-03-05,3.5
2013-03-06,3.5
2013-03-07,3.5
2013-03-08,3.55
2013-03-11,3.5
2013-03-12,3.55
2013-03-13,3.45
2013-03-14,3.4
2013-03-15,3.35
2013-03-18,3.25
2013-03-19,3.0
2013-03-20,2.95
2013-03-21,2.65
2013-03-22,2.5
2013-03-25,2.6
2013-03-26,2.55
2013-03-28,2.55
2013-04-01,2.85
2013-04-02,2.95
2013-04-03,3.0
2013-04-04,2.95
2013-04-05,2.75
2013-04-08,2.75
2013-04-09,2.75
2013-04-10,2.7
2013-04-11,2.75
2013-04-12,2.7
2013-04-15,2.75
2013-04-16,2.6
2013-04-17,2.6
2013-04-18,2.6
2013-04-22,2.4
2013-04-23,2.4
2013-04-25,2.6
2013-04-26,2.5
2013-04-29,2.5
2013-04-30,2.4
2013-05-02,2.35
2013-05-03,2.4
2013-05-06,2.4
2013-05-07,2.55
2013-05-08,2.55
2013-05-09,2.55
2013-05-10,2.4
2013-05-11,2.5
2013-05-13,2.5
2013-05-14,2.5
2013-05-15,2.45
2013-05-16,2.4
2013-05-17,2.5
2013-05-20,2.4
2013-05-21,2.45
2013-05-22,2.35
2013-05-23,2.3
2013-05-24,2.3
2013-05-27,2.35
2013-05-28,2.3
2013-05-29,2.3
2013-05-30,2.2
2013-05-31,2.15
2013-06-03,2.15
2013-06-04,2.1
2013-06-05,2.1
2013-06-06,2.35
2013-06-07,2.25
2013-06-10,2.35
2013-06-11,2.25
2013-06-12,2.2
2013-06-13,2.2
2013-06-14,2.05
2013-06-17,2.05
2013-06-18,2.05
2013-06-19,2.3
2013-06-20,2.1
2013-06-21,2.15
2013-06-24,2.1
2013-06-25,2.0
2013-06-26,2.0
2013-06-27,1.9
2013-06-28,2.1
2013-07-01,2.1
2013-07-02,2.15
2013-07-03,2.15
2013-07-04,2.15
2013-07-05,2.05
2013-07-08,2.0
2013-07-09,2.1
2013-07-10,2.0
2013-07-11,2.0
2013-07-12,2.05
2013-07-15,2.15
2013-07-16,2.1
2013-07-17,2.05
2013-07-18,2.05
2013-07-19,2.0
2013-07-22,1.95
2013-07-23,1.9
2013-07-24,1.85
2013-07-25,1.8
2013-07-26,1.85
2013-07-29,1.85
2013-07-30,1.85
2013-07-31,1.6
2013-08-01,1.4
2013-08-02,1.4
2013-08-05,1.65
2013-08-06,1.45
2013-08-07,1.5
2013-08-08,1.6
2013-08-12,1.5
2013-08-13,1.6
2013-08-14,1.9
2013-08-16,1.8
2013-08-19,1.6
2013-08-20,1.8
2013-08-21,1.8
2013-08-22,1.75
2013-08-23,1.75
2013-08-26,1.8
2013-08-27,1.65
2013-08-28,1.75
2013-08-29,1.75
2013-08-30,1.8
2013-09-02,1.85
2013-09-03,1.7
2013-09-04,1.7
2013-09-05,1.7
2013-09-06,1.65
2013-09-10,1.65
2013-09-11,1.6
2013-09-12,1.65
2013-09-13,1.75
2013-09-16,1.8
2013-09-17,1.8
2013-09-18,1.8
2013-09-19,1.65
2013-09-20,1.8
2013-09-23,1.9
2013-09-24,1.9
2013-09-25,1.9
2013-09-26,1.85
2013-09-27,1.85
2013-09-30,1.85
2013-10-01,1.75
2013-10-03,1.8
2013-10-04,1.85
2013-10-07,1.85
2013-10-08,1.95
2013-10-09,2.1
2013-10-10,2.5
2013-10-11,3.0
2013-10-14,3.3
2013-10-15,3.6
2013-10-17,3.95
