Date,MUKTAARTS
2013-01-01,38.5
2013-01-02,39.55
2013-01-03,42.65
2013-01-04,42.1
2013-01-07,43.55
2013-01-08,41.6
2013-01-09,41.55
2013-01-10,40.5
2013-01-11,41.0
2013-01-14,40.45
2013-01-15,40.4
2013-01-16,39.6
2013-01-17,38.7
2013-01-18,38.3
2013-01-21,42.45
2013-01-22,38.8
2013-01-23,38.45
2013-01-24,37.45
2013-01-25,37.5
2013-01-28,37.35
2013-01-29,36.4
2013-01-30,36.3
2013-01-31,36.85
2013-02-01,36.65
2013-02-04,36.75
2013-02-05,36.3
2013-02-06,35.55
2013-02-07,35.85
2013-02-08,35.0
2013-02-11,35.05
2013-02-12,34.85
2013-02-13,34.4
2013-02-14,32.95
2013-02-15,32.0
2013-02-18,32.25
2013-02-19,32.5
2013-02-20,32.6
2013-02-21,32.7
2013-02-22,32.55
2013-02-25,32.0
2013-02-26,31.6
2013-02-27,30.9
2013-02-28,30.0
2013-03-01,32.55
2013-03-04,30.4
2013-03-05,30.15
2013-03-06,30.3
2013-03-07,30.7
2013-03-08,30.2
2013-03-11,30.8
2013-03-12,32.0
2013-03-13,32.35
2013-03-14,31.2
2013-03-15,31.55
2013-03-18,30.65
2013-03-19,30.65
2013-03-20,30.2
2013-03-21,29.2
2013-03-22,27.0
2013-03-25,27.1
2013-03-26,28.9
2013-03-28,28.4
2013-04-01,28.5
2013-04-02,31.7
2013-04-03,32.95
2013-04-04,30.1
2013-04-05,30.55
2013-04-08,30.55
2013-04-09,30.2
2013-04-10,30.0
2013-04-11,30.0
2013-04-12,30.25
2013-04-15,30.35
2013-04-16,30.0
2013-04-17,30.3
2013-04-18,30.7
2013-04-22,29.65
2013-04-23,29.9
2013-04-25,30.7
2013-04-26,31.0
2013-04-29,31.0
2013-04-30,30.15
2013-05-02,31.4
2013-05-03,33.6
2013-05-06,34.35
2013-05-07,32.0
2013-05-08,32.9
2013-05-09,33.35
2013-05-11,34.65
2013-05-13,33.0
2013-05-14,33.0
2013-05-15,34.55
2013-05-16,34.95
2013-05-17,33.55
2013-05-20,33.75
2013-05-21,33.1
2013-05-22,34.0
2013-05-23,34.1
2013-05-24,35.55
2013-05-27,36.65
2013-05-28,36.75
2013-05-29,35.1
2013-05-30,33.95
2013-05-31,35.2
2013-06-03,34.6
2013-06-04,36.9
2013-06-05,37.5
2013-06-06,36.4
2013-06-07,35.65
2013-06-10,34.55
2013-06-11,32.65
2013-06-12,32.05
