Date,SGL
2013-01-01,2.85
2013-01-02,2.95
2013-01-03,3.0
2013-01-04,3.0
2013-01-07,3.15
2013-01-08,3.3
2013-01-09,3.45
2013-01-10,3.55
2013-01-11,3.4
2013-01-14,3.4
2013-01-15,3.55
2013-03-01,2.75
2013-03-04,2.7
2013-03-05,2.8
2013-03-06,2.9
2013-03-07,2.85
2013-03-11,2.95
2013-03-12,2.9
2013-03-13,2.8
2013-03-14,2.9
2013-03-15,2.9
2013-03-18,2.85
2013-03-19,2.95
2013-03-20,2.95
2013-03-21,2.9
2013-03-25,2.8
2013-04-01,2.8
2013-04-03,2.7
2013-04-04,2.8
2013-04-05,2.9
2013-04-29,2.85
2013-05-29,2.8
2013-05-30,2.75
2013-06-03,2.8
2013-06-04,2.7
2013-12-02,2.3
2013-12-09,2.2
2014-01-02,2.2
2014-01-06,2.2
2014-04-04,2.2
2014-04-17,2.25
2014-07-03,2.3
2014-07-22,2.3
2014-07-25,2.4
2014-08-14,2.3
2014-08-18,2.2
2014-08-19,2.2
2014-08-20,2.2
2014-08-22,2.3
2014-08-25,2.2
2014-09-01,2.1
2014-09-10,2.2
2014-09-11,2.1
2014-09-19,2.0
2014-09-22,2.05
2014-09-23,1.95
2014-09-25,1.9
2014-09-30,1.85
2014-10-09,1.9
2014-10-14,1.85
2014-10-16,1.8
2014-10-17,1.75
2014-10-20,1.7
2014-10-28,1.65
2014-10-30,1.65
2014-10-31,1.6
2014-11-03,1.6
2014-11-05,1.6
2014-11-07,1.55
2014-11-11,1.6
2014-11-12,1.65
2014-11-13,1.7
2014-11-14,1.7
2014-11-17,1.75
2014-11-18,1.8
2014-11-19,1.85
2014-11-20,1.8
2014-11-21,1.85
2014-11-24,1.9
2014-11-25,1.95
2014-12-08,2.0
2014-12-09,1.9
2014-12-23,1.95
2014-12-30,2.0
2014-12-31,2.1
2015-01-01,2.2
2015-01-07,2.3
2015-01-08,2.35
2015-01-09,2.35
2015-01-12,2.45
2015-01-13,2.55
2015-01-22,2.45
2015-01-30,2.55
2015-03-13,2.45
2015-07-07,2.4
2015-07-13,2.35
2015-07-16,2.35
2015-07-17,2.45
2015-07-20,2.45
2015-07-21,2.55
2015-07-22,2.45
2015-07-23,2.35
2015-07-24,2.45
2015-07-27,2.5
2015-07-28,2.6
2015-07-29,2.6
2015-07-30,2.7
2015-07-31,2.8
2015-08-03,2.9
2015-08-04,3.0
2015-08-05,3.15
2015-08-06,3.3
2015-08-10,3.45
2015-08-11,3.6
2015-08-12,3.75
2015-08-13,3.9
2015-08-14,4.05
2015-08-17,4.05
2015-08-18,3.9
2015-08-19,3.75
2015-08-20,3.6
2015-08-21,3.45
2015-08-25,3.3
2015-09-02,3.45
2015-09-03,3.3
2015-09-04,3.25
2015-10-07,3.45
2015-10-08,3.35
2015-10-14,3.5
2015-10-15,3.65
2015-10-16,3.8
2015-10-19,3.95
2015-10-20,4.1
2015-10-23,4.3
2015-10-26,4.5
2015-10-27,4.7
2015-10-28,4.9
2015-10-29,5.1
2015-10-30,5.35
2015-11-02,5.6
2015-11-03,5.8
2015-11-04,6.05
2015-11-05,6.35
2015-11-06,6.65
2015-11-09,6.95
2016-01-05,6.45
2016-01-06,6.55
2016-01-07,6.7
2016-01-08,6.7
2016-01-12,6.5
2016-01-13,6.45
2016-01-14,6.5
2016-01-15,6.65
2016-01-18,6.5
2016-01-19,6.8
2016-01-20,6.9
2016-01-21,6.85
2016-01-22,6.9
2016-01-25,6.95
2016-01-27,7.1
2016-01-28,7.4
2016-01-29,7.1
2016-02-01,7.0
2016-02-02,7.0
2016-02-03,7.0
2016-02-04,6.9
2016-02-05,6.95
2016-02-08,6.3
2016-02-09,6.4
2016-02-10,6.3
2016-02-11,6.15
2016-02-12,6.0
2016-02-17,6.45
2016-02-18,6.75
2016-02-19,6.75
2016-02-22,6.65
2016-02-23,6.45
2016-02-24,6.3
2016-02-25,6.55
2016-02-26,6.75
2016-02-29,6.45
2016-03-01,6.0
2016-03-02,6.25
2016-03-03,6.4
2016-03-04,5.9
2016-03-09,6.8
2016-03-10,7.05
2016-03-11,6.95
2016-03-14,5.8
2016-03-15,6.3
2016-03-16,6.2
2016-03-17,5.8
2016-03-18,6.2
2016-03-21,5.8
2016-03-22,5.75
2016-03-23,6.4
2016-03-28,5.65
2016-03-29,5.85
2016-03-30,5.35
2016-03-31,5.0
2016-04-04,5.5
2016-04-05,5.05
2016-04-06,5.35
2016-04-07,4.8
2016-04-08,4.6
2016-04-11,4.75
2016-04-12,4.65
2016-04-13,4.95
2016-04-18,4.9
2016-04-20,4.75
2016-04-21,3.95
2016-04-22,4.2
2016-04-25,4.05
2016-04-26,4.2
2016-04-27,4.5
2016-04-28,4.8
2016-04-29,4.3
2016-05-02,4.65
2016-05-03,4.3
2016-05-04,4.35
2016-05-05,4.0
2016-05-06,4.4
2016-05-09,4.3
2016-05-10,4.0
2016-05-11,4.2
2016-05-12,4.0
2016-05-13,3.95
2016-05-16,3.9
2016-05-17,3.8
2016-05-18,3.8
2016-05-19,3.75
2016-05-20,3.6
2016-05-23,3.55
2016-05-24,3.8
2016-05-25,3.6
2016-05-26,3.65
2016-05-27,3.7
2016-05-30,3.9
2016-05-31,3.15
2016-06-01,3.0
2016-06-03,3.5
2016-06-06,4.2
2016-06-07,5.0
2016-06-08,5.5
2016-06-09,5.55
2016-06-10,5.05
2016-06-13,4.55
2016-06-14,4.55
