Date,SWELECTES
2013-01-01,137.1
2013-01-02,137.35
2013-01-03,138.15
2013-01-04,138.25
2013-01-07,144.35
2013-01-08,143.5
2013-01-09,141.75
2013-01-10,143.1
2013-01-11,142.35
2013-01-14,143.7
2013-01-15,144.3
2013-01-16,146.2
2013-01-17,147.95
2013-01-18,151.5
2013-01-21,157.65
2013-01-22,161.0
2013-01-23,156.05
2013-01-24,154.45
2013-01-25,153.4
2013-01-28,155.05
2013-01-29,156.65
2013-01-30,154.3
2013-01-31,157.15
2013-02-01,155.95
2013-02-04,155.4
2013-02-05,155.05
2013-02-06,155.65
2013-02-07,153.55
2013-02-08,154.35
2013-02-11,154.1
2013-02-12,151.35
2013-02-13,151.9
2013-02-14,146.7
2013-02-15,145.5
2013-02-18,147.35
2013-02-19,145.0
2013-02-20,146.25
2013-02-21,141.9
2013-02-22,142.0
2013-02-25,142.7
2013-02-26,138.9
2013-02-27,140.3
2013-02-28,137.5
2013-03-01,139.25
2013-03-04,138.65
2013-03-05,140.35
2013-03-06,141.4
2013-03-07,140.4
2013-03-08,141.35
2013-03-11,142.45
2013-03-12,140.05
2013-03-13,138.95
2013-03-14,139.7
2013-03-15,139.15
2013-03-18,139.35
2013-03-19,138.5
2013-03-20,138.25
2013-03-21,137.1
2013-03-22,137.65
2013-03-25,136.35
2013-03-26,136.8
2013-03-28,136.8
2013-04-01,140.35
2013-04-02,147.2
2013-04-03,145.35
2013-04-04,143.5
2013-04-05,143.8
2013-04-08,142.3
2013-04-09,140.55
2013-04-10,140.4
2013-04-11,142.65
2013-04-12,142.95
2013-04-15,141.4
2013-04-16,140.7
2013-04-17,139.0
2013-04-18,142.95
2013-04-22,141.15
2013-04-23,140.1
2013-04-25,142.75
2013-04-26,141.2
2013-04-29,141.1
2013-04-30,141.65
2013-05-02,144.95
2013-05-03,143.6
2013-05-06,144.35
2013-05-07,143.95
2013-05-08,143.4
2013-05-09,143.1
2013-05-10,142.7
2013-05-11,142.4
2013-05-13,146.75
2013-05-14,146.35
2013-05-15,149.0
2013-05-16,147.55
2013-05-17,149.6
2013-05-20,144.9
2013-05-21,144.55
2013-05-22,144.45
2013-05-23,137.95
2013-05-24,141.75
2013-05-27,141.25
2013-05-28,144.35
2013-05-29,145.55
2013-05-30,149.75
2013-05-31,150.1
2013-06-03,149.85
2013-06-04,149.6
2013-06-05,148.85
2013-06-06,148.45
2013-06-07,148.0
