Date,ORIENTALTL
2013-01-01,4.45
2013-01-02,4.45
2013-01-03,4.55
2013-01-04,4.35
2013-01-07,4.5
2013-01-08,4.7
2013-01-09,4.55
2013-01-10,4.65
2013-01-11,4.7
2013-01-14,4.35
2013-01-15,4.55
2013-01-16,4.95
2013-01-17,5.0
2013-01-18,4.65
2013-01-21,4.5
2013-01-22,4.45
2013-01-23,4.5
2013-01-24,4.05
2013-01-25,4.25
2013-01-28,4.15
2013-01-29,4.05
2013-01-30,4.05
2013-01-31,3.95
2013-02-01,4.1
2013-02-04,3.9
2013-02-05,4.15
2013-02-06,4.15
2013-02-07,3.95
2013-02-08,4.1
2013-02-11,3.8
2013-02-12,3.8
2013-02-13,3.8
2013-02-14,3.6
2013-02-15,3.8
2013-02-18,3.5
2013-02-19,3.85
2013-02-20,3.7
2013-02-21,3.95
2013-02-22,3.65
2013-02-25,3.8
2013-02-26,3.5
2013-02-27,3.8
2013-02-28,3.6
2013-03-01,3.65
2013-03-04,3.6
2013-03-05,3.5
2013-03-07,3.5
2013-03-08,3.3
2013-03-11,3.3
2013-03-12,3.55
2013-03-13,3.25
2013-03-14,3.2
2013-03-15,3.25
2013-03-18,3.0
2013-03-19,3.25
2013-03-20,2.95
2013-03-21,3.15
2013-03-22,2.85
2013-03-25,2.8
2013-03-26,2.7
2013-03-28,2.6
2013-04-01,2.85
2013-04-02,2.95
2013-04-04,3.0
2013-04-05,2.9
2013-04-16,3.15
2013-04-17,3.4
2013-05-17,3.1
2013-05-23,2.8
2013-05-28,3.05
2013-05-31,3.35
2013-07-11,3.2
2013-09-16,3.05
2013-10-18,2.9
2013-10-21,2.8
2013-10-22,2.7
2013-10-31,2.6
2013-11-05,2.5
2013-11-07,2.5
2013-11-19,2.4
2013-12-02,2.4
2013-12-03,2.3
2013-12-12,2.2
2013-12-13,2.3
2013-12-17,2.2
2013-12-18,2.1
2013-12-23,2.1
2014-01-13,2.0
2014-01-14,1.9
2014-01-20,1.85
2014-01-21,1.85
2014-01-22,1.8
2014-01-23,1.75
2014-01-24,1.8
2014-01-28,1.85
2014-01-30,1.9
2014-01-31,1.95
2014-02-03,1.95
2014-02-04,1.9
2014-02-05,1.85
2014-02-06,1.9
2014-02-10,1.95
2014-02-12,2.0
2014-02-13,1.9
2014-08-06,3.15
2014-08-07,3.0
2014-08-11,3.15
2014-08-12,3.0
2014-08-13,2.85
2014-08-14,2.9
2014-08-18,2.8
2014-08-19,2.7
2014-08-20,2.6
2014-08-21,2.7
2014-08-22,2.75
2014-08-25,2.85
2014-08-27,2.85
2014-08-28,2.85
2014-09-01,2.8
2014-09-02,2.7
2014-09-03,2.6
2014-09-04,2.5
2014-09-08,2.25
2014-09-09,2.35
2014-09-10,2.35
2014-09-11,2.45
2014-09-12,2.65
2014-09-15,2.8
2014-09-16,2.7
2014-09-17,2.65
2014-09-19,2.7
2014-09-22,2.65
2014-09-23,2.55
2014-09-24,2.65
2014-09-25,2.75
2014-09-26,2.85
2014-09-29,2.95
2014-10-01,3.05
2014-10-07,3.2
2014-10-08,3.05
2014-10-13,2.9
2014-10-14,2.8
2014-10-16,2.7
2014-10-17,2.8
2014-10-30,2.9
2014-10-31,3.0
2014-11-12,2.7
2014-11-13,2.8
2014-11-17,2.65
2014-11-18,2.4
2014-11-19,2.3
2014-11-21,2.4
2014-11-25,2.5
2014-11-26,2.4
2014-11-27,2.5
2014-11-28,2.6
2014-12-01,2.7
2014-12-02,2.8
2014-12-03,2.8
2014-12-04,2.9
2014-12-05,3.0
2014-12-08,2.85
2014-12-09,2.75
2014-12-11,2.85
2014-12-29,2.75
2014-12-30,2.65
2015-01-01,2.75
2015-01-02,2.65
2015-01-05,2.75
2015-01-07,2.65
2015-01-14,2.55
2015-01-15,2.45
2015-01-23,2.4
2015-01-27,2.3
2015-02-02,2.4
2015-02-06,2.5
2015-02-18,2.4
2015-02-19,2.3
2015-02-24,2.2
2015-02-25,2.15
2015-02-26,2.05
2015-02-27,2.15
2015-02-28,2.15
2015-03-03,2.25
2015-03-12,2.25
2015-03-17,2.3
2015-03-18,2.25
2015-03-20,2.35
2015-03-30,2.25
2015-03-31,2.15
2015-04-01,2.15
2015-04-08,2.25
2015-04-09,2.15
2015-04-10,2.15
2015-04-15,2.15
2015-04-17,2.05
2015-05-05,2.05
2015-05-28,2.05
2015-05-29,2.05
2015-06-01,2.0
2015-06-04,2.1
2015-06-05,2.1
2015-06-11,2.0
2015-06-12,1.9
2015-06-15,1.85
2015-06-16,1.8
2015-06-19,1.75
2015-06-23,1.75
2015-07-15,1.8
2015-07-16,1.8
2015-07-20,1.85
2015-07-21,1.9
2015-07-27,1.95
2015-08-05,2.0
2015-08-07,2.1
2015-08-11,2.0
2015-08-12,2.05
2015-08-13,2.0
2015-08-14,1.95
2015-09-02,2.0
2015-09-09,1.9
2015-09-21,1.95
2015-10-05,2.0
2015-10-09,2.1
2015-10-12,2.2
2015-10-13,2.3
2015-11-11,2.3
2015-11-13,2.4
2015-11-16,2.5
2015-11-17,2.6
2015-11-20,2.7
2015-11-23,2.8
2015-11-24,2.8
2015-11-26,2.9
2015-11-27,3.0
2015-11-30,3.15
2015-12-01,3.3
2015-12-04,3.45
2015-12-07,3.6
2016-03-10,5.7
2016-03-11,5.6
2016-03-14,5.35
2016-03-15,5.1
2016-03-16,5.1
2016-03-17,5.15
2016-03-18,5.1
2016-03-21,4.85
2016-03-22,5.0
2016-03-23,4.8
2016-03-28,5.0
2016-03-29,4.85
2016-03-30,5.05
2016-03-31,5.3
2016-04-01,5.55
2016-04-04,5.5
2016-04-05,5.75
2016-04-06,5.85
2016-04-07,6.1
2016-04-08,6.4
2016-04-11,6.7
2016-04-12,7.0
2016-04-13,7.35
2016-04-18,7.7
2016-04-20,8.05
2016-04-21,8.45
2016-04-22,8.85
2016-04-25,9.25
2016-04-26,9.7
2016-04-27,10.15
2016-04-28,10.65
2016-04-29,11.15
2016-05-02,11.7
2016-05-03,12.25
2016-05-04,12.85
2016-05-05,13.45
2016-05-06,14.1
2016-05-09,14.8
2016-06-07,11.3
2016-06-08,11.0
2016-06-09,10.5
2016-06-10,10.0
2016-06-13,10.5
2016-06-20,10.0
2016-06-21,9.5
2016-06-22,9.45
2016-06-23,9.25
2016-06-24,8.8
2016-06-27,8.9
2016-06-28,9.3
2016-06-29,9.75
2016-06-30,10.2
2016-07-01,10.7
2016-07-04,11.2
2016-07-05,11.2
2016-07-07,11.5
2016-07-08,12.05
2016-07-11,12.65
2016-07-12,13.25
2016-07-13,13.2
2016-07-14,12.55
2016-07-15,12.15
2016-07-18,12.0
2016-07-19,11.55
2016-07-20,11.0
2016-07-21,10.45
2016-07-22,10.3
2016-07-25,9.85
2016-07-26,10.1
2016-07-27,10.1
