Date,NAHARSPING
2013-01-01,70.35
2013-01-02,72.0
2013-01-03,74.4
2013-01-04,73.8
2013-01-07,74.05
2013-01-08,79.3
2013-01-09,79.65
2013-01-10,78.6
2013-01-11,76.85
2013-01-14,83.25
2013-01-15,84.05
2013-01-16,83.25
2013-01-17,82.95
2013-01-18,81.9
2013-01-21,82.45
2013-01-22,80.25
2013-01-23,80.65
2013-01-24,77.95
2013-01-25,79.45
2013-01-28,83.55
2013-01-29,82.65
2013-01-30,83.05
2013-01-31,81.4
2013-02-01,85.55
2013-02-04,87.9
2013-02-05,81.15
2013-02-06,81.2
2013-02-07,79.8
2013-02-08,77.5
2013-02-11,78.8
2013-02-12,78.8
2013-02-13,77.8
2013-02-14,76.35
2013-02-15,74.5
2013-02-18,75.2
2013-02-19,74.85
2013-02-20,76.15
2013-02-21,74.95
2013-02-22,73.75
2013-02-25,73.75
2013-02-26,72.8
2013-02-27,73.8
2013-02-28,74.85
2013-03-01,73.75
2013-03-04,70.85
2013-03-05,71.3
2013-03-06,73.2
2013-03-07,73.75
2013-03-08,76.75
2013-03-11,82.35
2013-03-12,81.3
2013-03-13,79.5
2013-03-14,78.95
2013-03-15,80.05
2013-03-18,78.1
2013-03-19,76.1
2013-03-20,71.7
2013-03-21,71.3
2013-03-22,68.65
2013-03-25,72.9
2013-03-26,70.1
2013-03-28,71.2
2013-04-01,73.85
2013-04-02,77.9
2013-04-03,76.2
2013-04-04,72.25
2013-04-05,72.75
2013-04-08,74.05
2013-04-09,69.75
2013-04-10,70.2
2013-04-11,69.1
2013-04-12,68.9
2013-04-15,68.1
2013-04-16,70.25
2013-04-17,70.95
2013-04-18,71.25
2013-04-22,72.05
2013-04-23,71.0
2013-04-25,71.6
2013-04-26,70.7
2013-04-29,71.15
2013-04-30,71.25
2013-05-02,77.15
2013-05-03,75.65
2013-05-06,76.35
2013-05-07,77.25
2013-05-08,81.7
2013-05-09,80.85
2013-05-10,80.1
2013-05-11,81.05
2013-05-13,78.7
2013-05-14,76.95
2013-05-15,79.8
2013-05-16,81.55
2013-05-17,80.25
2013-05-20,79.05
2013-05-21,78.75
2013-05-22,78.4
2013-05-23,77.3
2013-05-24,78.85
2013-05-27,79.85
2013-05-28,80.15
2013-05-29,82.25
2013-05-30,81.9
2013-05-31,75.05
2013-06-03,74.05
2013-06-04,71.9
2013-06-05,71.2
2013-06-06,71.85
2013-06-07,74.4
2013-06-10,72.2
2013-06-11,71.25
2013-06-12,72.15
2013-06-13,70.75
2013-06-14,70.45
2013-06-17,71.85
2013-06-18,73.3
2013-06-19,72.5
2013-06-20,69.95
2013-06-21,68.9
2013-06-24,68.85
2013-06-25,69.2
2013-06-26,68.25
2013-06-27,67.7
2013-06-28,69.55
2013-07-01,72.0
2013-07-02,73.4
2013-07-03,71.05
2013-07-04,71.55
2013-07-05,72.75
2013-07-08,70.35
2013-07-09,70.35
2013-07-10,72.2
2013-07-11,73.65
2013-07-12,75.3
2013-07-15,73.55
2013-07-16,72.1
2013-07-17,73.1
2013-07-18,72.5
2013-07-19,70.95
2013-07-22,69.45
2013-07-23,71.5
2013-07-24,72.05
2013-07-25,71.85
2013-07-26,72.05
2013-07-29,70.6
2013-07-30,69.8
2013-07-31,70.1
2013-08-01,68.3
2013-08-02,67.8
2013-08-05,67.2
2013-08-06,65.3
2013-08-07,66.45
2013-08-08,68.25
2013-08-12,67.95
2013-08-13,69.35
2013-08-14,68.1
2013-08-16,67.05
2013-08-19,67.65
2013-08-20,68.55
2013-08-21,68.25
2013-08-22,69.0
2013-08-23,71.8
2013-08-26,71.7
2013-08-27,69.05
2013-08-28,68.05
2013-08-29,69.8
2013-08-30,70.05
2013-09-02,71.15
2013-09-03,70.65
2013-09-04,74.15
2013-09-05,75.4
2013-09-06,75.3
2013-09-10,74.5
2013-09-11,74.6
2013-09-12,75.75
2013-09-13,75.45
2013-09-16,79.4
2013-09-17,78.45
2013-09-18,80.6
2013-09-19,82.65
2013-09-20,78.65
2013-09-23,79.85
2013-09-24,79.3
2013-09-25,79.5
2013-09-26,80.25
2013-09-27,83.1
2013-09-30,82.1
2013-10-01,80.3
2013-10-03,82.6
