Date,SKIL
2013-01-01,218.6
2013-01-02,213.3
2013-01-03,213.15
2013-01-04,213.05
2013-01-07,218.5
2013-01-08,223.2
2013-01-09,216.2
2013-01-10,212.95
2013-01-11,212.85
2013-01-14,213.95
2013-01-15,212.1
2013-01-16,209.9
2013-01-17,211.8
2013-01-18,210.15
2013-01-21,221.05
2013-01-22,219.95
2013-01-23,219.0
2013-01-24,212.95
2013-01-25,216.2
2013-01-28,215.05
2013-01-29,218.4
2013-01-30,215.85
2013-01-31,214.25
2013-02-01,217.35
2013-02-04,215.05
2013-02-05,218.0
2013-02-06,217.85
2013-02-07,213.7
2013-02-08,213.25
2013-02-11,208.15
2013-02-12,209.15
2013-02-13,216.3
2013-02-14,218.8
2013-02-15,216.05
2013-02-18,215.1
2013-02-19,214.1
2013-02-20,218.15
2013-02-21,218.65
2013-02-22,216.6
2013-02-25,217.2
2013-02-26,173.8
2013-02-27,139.05
2013-02-28,125.15
2013-03-01,112.65
2013-03-04,101.4
2013-03-05,101.65
2013-03-06,104.3
2013-03-07,105.1
2013-03-08,103.35
2013-03-11,98.75
2013-03-12,95.3
2013-03-13,90.55
2013-03-14,95.05
2013-03-15,98.8
2013-03-18,103.7
2013-03-19,108.75
2013-03-20,104.5
2013-03-21,99.55
2013-03-22,94.6
2013-03-25,97.15
2013-03-26,92.5
2013-03-28,89.65
2013-04-01,90.7
2013-04-02,95.2
2013-04-03,97.45
2013-04-04,94.65
2013-04-05,90.05
2013-04-08,91.35
2013-04-09,90.3
2013-04-10,91.45
2013-04-11,90.15
2013-04-12,92.05
2013-04-15,92.5
2013-04-16,94.05
2013-04-17,94.7
2013-04-18,96.1
2013-04-22,97.2
2013-04-23,98.35
2013-04-25,103.15
2013-04-26,100.1
2013-04-29,96.7
2013-04-30,93.35
2013-05-02,88.7
2013-05-03,84.5
2013-05-06,83.8
2013-05-07,82.6
2013-05-08,79.95
2013-05-09,81.25
2013-05-10,77.2
2013-05-11,73.35
2013-05-13,70.75
2013-05-14,69.5
2013-05-15,66.05
2013-05-16,65.65
2013-05-17,64.0
2013-05-20,60.8
2013-05-21,59.5
2013-05-22,60.65
2013-05-23,58.0
2013-05-24,60.35
2013-05-27,62.85
2013-05-28,63.0
2013-05-29,64.75
2013-05-30,62.65
2013-05-31,63.7
2013-06-03,61.65
2013-06-04,61.05
2013-06-05,62.0
2013-06-06,64.25
2013-06-07,61.1
2013-06-10,58.15
2013-06-11,57.15
2013-06-12,58.5
2013-06-13,56.75
2013-06-17,59.4
2013-06-18,57.85
2013-06-19,56.5
2013-06-20,54.5
2013-06-21,57.0
2013-06-24,59.75
2013-06-25,59.95
2013-06-26,57.25
2013-06-27,60.1
2013-06-28,62.4
2013-07-01,60.05
2013-07-02,62.95
2013-07-03,60.35
2013-07-04,59.0
2013-07-05,56.8
2013-07-08,59.2
2013-07-09,54.0
2013-07-10,55.85
2013-07-11,55.6
2013-07-12,57.95
2013-07-15,57.1
2013-07-16,56.25
2013-07-17,57.9
2013-07-18,58.95
2013-07-19,54.65
2013-07-22,56.35
2013-07-23,53.9
2013-07-24,56.2
2013-07-25,55.6
2013-07-26,57.75
2013-07-29,56.2
2013-07-30,58.35
2013-07-31,54.3
2013-08-01,57.05
2013-08-02,57.15
2013-08-05,54.1
2013-08-06,55.6
2013-08-07,51.85
2013-08-08,51.05
2013-08-12,47.4
2013-08-13,45.6
2013-08-14,48.8
2013-08-16,45.45
2013-08-19,44.8
2013-08-20,40.6
2013-08-21,42.45
2013-08-22,44.0
2013-08-23,44.5
2013-08-26,43.5
2013-08-27,39.2
