Date,KALPATPOWR
2013-01-01,94.35
2013-01-02,95.95
2013-01-03,95.15
2013-01-04,98.1
2013-01-07,100.4
2013-01-08,99.1
2013-01-09,102.4
2013-01-10,98.95
2013-01-11,97.5
2013-01-14,100.2
2013-01-15,98.55
2013-01-16,101.15
2013-01-17,99.15
2013-01-18,99.05
2013-01-21,101.1
2013-01-22,102.65
2013-01-23,101.0
2013-01-24,97.95
2013-01-25,100.2
2013-01-28,99.55
2013-01-29,97.15
2013-01-30,95.55
2013-01-31,95.55
2013-02-01,93.0
2013-02-04,91.85
2013-02-05,90.8
2013-02-06,93.25
2013-02-07,90.65
2013-02-08,89.7
2013-02-11,87.6
2013-02-12,87.8
2013-02-13,87.45
2013-02-14,83.9
2013-02-15,83.95
2013-02-18,83.65
2013-02-19,82.95
2013-02-20,87.75
2013-02-21,83.95
2013-02-22,82.55
2013-02-25,80.6
2013-02-26,76.3
2013-02-27,75.35
2013-02-28,73.7
2013-03-01,73.55
2013-03-04,71.35
2013-03-05,75.6
2013-03-06,81.25
2013-03-07,84.05
2013-03-08,87.5
2013-03-11,86.45
2013-03-12,83.35
2013-03-13,80.95
2013-03-14,79.6
2013-03-15,81.05
2013-03-18,79.65
2013-03-19,78.35
2013-03-20,74.95
2013-03-21,77.25
2013-03-22,78.95
2013-03-25,77.0
2013-03-26,74.35
2013-03-28,82.0
2013-04-01,80.45
2013-04-02,81.5
2013-04-03,81.8
2013-04-04,77.9
2013-04-05,78.25
2013-04-08,76.85
2013-04-09,75.85
2013-04-10,75.45
2013-04-11,77.45
2013-04-12,78.4
2013-04-15,80.6
2013-04-16,79.2
2013-04-17,79.05
2013-04-18,79.45
2013-04-22,81.1
2013-04-23,84.5
2013-04-25,81.65
2013-04-26,79.0
2013-04-29,79.8
2013-04-30,80.1
2013-05-02,78.7
2013-05-03,79.9
2013-05-06,81.55
2013-05-07,81.35
2013-05-08,81.55
2013-05-09,80.9
2013-05-10,80.1
2013-05-11,80.5
2013-05-13,81.45
2013-05-14,80.3
2013-05-15,80.85
2013-05-16,79.9
2013-05-17,78.2
2013-05-20,79.8
2013-05-21,79.05
2013-05-22,77.1
2013-05-23,75.85
2013-05-24,76.2
2013-05-27,75.0
2013-05-28,75.1
2013-05-29,74.0
2013-05-30,73.85
2013-05-31,71.8
2013-06-03,74.2
2013-06-04,72.55
2013-06-05,72.85
2013-06-06,73.1
2013-06-07,72.35
2013-06-10,70.7
2013-06-11,68.7
2013-06-12,69.45
2013-06-13,74.8
2013-06-14,68.9
2013-06-17,70.2
2013-06-18,70.55
2013-06-19,70.2
2013-06-20,69.55
2013-06-21,68.95
2013-06-24,69.2
2013-06-25,67.75
2013-06-26,66.1
2013-06-27,67.1
2013-06-28,68.75
2013-07-01,68.85
2013-07-02,67.8
2013-07-03,66.2
2013-07-04,65.7
2013-07-05,65.75
2013-07-08,64.85
2013-07-09,65.6
2013-07-10,65.25
2013-07-11,65.9
2013-07-12,66.5
2013-07-15,66.1
2013-07-16,65.6
2013-07-17,66.55
2013-07-18,66.7
2013-07-19,65.25
2013-07-22,66.65
2013-07-23,66.7
2013-07-24,65.35
2013-07-25,63.65
2013-07-26,63.75
2013-07-29,63.55
2013-07-30,62.0
2013-07-31,61.45
2013-08-01,60.65
2013-08-02,61.2
2013-08-05,60.7
2013-08-06,60.75
2013-08-07,60.9
2013-08-08,60.75
2013-08-12,61.65
2013-08-13,60.7
2013-08-14,61.3
2013-08-16,60.9
2013-08-19,61.1
2013-08-20,60.45
2013-08-21,60.2
2013-08-22,60.25
2013-08-23,60.25
2013-08-26,60.7
2013-08-27,59.9
2013-08-28,57.55
2013-08-29,57.3
2013-08-30,57.8
2013-09-02,57.8
2013-09-03,57.1
2013-09-04,58.7
2013-09-05,60.55
2013-09-06,60.0
2013-09-10,62.7
2013-09-11,62.1
2013-09-12,62.7
2013-09-13,63.5
2013-09-16,62.55
2013-09-17,63.0
2013-09-18,62.25
2013-09-19,62.75
2013-09-20,57.3
2013-09-23,57.95
2013-09-24,58.0
2013-09-25,57.95
2013-09-26,58.35
2013-09-27,58.65
2013-09-30,57.95
2013-10-01,57.55
2013-10-03,57.95
2013-10-04,58.25
2013-10-07,59.55
2013-10-08,61.6
2013-10-09,63.2
2013-10-10,66.35
2013-10-11,66.65
2013-10-14,66.95
2013-10-15,70.05
2013-10-17,71.45
2013-10-18,71.95
2013-10-21,73.5
2013-10-22,75.65
2013-10-23,74.0
2013-10-24,75.9
2013-10-25,74.5
2013-10-28,72.35
2013-10-29,74.5
2013-10-30,77.15
2013-10-31,77.4
2013-11-01,79.15
2013-11-03,80.45
2013-11-05,82.9
2013-11-06,82.9
2013-11-07,79.65
2013-11-08,77.85
2013-11-11,76.55
2013-11-12,74.6
2013-11-13,76.15
2013-11-14,82.2
2013-11-18,82.1
2013-11-19,79.85
2013-11-20,80.75
2013-11-21,80.0
2013-11-22,78.3
2013-11-25,78.55
2013-11-26,77.2
2013-11-27,77.9
2013-11-28,77.55
2013-11-29,78.7
2013-12-02,81.0
2013-12-03,87.85
2013-12-04,85.3
2013-12-05,93.35
2013-12-06,93.35
2013-12-09,93.05
2013-12-10,92.45
2013-12-11,89.8
2013-12-12,89.3
2013-12-13,86.8
2013-12-16,87.75
2013-12-17,86.95
2013-12-18,86.5
2013-12-19,87.6
2013-12-20,89.15
2013-12-23,87.85
2013-12-24,88.35
2013-12-26,90.95
2013-12-27,89.05
2013-12-30,87.7
2013-12-31,89.7
2014-01-01,91.6
2014-01-02,90.65
2014-01-03,90.5
2014-01-06,88.85
2014-01-07,88.15
2014-01-08,86.1
2014-01-09,87.65
2014-01-10,87.0
2014-01-13,84.35
2014-01-14,85.5
2014-01-15,85.5
2014-01-16,86.9
2014-01-17,84.9
2014-01-20,85.25
2014-01-21,83.8
