Date,ASAL
2013-01-01,49.1
2013-01-02,48.8
2013-01-03,48.8
2013-01-04,48.45
2013-01-07,48.95
2013-01-08,48.75
2013-01-09,50.3
2013-01-10,49.75
2013-01-11,48.55
2013-01-14,48.1
2013-01-15,48.75
2013-01-16,48.9
2013-01-17,46.45
2013-01-18,45.25
2013-01-21,45.7
2013-01-22,45.5
2013-01-23,45.65
2013-01-24,44.75
2013-01-25,45.0
2013-01-28,44.45
2013-01-29,43.65
2013-01-30,44.0
2013-01-31,44.0
2013-02-01,44.8
2013-02-04,43.75
2013-02-05,43.05
2013-02-06,42.9
2013-02-07,43.05
2013-02-08,41.7
2013-02-11,41.1
2013-02-12,41.25
2013-02-13,41.55
2013-02-14,41.1
2013-02-15,40.9
2013-02-18,40.4
2013-02-19,41.35
2013-02-20,40.4
2013-02-21,41.05
2013-02-22,41.35
2013-02-25,40.2
2013-02-26,39.95
2013-02-27,40.6
2013-02-28,40.25
2013-03-01,38.6
2013-03-04,36.95
2013-03-05,36.05
2013-03-06,38.1
2013-03-07,38.8
2013-03-08,38.65
2013-03-11,39.7
2013-03-12,37.0
2013-03-13,38.75
2013-03-14,38.5
2013-03-15,37.4
2013-03-18,37.1
2013-03-19,36.85
2013-03-20,35.75
2013-03-21,34.7
2013-03-22,33.65
2013-03-25,32.6
2013-03-26,32.05
2013-03-28,32.3
2013-04-01,32.5
2013-04-02,33.7
2013-04-03,35.25
2013-04-04,36.4
2013-04-05,34.8
2013-04-08,37.2
2013-04-09,34.4
2013-04-10,33.4
2013-04-11,34.35
2013-04-12,33.45
2013-04-15,33.8
2013-04-16,33.55
2013-04-17,33.75
2013-04-18,33.65
2013-04-22,34.45
2013-04-23,35.8
2013-04-25,36.6
2013-04-26,35.25
2013-04-29,35.25
2013-04-30,34.5
2013-05-02,35.5
2013-05-03,36.55
2013-05-06,36.1
2013-05-07,34.05
2013-05-08,33.35
2013-05-09,33.8
2013-05-10,33.3
2013-05-11,33.05
2013-05-13,32.45
2013-05-14,32.05
2013-05-15,32.65
2013-05-16,32.6
2013-05-17,31.95
2013-05-20,32.8
2013-05-21,33.65
2013-05-22,32.8
2013-05-23,31.5
2013-05-24,31.9
2013-05-27,31.6
2013-05-28,32.5
2013-05-29,31.7
2013-05-30,31.45
2013-05-31,31.45
2013-06-04,29.75
2013-06-05,29.15
2013-06-07,29.35
2013-06-10,29.45
2013-06-11,27.8
2013-06-12,27.95
2013-06-13,29.3
2013-06-14,28.8
2013-06-17,28.65
2013-06-18,28.95
2013-06-19,29.0
2013-06-20,28.55
2013-06-21,28.55
2013-06-24,25.55
2013-06-25,26.0
2013-06-26,26.35
2013-06-27,25.75
2013-06-28,26.0
2013-07-01,25.95
2013-07-02,26.65
2013-07-03,26.95
2013-07-04,26.5
2013-07-05,31.8
2013-07-10,29.0
2013-07-12,28.0
2013-07-15,28.0
2013-09-11,26.85
2013-09-12,24.7
2013-09-13,23.0
2013-09-17,25.3
2013-09-18,24.05
2013-09-19,24.1
2013-09-20,23.0
2013-09-25,25.0
2013-09-26,24.1
2013-09-30,24.0
2013-10-09,26.35
2013-10-10,26.35
2013-10-11,27.0
2013-10-14,27.0
2013-10-17,25.05
2013-10-21,27.55
2013-10-22,30.0
2013-10-23,27.65
2013-10-24,27.0
2013-10-25,28.25
2013-10-29,28.0
2013-10-31,29.95
2013-11-01,28.0
2013-11-06,28.0
2013-11-07,28.1
2013-11-12,27.55
2013-11-18,28.9
2013-11-19,28.95
2013-11-20,28.95
2013-12-02,28.0
2013-12-03,27.0
2013-12-05,28.3
2013-12-06,29.65
2013-12-09,28.6
2013-12-11,27.2
2013-12-12,27.2
2013-12-13,27.05
2013-12-17,26.15
2013-12-18,27.45
2013-12-24,27.3
2013-12-27,27.6
2014-01-02,28.95
2014-01-06,29.6
2014-01-08,31.05
2014-01-13,32.6
2014-01-14,32.6
2014-01-15,31.95
2014-01-16,32.0
2014-01-17,30.4
2014-01-20,31.0
2014-01-21,30.8
2014-01-22,31.2
2014-01-23,30.55
2014-01-24,29.2
2014-01-27,28.1
2014-01-28,28.6
2014-01-30,27.2
2014-01-31,26.65
2014-02-03,27.0
2014-02-04,27.0
2014-02-05,26.25
2014-02-06,26.15
2014-02-07,27.45
2014-02-10,26.65
2014-02-12,27.9
2014-02-17,27.6
2014-02-18,27.85
2014-02-19,27.75
2014-02-20,28.4
2014-02-21,27.8
2014-02-24,27.35
2014-02-25,28.2
2014-02-26,29.05
2014-02-28,30.2
2014-03-03,29.7
2014-03-04,28.55
2014-03-05,29.25
2014-03-06,28.7
2014-03-07,28.45
2014-03-10,28.55
2014-03-11,31.4
2014-03-12,32.75
2014-03-13,31.8
2014-03-14,31.45
2014-03-18,30.4
2014-03-19,30.8
2014-03-20,31.75
2014-03-21,34.9
2014-03-22,38.2
2014-03-24,39.4
2014-03-25,37.45
2014-03-26,35.7
2014-03-27,35.0
2014-06-30,48.5
2014-07-01,47.1
2014-07-02,48.65
2014-07-03,48.05
2014-07-04,48.5
2014-07-07,48.4
2014-07-08,47.1
2014-07-09,46.9
2014-07-10,48.3
2014-07-11,46.0
2014-07-14,46.3
2014-07-15,46.95
2014-07-17,48.0
2014-07-21,45.8
2014-07-22,45.45
2014-07-23,45.25
2014-07-24,44.45
2014-07-25,46.55
