Date,NITINSPIN
2013-01-01,10.5
2013-01-02,10.5
2013-01-03,10.2
2013-01-04,9.95
2013-01-07,10.05
2013-01-08,10.0
2013-01-09,10.45
2013-01-10,10.05
2013-01-11,10.0
2013-01-14,10.2
2013-01-15,10.0
2013-01-16,9.95
2013-01-17,10.05
2013-01-18,10.15
2013-01-21,10.75
2013-01-22,10.8
2013-01-23,10.9
2013-01-24,10.7
2013-01-25,10.85
2013-01-28,10.85
2013-01-29,10.75
2013-01-30,10.95
2013-01-31,11.35
2013-02-01,11.95
2013-02-04,11.8
2013-02-05,11.2
2013-02-06,11.05
2013-02-07,11.0
2013-02-08,10.95
2013-02-11,11.2
2013-02-12,11.0
2013-02-13,10.85
2013-02-14,10.55
2013-02-15,10.3
2013-02-18,10.15
2013-02-19,10.4
2013-02-20,10.4
2013-02-21,10.2
2013-02-22,10.4
2013-02-25,10.35
2013-02-26,10.2
2013-02-27,10.2
2013-02-28,9.95
2013-03-01,9.95
2013-03-04,9.05
2013-03-05,9.8
2013-03-06,10.05
2013-03-07,10.1
2013-03-08,10.1
2013-03-11,10.2
2013-03-12,10.0
2013-03-13,9.7
2013-03-14,9.8
2013-03-15,9.65
2013-03-18,9.8
2013-03-19,9.45
2013-03-20,9.3
2013-03-21,9.4
2013-03-22,8.9
2013-03-25,9.05
2013-03-26,9.1
2013-03-28,9.05
2013-04-01,9.2
2013-04-02,10.0
2013-04-03,10.35
2013-04-04,10.1
2013-04-05,10.2
2013-04-08,10.0
2013-04-09,10.25
2013-04-10,10.05
2013-04-11,9.85
2013-04-12,9.75
2013-04-15,10.15
2013-04-16,10.0
2013-04-17,9.95
2013-04-18,10.0
2013-04-22,10.0
2013-04-23,9.85
2013-04-25,9.95
2013-04-26,10.0
2013-04-29,9.95
2013-04-30,10.15
2013-05-02,10.0
2013-05-03,9.95
2013-05-06,10.25
2013-05-07,9.85
2013-05-08,10.1
2013-05-09,10.0
2013-05-10,9.85
2013-05-11,9.8
2013-05-13,9.9
2013-05-14,9.5
2013-05-15,9.5
2013-05-16,9.6
2013-05-17,9.5
2013-05-20,9.75
2013-05-21,9.5
2013-05-22,9.5
2013-05-23,9.5
2013-05-24,9.5
2013-05-27,9.4
2013-05-28,9.45
2013-05-29,9.3
2013-05-30,9.5
2013-05-31,9.35
2013-06-03,9.3
2013-06-04,9.5
2013-06-05,9.4
2013-06-06,9.35
2013-06-07,9.35
2013-06-10,9.5
2013-06-11,9.25
2013-06-12,9.45
2013-06-13,9.35
2013-06-14,9.3
2013-06-17,9.5
2013-06-18,9.7
2013-06-19,9.8
2013-06-20,9.65
2013-06-21,9.95
2013-06-24,9.5
2013-06-25,9.7
2013-06-26,9.55
2013-06-27,9.6
2013-06-28,10.15
2013-07-01,10.0
2013-07-02,10.05
2013-07-03,9.9
2013-07-04,9.85
2013-07-05,10.0
2013-07-08,10.1
2013-07-09,10.4
2013-07-10,10.5
2013-07-11,10.5
2013-07-12,10.7
2013-07-15,10.55
2013-07-16,10.4
2013-07-17,10.4
2013-07-18,10.4
2013-07-19,10.45
2013-07-22,10.6
2013-07-23,10.65
2013-07-24,10.5
2013-07-25,10.65
2013-07-26,10.5
2013-07-29,10.55
2013-07-30,10.3
2013-07-31,10.25
2013-08-01,10.05
2013-08-02,10.15
2013-08-05,9.8
2013-08-06,9.6
2013-08-07,9.85
2013-08-08,10.0
2013-08-12,10.1
2013-08-13,10.0
2013-08-14,10.05
2013-08-16,9.95
2013-08-19,9.9
2013-08-20,9.85
2013-08-21,9.8
2013-08-22,9.95
2013-08-23,9.75
2013-08-26,9.95
2013-08-27,9.75
2013-08-28,9.6
2013-08-29,9.65
2013-08-30,9.7
2013-09-02,9.7
2013-09-03,9.6
2013-09-04,9.55
2013-09-05,9.8
2013-09-06,9.7
2013-09-10,9.65
2013-09-11,9.85
2013-09-12,9.7
2013-09-13,9.65
2013-09-16,9.65
2013-09-17,9.65
2013-09-18,9.75
2013-09-19,9.7
2013-09-20,9.7
2013-09-23,9.65
2013-09-24,9.6
2013-09-25,9.8
2013-09-26,9.75
2013-09-27,9.9
2013-09-30,9.85
2013-10-01,9.95
2013-10-03,9.85
2013-10-04,10.05
2013-10-07,10.15
2013-10-08,10.0
2013-10-09,10.25
2013-10-10,10.35
2013-10-11,10.25
2013-10-14,10.85
2013-10-15,10.55
2013-10-17,10.55
2013-10-18,10.75
2013-10-21,10.8
2013-10-22,10.85
2013-10-23,10.75
2013-10-24,10.7
2013-10-25,10.45
2013-10-28,10.3
2013-10-29,10.6
2013-10-30,10.8
2013-10-31,10.8
2013-11-01,11.15
2013-11-03,11.5
2013-11-05,11.75
2013-11-06,11.6
2013-11-07,11.35
2013-11-08,11.35
2013-11-11,11.6
2013-11-12,11.45
2013-11-13,11.25
2013-11-14,11.85
2013-11-18,12.85
2013-11-19,13.05
2013-11-20,12.6
2013-11-21,12.3
2013-11-22,12.5
2013-11-25,12.6
2013-11-26,12.15
2013-11-27,12.25
2013-11-28,13.25
2013-11-29,14.0
2013-12-02,14.75
2013-12-03,14.4
2013-12-04,14.15
2013-12-05,13.85
2013-12-06,13.9
2013-12-09,13.3
2013-12-10,13.1
2013-12-11,13.25
2013-12-12,12.55
2013-12-13,12.9
2013-12-16,15.45
2013-12-17,17.45
2013-12-18,17.95
2013-12-19,16.85
2013-12-20,16.5
2013-12-23,16.75
2013-12-24,16.7
2013-12-26,16.15
2013-12-27,15.6
2013-12-30,15.3
2013-12-31,17.15
2014-01-01,16.9
2014-01-02,15.85
2014-01-03,16.05
2014-01-06,16.55
2014-01-07,16.45
2014-01-08,16.25
2014-01-09,15.9
2014-01-10,15.55
2014-01-13,15.8
2014-01-14,15.65
2014-01-15,15.75
2014-01-16,15.65
2014-01-17,15.2
2014-01-20,16.2
2014-01-21,16.75
