Date,LUPIN
2013-01-01,614.7
2013-01-02,614.9
2013-01-03,608.85
2013-01-04,604.5
2013-01-07,598.8
2013-01-08,597.95
2013-01-09,592.3
2013-01-10,585.05
2013-01-11,587.7
2013-01-14,579.1
2013-01-15,583.15
2013-01-16,579.9
2013-01-17,586.55
2013-01-18,588.35
2013-01-21,594.65
2013-01-22,585.15
2013-01-23,585.1
2013-01-24,590.25
2013-01-25,599.45
2013-01-28,595.2
2013-01-29,597.25
2013-01-30,599.3
2013-01-31,604.3
2013-02-01,609.9
2013-02-04,597.05
2013-02-05,594.95
2013-02-06,599.3
2013-02-07,595.0
2013-02-08,597.45
2013-02-11,594.4
2013-02-12,605.0
2013-02-13,594.25
2013-02-14,590.2
2013-02-15,587.25
2013-02-18,592.55
2013-02-19,598.55
2013-02-20,595.75
2013-02-21,593.9
2013-02-22,600.6
2013-02-25,610.55
2013-02-26,597.8
2013-02-27,597.8
2013-02-28,584.95
2013-03-01,595.1
2013-03-04,593.15
2013-03-05,596.85
2013-03-06,597.9
2013-03-07,596.45
2013-03-08,604.2
2013-03-11,600.9
2013-03-12,600.0
2013-03-13,600.35
2013-03-14,600.1
2013-03-15,609.75
2013-03-18,614.15
2013-03-19,619.6
2013-03-20,626.05
2013-03-21,624.75
2013-03-22,627.5
2013-03-25,630.6
2013-03-26,620.75
2013-03-28,628.55
2013-04-01,631.1
2013-04-02,636.75
2013-04-03,634.45
2013-04-04,629.15
2013-04-05,618.2
2013-04-08,619.45
2013-04-09,610.35
2013-04-10,624.2
2013-04-11,646.0
2013-04-12,659.8
2013-04-15,657.45
2013-04-16,657.7
2013-04-17,672.35
2013-04-18,671.85
2013-04-22,683.4
2013-04-23,680.1
2013-04-25,691.35
2013-04-26,685.2
2013-04-29,686.6
2013-04-30,702.6
2013-05-02,697.15
2013-05-03,705.6
2013-05-06,698.5
2013-05-07,714.6
2013-05-08,730.8
2013-05-09,725.75
2013-05-10,742.4
2013-05-11,766.2
2013-05-13,752.75
2013-05-14,751.25
2013-05-15,782.0
2013-05-16,806.9
2013-05-17,803.6
2013-05-20,768.35
2013-05-21,768.45
2013-05-22,768.4
2013-05-23,747.8
2013-05-24,769.65
2013-05-27,759.15
2013-05-28,754.45
2013-05-29,762.85
2013-05-30,765.45
2013-05-31,737.7
2013-06-03,753.25
2013-06-04,769.35
2013-06-05,766.05
2013-06-06,753.3
2013-06-07,762.0
2013-06-10,761.3
2013-06-11,756.5
2013-06-12,771.05
2013-06-13,761.15
2013-06-14,783.45
2013-06-17,788.95
2013-06-18,790.35
2013-06-19,795.25
2013-06-20,780.1
2013-06-21,787.45
2013-06-24,796.75
2013-06-25,773.9
2013-06-26,760.05
2013-06-27,771.95
2013-06-28,781.45
2013-07-01,777.15
2013-07-02,801.2
2013-07-03,830.45
2013-07-04,850.65
2013-07-05,835.0
2013-07-08,828.05
2013-07-09,835.5
2013-07-10,860.85
2013-07-11,868.35
2013-07-12,869.2
2013-07-15,875.3
2013-07-16,874.45
2013-07-17,874.95
2013-07-18,890.4
2013-07-19,899.2
2013-07-22,890.35
2013-07-23,881.25
2013-07-24,870.15
2013-07-25,864.75
2013-07-26,854.85
2013-07-29,855.9
2013-07-30,840.0
2013-07-31,871.15
2013-08-01,873.85
2013-08-02,890.95
2013-08-05,895.45
2013-08-06,887.55
2013-08-07,828.3
2013-08-08,801.35
2013-08-12,820.05
2013-08-13,838.8
2013-08-14,847.4
2013-08-16,817.55
2013-08-19,793.8
2013-08-20,777.25
2013-08-21,768.0
2013-08-22,777.1
2013-08-23,789.15
2013-08-26,774.0
2013-08-27,756.95
2013-08-28,769.3
2013-08-29,808.85
2013-08-30,796.2
2013-09-02,819.85
2013-09-03,840.4
2013-09-04,878.05
2013-09-05,854.6
2013-09-06,839.3
2013-09-10,834.6
2013-09-11,859.05
2013-09-12,866.25
2013-09-13,861.35
2013-09-16,836.25
2013-09-17,839.9
2013-09-18,836.45
2013-09-19,849.9
2013-09-20,868.4
2013-09-23,853.8
2013-09-24,854.3
2013-09-25,858.7
2013-09-26,856.55
2013-09-27,853.5
2013-09-30,855.85
2013-10-01,851.55
2013-10-03,861.2
2013-10-04,878.85
2013-10-07,895.25
2013-10-08,890.2
2013-10-09,914.5
2013-10-10,937.55
2013-10-11,921.75
2013-10-14,907.7
2013-10-15,899.95
2013-10-17,896.2
2013-10-18,904.5
2013-10-21,913.05
2013-10-22,916.5
2013-10-23,910.0
2013-10-24,905.65
2013-10-25,889.5
2013-10-28,876.45
2013-10-29,889.4
2013-10-30,902.1
2013-10-31,887.9
2013-11-01,882.15
2013-11-03,886.75
2013-11-05,874.35
2013-11-06,874.1
2013-11-07,876.45
2013-11-08,884.15
2013-11-11,884.1
2013-11-12,873.5
2013-11-13,874.7
2013-11-14,867.05
2013-11-18,863.9
2013-11-19,867.95
2013-11-20,858.35
2013-11-21,845.9
2013-11-22,850.85
2013-11-25,850.6
2013-11-26,865.25
2013-11-27,855.45
2013-11-28,854.6
2013-11-29,855.85
2013-12-02,876.6
2013-12-03,870.4
2013-12-04,866.2
2013-12-05,854.05
2013-12-06,857.85
2013-12-09,852.9
2013-12-10,872.3
2013-12-11,875.5
2013-12-12,878.3
2013-12-13,869.7
2013-12-16,874.95
2013-12-17,880.95
2013-12-18,891.7
2013-12-19,909.65
