Date,FAIRCHEM
2015-05-08,290.05
2015-05-11,290.0
2015-05-12,290.0
2015-05-13,295.0
2015-05-14,289.45
2015-05-15,289.45
2015-05-18,288.0
2015-05-19,283.0
2015-05-20,291.3
2015-05-21,289.9
2015-05-22,300.0
2015-05-25,293.0
2015-05-26,286.7
2015-05-27,294.0
2015-05-28,294.9
2015-05-29,290.7
2015-06-01,290.9
2015-06-02,280.0
2015-06-03,280.45
2015-06-04,272.1
2015-06-05,270.75
2015-06-08,272.3
2015-06-09,272.2
2015-06-10,280.2
2015-06-11,270.3
2015-06-12,279.4
2015-06-15,270.2
2015-06-16,261.9
2015-06-17,264.3
2015-06-18,254.1
2015-06-19,258.1
2015-06-22,263.15
2015-06-23,274.0
2015-06-24,274.65
2015-06-25,264.45
2015-06-26,267.95
2015-06-29,259.2
2015-06-30,260.6
2015-07-01,265.75
2015-07-02,272.0
2015-07-03,267.0
2015-07-06,270.1
2015-07-07,264.0
2015-07-08,262.7
2015-07-09,254.1
2015-07-10,262.9
2015-07-13,263.2
2015-07-14,259.35
2015-07-15,257.9
2015-07-16,258.8
2015-07-17,254.85
2015-07-20,247.8
2015-07-21,243.8
2015-07-22,242.85
2015-07-23,242.4
2015-07-24,242.45
2015-07-27,246.0
2015-07-28,227.75
2015-07-29,239.15
2015-07-30,229.05
2015-07-31,222.05
2015-08-03,218.8
2015-08-04,211.1
2015-08-05,212.5
2015-08-06,209.5
2015-08-07,196.5
2015-08-10,195.6
2015-08-11,181.15
2015-08-12,190.9
2015-08-13,199.3
2015-08-14,202.3
2015-08-17,226.15
2015-08-18,230.7
2015-08-19,229.7
2015-08-20,219.8
2015-08-21,218.35
2015-08-24,211.85
2015-08-25,199.85
2015-08-26,198.4
2015-08-27,191.65
2015-08-28,189.8
2015-08-31,196.9
2015-09-01,194.65
2015-09-02,197.4
2015-09-03,195.9
2015-09-04,188.45
2015-09-07,191.5
2015-09-08,190.9
2015-09-09,194.9
2015-09-10,192.5
2015-09-11,197.5
2015-09-14,197.55
2015-09-15,197.9
2015-09-16,195.05
2015-09-18,193.95
2015-09-21,192.7
2015-09-22,198.85
2015-09-23,194.85
2015-09-24,195.0
2015-09-28,191.95
2015-09-29,189.5
2015-09-30,191.8
2015-10-01,192.15
