Date,GDL
2013-01-01,140.05
2013-01-02,139.5
2013-01-03,139.05
2013-01-04,137.8
2013-01-07,137.75
2013-01-08,136.75
2013-01-09,137.4
2013-01-10,139.5
2013-01-11,138.35
2013-01-14,135.35
2013-01-15,138.0
2013-01-16,135.0
2013-01-17,133.55
2013-01-18,138.15
2013-01-21,136.7
2013-01-22,137.45
2013-01-23,137.1
2013-01-24,133.95
2013-01-25,132.45
2013-01-28,132.75
2013-01-29,133.55
2013-01-30,132.45
2013-01-31,135.0
2013-02-01,134.8
2013-02-04,132.35
2013-02-05,132.95
2013-02-06,134.0
2013-02-07,136.05
2013-02-08,133.55
2013-02-11,135.05
2013-02-12,135.05
2013-02-13,137.35
2013-02-14,132.6
2013-02-15,132.5
2013-02-18,130.5
2013-02-19,134.15
2013-02-20,133.3
2013-02-21,133.3
2013-02-22,135.1
2013-02-25,134.65
2013-02-26,133.8
2013-02-27,134.95
2013-02-28,134.8
2013-03-01,128.95
2013-03-04,128.25
2013-03-05,129.15
2013-03-06,128.45
2013-03-07,129.05
2013-03-08,130.4
2013-03-11,131.6
2013-03-12,133.55
2013-03-13,129.6
2013-03-14,126.35
2013-03-15,120.7
2013-03-18,123.65
2013-03-19,123.55
2013-03-20,123.25
2013-03-21,120.7
2013-03-22,124.7
2013-03-25,121.8
2013-03-26,122.3
2013-03-28,123.8
2013-04-01,124.15
2013-04-02,124.85
2013-04-03,121.55
2013-04-04,120.5
2013-04-05,120.95
2013-04-08,121.1
2013-04-09,118.45
2013-04-10,119.25
2013-04-11,116.8
2013-04-12,120.3
2013-04-15,122.15
2013-04-16,124.75
2013-04-17,126.3
2013-04-18,124.3
2013-04-22,123.0
2013-04-23,121.95
2013-04-25,124.0
2013-04-26,121.45
2013-04-29,123.3
2013-04-30,122.85
2013-05-02,121.95
2013-05-03,121.8
2013-05-06,122.85
2013-05-07,122.5
2013-05-08,122.5
2013-05-09,122.4
2013-05-10,122.4
2013-05-11,123.5
2013-05-13,121.15
2013-05-14,120.15
2013-05-15,122.0
2013-05-16,123.9
2013-05-17,123.4
2013-05-20,122.9
2013-05-21,122.15
2013-05-22,123.05
2013-05-23,122.9
2013-05-24,121.9
2013-05-27,121.45
2013-05-28,121.5
2013-05-29,121.4
2013-05-30,120.05
2013-05-31,120.75
2013-06-03,121.3
2013-06-04,120.45
2013-06-05,120.15
