Date,FIEMIND
2013-01-01,185.45
2013-01-02,185.9
2013-01-03,187.55
2013-01-04,197.15
2013-01-07,197.75
2013-01-08,193.75
2013-01-09,205.85
2013-01-10,204.0
2013-01-11,199.2
2013-01-14,198.4
2013-01-15,198.45
2013-01-16,197.2
2013-01-17,197.05
2013-01-18,196.05
2013-01-21,196.75
2013-01-22,195.4
2013-01-23,194.05
2013-01-24,191.9
2013-01-25,192.75
2013-01-28,193.45
2013-01-29,192.6
2013-01-30,193.05
2013-01-31,192.8
2013-02-01,193.5
2013-02-04,193.4
2013-02-05,192.9
2013-02-06,193.4
2013-02-07,191.75
2013-02-08,190.1
2013-02-11,191.1
2013-02-12,190.9
2013-02-13,191.25
2013-02-14,189.95
2013-02-15,190.7
2013-02-18,192.4
2013-02-19,190.6
2013-02-20,191.15
2013-02-21,189.05
2013-02-22,191.45
2013-02-25,189.25
2013-02-26,187.7
2013-02-27,188.5
2013-02-28,187.8
2013-03-01,188.05
2013-03-04,186.7
2013-03-05,185.65
2013-03-06,191.35
2013-03-07,187.15
2013-03-08,190.9
2013-03-11,189.75
2013-03-12,189.3
2013-03-13,187.0
2013-03-14,194.75
2013-03-15,197.85
2013-03-18,194.95
2013-03-19,193.25
2013-03-20,192.55
2013-03-21,193.65
2013-03-22,193.45
2013-03-25,193.0
2013-03-26,185.1
2013-03-28,188.75
2013-04-01,192.05
2013-04-02,192.05
2013-04-03,191.05
2013-04-04,190.15
2013-04-05,189.35
2013-04-08,190.0
2013-04-09,190.1
2013-04-10,191.2
2013-04-11,190.05
2013-04-12,189.7
2013-04-15,189.35
2013-04-16,190.05
2013-04-17,189.05
2013-04-18,189.5
2013-04-22,190.85
2013-04-23,189.05
2013-04-25,189.3
2013-04-26,190.0
2013-04-29,190.5
2013-04-30,189.15
2013-05-02,189.4
2013-05-03,188.85
2013-05-06,189.2
2013-05-07,190.0
2013-05-08,190.8
2013-05-09,190.0
2013-05-10,190.05
2013-05-11,191.85
2013-05-13,190.9
2013-05-14,189.95
2013-05-15,193.2
2013-05-16,194.9
2013-05-17,193.5
2013-05-20,193.0
2013-05-21,191.05
2013-05-22,193.8
2013-05-23,190.85
2013-05-24,191.95
2013-05-27,190.1
2013-05-28,191.05
2013-05-29,191.5
2013-05-30,191.4
2013-05-31,190.95
2013-06-03,189.55
2013-06-04,191.05
2013-06-05,190.0
2013-06-06,190.0
2013-06-07,189.35
2013-06-10,190.1
2013-06-11,189.0
2013-06-12,190.0
2013-06-13,190.25
2013-06-14,191.55
2013-06-17,190.05
2013-06-18,191.0
2013-06-19,190.1
2013-06-20,189.4
2013-06-21,190.0
2013-06-24,190.0
2013-06-25,188.15
2013-06-26,186.9
2013-06-27,189.75
2013-06-28,190.0
2013-07-01,189.5
2013-07-02,189.4
2013-07-03,189.0
2013-07-04,188.1
2013-07-05,189.0
2013-07-08,188.8
2013-07-09,188.3
2013-07-10,188.1
2013-07-11,188.75
2013-07-12,189.9
2013-07-15,186.65
2013-07-16,183.45
2013-07-17,187.9
2013-07-18,188.05
