Date,ARVIND
2013-01-01,101.65
2013-01-02,105.25
2013-01-03,104.5
2013-01-04,105.3
2013-01-07,105.4
2013-01-08,104.25
2013-01-09,103.8
2013-01-10,103.45
2013-01-11,102.85
2013-01-14,102.8
2013-01-15,103.85
2013-01-16,99.85
2013-01-17,98.4
2013-01-18,96.4
2013-01-21,97.9
2013-01-22,96.5
2013-01-23,95.55
2013-01-24,92.15
2013-01-25,93.8
2013-01-28,93.0
2013-01-29,92.5
2013-01-30,95.15
2013-01-31,94.3
2013-02-01,94.15
2013-02-04,92.1
2013-02-05,92.5
2013-02-06,91.9
2013-02-07,89.45
2013-02-08,89.3
2013-02-11,91.85
2013-02-12,91.65
2013-02-13,91.15
2013-02-14,85.3
2013-02-15,86.9
2013-02-18,87.2
2013-02-19,87.6
2013-02-20,87.7
2013-02-21,85.45
2013-02-22,85.15
2013-02-25,80.35
2013-02-26,76.85
2013-02-27,78.25
2013-02-28,74.5
2013-03-01,76.05
2013-03-04,75.55
2013-03-05,82.3
2013-03-06,83.7
2013-03-07,82.75
2013-03-08,82.6
2013-03-11,82.4
2013-03-12,83.3
2013-03-13,80.5
2013-03-14,82.45
2013-03-15,80.9
2013-03-18,79.45
2013-03-19,78.35
2013-03-20,77.8
2013-03-21,76.3
2013-03-22,75.4
2013-03-25,75.7
2013-03-26,73.6
2013-03-28,77.35
2013-04-01,79.6
2013-04-02,80.45
2013-04-03,77.85
2013-04-04,74.75
2013-04-05,78.2
2013-04-08,79.7
2013-04-09,78.95
2013-04-10,81.75
2013-04-11,82.6
2013-04-12,82.75
2013-04-15,81.95
2013-04-16,84.6
2013-04-17,84.15
2013-04-18,84.8
2013-04-22,83.0
2013-04-23,77.55
2013-04-25,78.05
2013-04-26,76.9
2013-04-29,79.1
2013-04-30,78.65
2013-05-02,78.7
2013-05-03,78.9
2013-05-06,79.55
2013-05-07,83.0
2013-05-08,81.1
2013-05-09,82.9
2013-05-10,82.45
2013-05-11,82.85
2013-05-13,79.25
2013-05-14,78.8
2013-05-15,81.65
2013-05-16,82.85
2013-05-17,81.6
2013-05-20,78.85
2013-05-21,77.65
2013-05-22,77.1
2013-05-23,75.95
2013-05-24,76.1
2013-05-27,78.0
2013-05-28,79.35
2013-05-29,79.15
2013-05-30,81.95
2013-05-31,81.95
2013-06-03,82.35
2013-06-04,82.25
2013-06-05,80.75
2013-06-06,86.15
2013-06-07,85.6
2013-06-10,86.1
2013-06-11,83.5
2013-06-12,80.15
2013-06-13,78.05
2013-06-14,80.1
2013-06-17,79.95
2013-06-18,79.65
2013-06-19,78.95
2013-06-20,77.45
2013-06-21,78.4
2013-06-24,77.75
2013-06-25,78.75
2013-06-26,75.4
2013-06-27,76.5
2013-06-28,78.15
2013-07-01,79.45
2013-07-02,78.4
2013-07-03,74.1
2013-07-04,74.3
2013-07-05,74.05
2013-07-08,71.7
2013-07-09,72.75
2013-07-10,73.1
2013-07-11,74.1
2013-07-12,74.25
2013-07-15,76.6
2013-07-16,74.9
2013-07-17,75.7
2013-07-18,74.05
2013-07-19,71.85
2013-07-22,72.85
2013-07-23,77.15
2013-07-24,74.85
2013-07-25,76.0
2013-07-26,79.9
2013-07-29,78.8
2013-07-30,77.45
2013-07-31,78.8
2013-08-01,72.85
2013-08-02,72.95
2013-08-05,73.5
2013-08-06,69.75
2013-08-07,66.25
2013-08-08,67.65
2013-08-12,70.0
2013-08-13,72.2
2013-08-14,72.35
2013-08-16,70.25
2013-08-19,71.25
2013-08-20,72.35
2013-08-21,71.75
2013-08-22,73.35
2013-08-23,76.8
2013-08-26,76.55
2013-08-27,73.3
2013-08-28,75.05
2013-08-29,78.15
2013-08-30,78.65
2013-09-02,79.45
2013-09-03,78.65
2013-09-04,80.0
2013-09-05,80.0
2013-09-06,81.75
2013-09-10,83.15
2013-09-11,83.65
