Date,XPROINDIA
2013-01-01,40.8
2013-01-02,41.6
2013-01-03,41.9
2013-01-04,41.7
2013-01-07,41.3
2013-01-08,41.7
2013-01-09,41.45
2013-01-10,42.4
2013-01-11,41.4
2013-01-14,41.6
2013-01-15,41.3
2013-01-16,41.25
2013-01-17,41.1
2013-01-18,40.65
2013-01-21,40.6
2013-01-22,40.7
2013-01-23,40.15
2013-01-24,39.7
2013-01-25,39.15
2013-01-28,38.95
2013-01-29,39.3
2013-01-30,38.0
2013-01-31,37.35
2013-02-01,37.1
2013-02-04,36.35
2013-02-05,35.75
2013-02-06,35.7
2013-02-07,35.25
2013-02-08,34.95
2013-02-11,34.3
2013-02-12,35.15
2013-02-13,35.95
2013-02-14,36.05
2013-02-15,34.05
2013-02-18,35.4
2013-02-19,35.65
2013-02-20,35.6
2013-02-21,35.3
2013-02-22,36.1
2013-02-25,35.3
2013-02-26,34.4
2013-02-27,33.6
2013-02-28,33.95
2013-03-01,35.45
2013-03-04,32.5
2013-03-05,32.65
2013-03-06,33.85
2013-03-07,33.65
2013-03-08,32.45
2013-03-11,32.5
2013-03-12,32.6
2013-03-13,32.2
2013-03-14,32.05
2013-03-15,31.2
2013-03-18,31.55
2013-03-19,31.0
2013-03-20,29.25
2013-03-21,29.3
2013-03-22,28.5
2013-03-25,27.55
2013-03-26,27.8
2013-03-28,28.0
2013-04-01,28.55
2013-04-02,29.9
2013-04-03,30.9
2013-04-04,30.6
2013-04-05,30.15
2013-04-08,29.4
2013-04-09,29.95
2013-04-10,29.6
2013-04-11,29.7
2013-04-12,29.05
2013-04-15,29.5
2013-04-16,29.1
2013-04-17,29.0
2013-04-18,28.75
2013-04-22,29.35
2013-04-23,28.9
2013-04-25,29.85
2013-04-26,28.8
2013-04-29,29.0
2013-04-30,29.45
2013-05-02,29.9
2013-05-03,29.85
2013-05-06,30.0
2013-05-07,29.95
2013-05-08,29.45
2013-05-09,29.9
2013-05-10,30.0
2013-05-11,29.5
2013-05-13,29.5
2013-05-14,29.5
2013-05-15,29.7
2013-05-16,30.0
2013-05-17,29.7
2013-05-20,29.5
2013-05-21,30.15
2013-05-22,29.85
2013-05-23,29.05
2013-05-24,29.0
2013-05-27,28.85
2013-05-28,29.6
2013-05-29,29.05
2013-05-30,28.5
2013-05-31,28.5
2013-06-03,27.7
2013-06-04,28.45
2013-06-05,27.95
2013-06-06,28.9
2013-06-07,29.0
2013-06-10,28.9
2013-06-11,28.2
2013-06-12,28.3
2013-06-13,28.1
2013-06-14,29.05
2013-06-17,29.95
2013-06-18,30.45
2013-06-19,31.0
2013-06-20,31.05
2013-06-21,31.3
2013-06-24,31.5
2013-06-25,29.05
2013-06-26,28.4
2013-06-27,28.1
2013-06-28,27.55
2013-07-01,27.2
2013-07-02,26.45
2013-07-03,25.7
2013-07-04,25.85
2013-07-05,24.7
2013-07-08,24.4
2013-07-09,24.4
2013-07-10,25.1
2013-07-11,27.2
2013-07-12,26.35
2013-07-15,26.45
2013-07-16,25.7
2013-07-17,25.55
2013-07-18,25.25
2013-07-19,24.8
2013-07-22,24.2
2013-07-23,24.05
2013-07-24,24.05
2013-07-25,25.3
2013-07-26,24.15
2013-07-29,24.6
2013-07-30,22.2
2013-07-31,21.25
2013-08-01,20.6
2013-08-02,19.35
2013-08-05,20.6
2013-08-06,19.85
2013-08-07,19.7
2013-08-08,21.0
2013-08-12,23.5
2013-08-13,22.75
2013-08-14,23.85
2013-08-16,23.6
2013-08-19,22.0
2013-08-20,21.3
2013-08-21,21.4
2013-08-22,22.95
2013-08-23,22.6
2013-08-26,24.0
2013-08-27,23.5
2013-08-28,23.85
2013-08-29,23.7
2013-08-30,24.05
2013-09-02,24.25
2013-09-03,23.15
2013-09-04,22.55
2013-09-05,23.1
2013-09-06,25.4
2013-09-10,27.05
2013-09-11,29.5
2013-09-12,32.45
2013-09-13,35.65
2013-09-16,32.1
2013-09-17,31.55
2013-09-18,28.95
2013-09-19,27.85
2013-09-20,27.2
2013-09-23,26.5
2013-09-24,26.5
2013-09-25,26.25
2013-09-26,25.95
2013-09-27,25.6
2013-09-30,25.35
2013-10-01,25.2
2013-10-03,25.45
2013-10-04,25.95
2013-10-07,25.1
2013-10-08,25.5
2013-10-09,25.15
2013-10-10,26.2
2013-10-11,25.6
2013-10-14,25.3
2013-10-15,26.0
2013-10-17,26.45
2013-10-18,25.7
2013-10-21,26.35
2013-10-22,26.0
2013-10-23,26.0
2013-10-24,26.0
2013-10-25,25.05
2013-10-28,25.25
2013-10-29,24.7
2013-10-30,24.15
2013-10-31,23.85
2013-11-01,24.35
2013-11-03,23.9
2013-11-05,25.05
2013-11-06,26.3
2013-11-07,27.3
2013-11-08,30.0
2013-11-11,32.1
2013-11-12,30.35
2013-11-13,29.15
2013-11-14,28.7
2013-11-18,28.0
2013-11-19,28.0
2013-11-20,28.0
2013-11-21,27.35
2014-03-03,30.85
2014-03-04,30.85
2014-03-05,32.15
2014-03-06,30.95
2014-03-07,30.7
2014-03-10,30.5
2014-03-11,32.05
2014-03-12,31.75
2014-03-13,29.8
2014-03-14,29.8
2014-03-18,30.05
2014-03-19,33.05
2014-03-20,32.65
2014-03-21,31.3
2014-03-22,32.25
2014-03-24,31.1
2014-03-25,29.25
2014-03-26,29.05
2014-03-27,29.75
2014-03-28,29.1
2014-03-31,29.25
2014-04-01,28.85
2014-04-02,29.5
2014-04-03,30.0
2014-04-04,30.5
2014-04-07,30.05
2014-04-09,30.85
2014-04-10,31.1
2014-04-11,31.0
2014-04-15,30.3
2014-04-16,30.95
2014-04-17,30.45
2014-04-21,30.7
2014-04-22,30.75
2014-04-23,30.35
2014-04-25,30.05
2014-04-28,29.75
2014-04-29,29.9
2014-04-30,30.0
2014-05-02,29.05
2014-05-05,29.1
2014-05-06,29.1
2014-05-07,29.5
2014-05-08,27.65
2014-05-09,28.45
2014-05-12,27.9
2014-05-13,27.75
2014-05-14,28.55
2014-05-15,28.55
2014-05-16,27.8
2014-05-19,31.65
2014-05-20,34.25
2014-05-21,36.85
2014-05-22,44.15
2014-05-23,45.8
2014-05-26,41.25
2014-05-27,37.35
2014-05-28,36.9
2014-05-29,37.75
2014-05-30,37.9
2014-06-02,38.0
2014-06-03,37.75
2014-06-04,39.1
2014-06-05,39.25
2014-06-30,37.5
2014-07-01,37.55
2014-07-02,38.25
2014-07-03,37.9
2014-07-04,37.1
2014-07-07,37.25
2014-07-08,36.55
2014-07-09,35.25
2014-07-10,34.45
2014-07-11,33.85
2014-07-14,35.5
2014-07-15,36.4
2014-07-16,35.5
2014-07-17,36.8
2014-07-18,35.9
2014-07-21,36.0
2014-07-22,37.05
2014-07-23,35.6
2014-07-24,35.0
2014-07-25,35.0
2014-07-28,33.55
2014-07-30,33.2
2014-07-31,33.4
2014-08-01,34.8
2014-08-04,35.0
2014-08-05,34.6
2014-08-06,35.0
2014-08-07,34.55
2014-08-08,33.35
2014-08-11,32.6
2014-08-12,34.0
2014-08-13,33.3
2014-08-14,34.3
2014-08-18,33.95
2014-08-19,35.1
2014-08-20,34.5
2014-08-21,34.65
2014-08-22,34.55
2014-08-25,33.2
2014-08-26,33.1
2014-08-27,33.0
2014-08-28,34.0
2014-09-01,35.0
2014-09-02,36.4
2014-09-03,35.25
2014-09-04,35.3
2014-09-05,34.9
2014-09-08,36.05
2014-09-09,37.95
2014-09-10,36.8
2014-09-11,36.75
2014-09-12,37.35
2014-09-15,39.15
2014-09-16,37.55
2014-09-17,38.35
2014-09-18,37.9
2014-09-19,37.85
2014-09-22,37.3
2014-09-23,37.75
2014-09-24,37.45
2014-09-25,35.65
2014-09-26,35.25
2014-09-29,37.05
2014-09-30,35.85
2014-10-01,35.6
2014-10-07,35.1
2014-10-08,35.5
2014-10-09,35.95
2014-10-10,41.35
2014-10-13,39.85
2014-10-14,41.75
2014-10-16,38.2
2014-10-17,37.65
2014-10-20,38.6
2014-10-21,37.65
2014-10-22,38.0
2014-10-23,39.45
2014-10-27,37.65
2014-10-28,37.9
2014-10-29,40.15
2014-10-30,41.5
2014-10-31,42.0
