Date,KESARENT
2013-01-01,37.0
2013-01-02,37.5
2013-01-03,37.05
2013-01-04,37.55
2013-01-08,38.1
2013-01-09,39.4
2013-01-11,37.35
2013-01-14,37.9
2013-01-15,38.1
2013-01-16,39.75
2013-01-18,38.95
2013-01-21,39.95
2013-01-22,37.5
2013-01-25,37.0
2013-01-28,36.1
2013-01-30,35.1
2013-01-31,38.45
2013-02-04,36.4
2013-02-06,40.35
2013-02-07,37.5
2013-02-11,35.85
2013-02-12,35.25
2013-02-13,35.05
2013-02-14,34.25
2013-02-15,34.0
2013-02-18,38.9
2013-02-19,35.8
2013-02-20,35.35
2013-02-21,35.2
2013-02-22,34.05
2013-02-25,33.3
2013-02-26,33.0
2013-02-27,33.05
2013-02-28,29.2
2013-03-01,34.45
2013-03-04,31.0
2013-03-05,30.0
2013-03-06,31.8
2013-03-07,32.0
2013-03-08,32.45
2013-03-11,30.15
2013-03-12,30.3
2013-03-13,30.2
2013-03-15,30.5
2013-03-19,30.55
2013-03-20,29.3
2013-03-22,27.55
2013-03-28,25.8
2013-04-02,28.0
2013-04-03,31.5
2013-04-04,32.5
2013-04-05,35.35
2013-07-16,31.95
2013-07-18,30.4
2013-07-19,31.9
2013-07-24,31.9
2013-08-02,33.45
2013-08-05,32.0
2013-08-06,30.4
2013-08-12,29.7
2013-08-23,28.25
2013-08-27,29.65
2013-08-30,29.65
2013-09-02,28.2
2013-09-03,26.8
2013-09-05,27.95
2013-09-13,26.6
2013-09-16,25.3
2013-09-18,24.05
2013-09-20,23.0
2013-09-24,22.2
2013-09-27,21.15
2013-09-30,20.3
2013-10-23,19.4
2013-10-24,20.35
2013-10-29,21.35
2013-11-01,20.3
2013-11-08,20.0
2013-11-12,21.0
2013-11-19,21.9
2013-11-20,20.85
2013-11-21,19.85
2013-11-22,20.0
2013-11-28,20.0
2013-11-29,20.0
2013-12-05,21.0
2013-12-06,21.45
2013-12-10,21.0
2013-12-11,19.95
2013-12-18,20.7
2013-12-19,19.75
2013-12-23,19.6
2013-12-27,19.5
2013-12-30,18.65
2013-12-31,18.65
2014-01-07,18.5
2014-01-08,18.6
2014-01-09,19.5
2014-01-10,19.7
2014-08-06,30.45
2014-08-07,28.95
2014-08-08,27.65
2014-08-11,28.95
2014-08-12,27.55
2014-08-18,28.0
2014-08-22,28.65
2014-08-25,28.2
2014-08-26,27.15
2014-08-27,26.6
2014-09-01,26.05
2014-09-02,25.05
2014-09-03,23.9
2014-09-04,25.05
2014-09-08,23.8
2014-09-09,24.95
2014-09-10,26.15
2014-09-11,27.45
2014-09-12,28.8
2014-09-15,30.2
2014-09-16,31.7
2014-09-17,33.25
2014-09-18,34.9
2014-09-19,36.6
2014-09-22,37.0
2014-09-23,38.15
2014-09-24,37.35
2014-09-25,39.2
2014-09-26,37.25
2014-09-29,38.75
2014-09-30,37.15
2014-10-01,37.6
2014-10-07,36.3
2014-10-08,34.65
2014-10-09,35.0
2014-11-13,29.5
2014-11-14,29.7
2014-11-17,28.5
2014-11-18,27.8
2014-11-19,28.2
2014-11-20,26.8
2014-11-21,26.6
2014-11-24,25.45
2014-11-26,25.95
2014-11-27,25.85
2014-11-28,25.0
2014-12-01,25.0
2014-12-03,24.5
2014-12-04,24.5
2014-12-05,25.0
2014-12-09,24.4
2014-12-10,24.4
2014-12-11,25.0
2014-12-12,25.0
2014-12-15,23.75
2014-12-17,22.6
2014-12-18,23.7
2014-12-22,24.3
2014-12-23,23.1
2014-12-24,21.95
2014-12-26,21.1
2014-12-29,22.15
2014-12-30,23.0
2014-12-31,22.5
2015-01-02,22.05
2015-01-05,22.35
2015-01-06,21.75
2015-01-08,22.5
2015-01-09,24.25
2015-01-12,24.6
2015-01-13,25.3
2015-01-14,26.45
2015-01-15,25.65
2015-01-16,24.5
2015-01-19,23.75
2015-01-20,24.85
2015-01-21,26.05
2015-01-22,26.35
2015-01-23,25.05
2015-01-27,24.0
2015-01-28,24.0
2015-01-29,24.75
2015-01-30,24.7
2015-02-02,23.5
2015-02-04,24.15
2015-02-05,22.95
2015-02-06,21.45
2015-02-09,20.7
2015-02-11,20.05
2015-02-12,22.0
2015-02-13,23.0
2015-02-16,23.75
2015-02-18,22.3
2015-02-20,20.1
2015-02-23,20.4
2015-02-24,19.7
2015-02-25,20.0
2015-02-26,20.0
2015-02-27,18.7
2015-02-28,20.55
2015-03-02,18.7
2015-03-03,20.55
2015-03-09,21.7
2015-03-12,22.9
2015-03-13,21.9
2015-03-16,19.55
2015-03-17,19.0
2015-03-18,18.0
2015-03-19,18.95
2015-03-20,18.95
2015-03-23,18.1
2015-03-24,19.0
2015-03-25,17.0
2015-03-26,18.0
2015-03-27,16.8
2015-03-30,16.75
2015-03-31,16.5
2015-04-01,17.5
2015-04-06,18.0
2015-04-07,17.1
2015-04-08,18.85
2015-04-09,18.9
2015-04-10,18.9
2015-04-13,19.45
2015-04-15,18.25
2015-04-16,18.95
2015-04-17,18.05
2015-04-20,18.05
2015-04-21,17.6
2015-04-23,18.0
2015-04-24,17.35
2015-04-27,16.4
2015-04-28,16.5
2015-04-29,16.85
2015-04-30,17.7
2015-05-04,17.25
2015-05-05,16.5
2015-05-06,16.5
2015-05-07,16.0
2015-05-11,15.25
2015-05-13,16.4
2015-05-19,17.0
2015-05-20,16.75
2015-05-21,15.45
2015-05-22,15.8
2015-05-25,15.05
2015-05-26,15.7
2015-05-27,16.45
2015-05-29,16.9
2015-06-01,17.1
2015-06-03,17.15
2015-06-04,16.05
2015-06-05,17.65
2015-06-08,17.6
2015-06-09,16.1
2015-06-10,17.05
2015-06-12,15.35
2015-06-15,15.15
2015-06-17,14.15
2015-06-18,14.5
2015-06-19,14.5
2015-06-22,14.4
2015-06-23,14.6
2015-06-24,14.1
2015-06-25,14.1
2015-06-29,13.75
2015-06-30,13.9
2015-07-01,13.2
2015-07-02,13.3
2015-07-03,13.5
2015-07-06,14.2
2015-07-08,13.5
2015-07-09,13.55
2015-07-10,13.8
2015-07-13,14.75
2015-07-14,14.8
2015-07-15,14.55
2015-07-17,14.55
2015-07-20,14.3
2015-07-21,14.5
2015-07-22,15.5
2015-07-23,15.45
2015-07-24,14.2
2015-07-27,15.35
2015-07-28,15.4
2015-07-29,14.3
2015-07-30,15.1
2015-07-31,15.4
2015-08-03,15.45
2015-08-04,14.45
2015-08-05,14.95
2015-08-06,14.25
2015-08-07,14.5
2015-08-10,15.2
2015-08-11,15.3
2015-08-12,14.75
2015-08-13,15.5
2015-08-14,15.5
2015-08-17,16.0
2015-08-18,15.8
2015-08-19,16.05
2015-08-20,16.5
2015-08-21,16.5
2015-08-24,16.95
2015-08-25,15.3
2015-08-26,15.5
2015-08-27,15.0
2015-08-28,14.5
2015-08-31,14.75
2015-09-01,13.35
2015-09-02,15.0
2015-09-03,15.0
2015-09-04,14.95
2015-09-09,14.75
2015-09-10,14.75
2015-09-11,14.7
2015-09-14,15.4
2015-09-15,14.5
2015-09-21,14.95
2015-09-22,14.9
2015-09-23,14.9
2015-09-24,14.9
2015-09-28,15.9
2015-09-29,14.6
2015-09-30,16.95
2015-10-01,16.25
2015-10-05,15.45
2015-10-06,15.4
2015-10-07,16.15
2015-10-08,16.95
2015-10-09,17.0
2015-10-12,17.55
2015-10-13,18.4
2015-10-14,18.9
2015-10-15,19.45
2015-10-16,20.35
2015-10-19,21.35
2015-10-20,22.4
2015-10-21,22.95
