Date,HINDCOMPOS
2013-01-01,362.5
2013-01-02,366.0
2013-01-03,360.0
2013-01-04,360.0
2013-01-07,358.2
2013-01-08,355.4
2013-01-09,360.0
2013-01-10,364.0
2013-01-11,365.0
2013-01-14,363.0
2013-01-15,355.9
2013-01-16,352.1
2013-01-17,353.05
2013-01-18,355.0
2013-01-21,351.7
2013-01-22,368.95
2013-01-23,369.5
2013-01-24,361.1
2013-01-25,340.4
2013-01-28,351.75
2013-01-29,355.0
2013-01-30,340.3
2013-01-31,349.05
2013-02-01,358.05
2013-02-04,345.0
2013-02-05,358.95
2013-02-06,355.0
2013-02-07,342.0
2013-02-08,338.85
2013-02-11,338.85
2013-02-12,335.05
2013-02-13,323.85
2013-02-14,307.65
2013-02-15,312.0
2013-02-18,303.1
2013-02-19,312.0
2013-02-20,312.0
2013-02-21,318.0
2013-02-22,320.0
2013-02-25,313.0
2013-02-26,312.0
2013-02-27,312.0
2013-02-28,320.0
2013-03-01,313.0
2013-03-04,299.5
2013-03-05,290.5
2013-03-06,301.25
2013-03-07,301.25
2013-03-11,318.95
2013-03-13,319.0
2013-03-14,309.15
2013-03-15,309.0
2013-03-18,310.0
2013-03-19,319.0
2013-03-20,301.0
2013-03-21,303.3
2013-03-22,300.35
2013-03-25,299.6
2013-03-26,298.5
2013-03-28,320.0
2013-04-01,323.2
2013-04-02,307.7
2013-04-03,301.0
2013-04-04,300.35
2013-04-05,301.1
2013-05-10,285.0
2013-05-13,290.0
2013-05-14,285.0
2013-05-23,285.0
2013-05-24,285.0
2013-05-27,285.0
2013-08-07,272.0
2013-08-12,258.55
2013-08-13,260.0
2013-08-14,262.0
2013-09-06,265.0
2013-09-10,260.0
2013-09-19,247.0
2013-09-20,235.05
2013-09-27,230.0
2013-09-30,241.5
2013-10-01,241.5
2013-10-03,253.55
2013-10-04,260.0
2013-10-09,253.0
2013-10-10,253.0
2013-10-11,265.0
2013-10-14,260.0
2013-10-23,273.0
2013-10-25,286.65
2013-11-01,300.95
2013-11-06,300.0
2013-11-07,315.0
2013-11-11,300.0
2013-11-12,288.0
2013-11-18,300.0
2013-11-19,315.0
2013-11-20,330.0
2013-11-21,330.0
2013-11-25,335.0
2013-11-27,345.0
2013-11-28,340.0
2013-12-02,340.0
2013-12-03,350.0
2013-12-04,342.1
2013-12-05,350.0
2013-12-06,351.0
2013-12-09,340.0
2013-12-11,345.0
2013-12-12,355.0
2013-12-16,372.0
2013-12-17,390.0
2013-12-18,408.85
2013-12-19,409.0
2013-12-20,407.0
2013-12-23,405.0
2013-12-24,410.0
2013-12-26,400.0
2013-12-27,405.0
2013-12-30,400.0
2013-12-31,400.0
2014-01-01,400.0
2014-01-02,400.0
2014-01-03,400.0
2014-01-06,400.0
2014-01-07,400.0
2014-01-08,400.1
2014-01-09,400.0
2014-01-10,420.0
2014-01-13,400.0
2014-01-14,409.0
2014-01-15,409.05
2014-01-16,425.0
2014-01-17,425.0
2014-01-20,425.0
