Date,BOSCHLTD
2013-01-01,9387.8
2013-01-02,9475.55
2013-01-03,9409.0
2013-01-04,9346.25
2013-01-07,9329.1
2013-01-08,9279.2
2013-01-09,9210.15
2013-01-10,9323.9
2013-01-11,9201.0
2013-01-14,9207.9
2013-01-15,9109.85
2013-01-16,9186.65
2013-01-17,9214.6
2013-01-18,9180.8
2013-01-21,9281.7
2013-01-22,9171.65
2013-01-23,9103.65
2013-01-24,9112.35
2013-01-25,9092.8
2013-01-28,9005.75
2013-01-29,8888.35
2013-01-30,9076.6
2013-01-31,9260.0
2013-02-01,9108.15
2013-02-04,9020.0
2013-02-05,9013.3
2013-02-06,9011.75
2013-02-07,9013.5
2013-02-08,9021.4
2013-02-11,8956.8
2013-02-12,8919.35
2013-02-13,8977.15
2013-02-14,8971.6
2013-02-15,8969.4
2013-02-18,8995.15
2013-02-19,9025.35
2013-02-20,9064.95
2013-02-21,9044.95
2013-02-22,8989.5
2013-02-25,8930.85
2013-02-26,8867.75
2013-02-27,8881.8
2013-02-28,8761.9
2013-03-01,8564.25
2013-03-04,8357.9
2013-03-05,8453.35
2013-03-06,8398.95
2013-03-07,8300.2
2013-03-08,8353.95
2013-03-11,8436.15
2013-03-12,8572.95
2013-03-13,8617.35
2013-03-14,8705.05
2013-03-15,8617.0
2013-03-18,8670.3
2013-03-19,8722.6
2013-03-20,8750.65
2013-03-21,8756.6
2013-03-22,8829.0
2013-03-25,8839.25
2013-03-26,9006.3
2013-03-28,8983.8
2013-04-01,8852.05
2013-04-02,8714.65
2013-04-03,8727.8
2013-04-04,8740.6
2013-04-05,8754.3
2013-04-08,8707.5
2013-04-09,8702.2
2013-04-10,8827.3
2013-04-11,8762.7
2013-04-12,8698.95
2013-04-15,8638.5
2013-04-16,8646.5
2013-04-17,8638.0
2013-04-18,8818.6
2013-04-22,8846.45
2013-04-23,8919.2
2013-04-25,9033.1
2013-04-26,9057.55
2013-04-29,9024.85
2013-04-30,8898.05
2013-05-02,8927.05
2013-05-03,8924.5
2013-05-06,8983.05
2013-05-07,8988.3
2013-05-08,9000.7
2013-05-09,9047.55
2013-05-10,9000.3
2013-05-11,9017.75
2013-05-13,9035.25
2013-05-14,9011.95
2013-05-15,9000.65
2013-05-16,9000.95
2013-05-17,9015.95
2013-05-20,9017.45
2013-05-21,9167.1
2013-05-22,9227.75
2013-05-23,9100.55
2013-05-24,9039.2
2013-05-27,9052.75
2013-05-28,9043.4
2013-05-29,9082.05
2013-05-30,9145.45
2013-05-31,9148.25
2013-06-03,9035.45
2013-06-04,9040.8
2013-06-05,9051.25
2013-06-06,9077.25
2013-06-07,9018.85
2013-06-10,9134.1
2013-06-11,9315.45
2013-06-12,9051.8
2013-06-13,8993.35
