Date,63MOONS
2013-01-01,1138.3
2013-01-02,1117.85
2013-01-03,1122.3
2013-01-04,1170.05
2013-01-07,1161.85
2013-01-08,1155.65
2013-01-09,1144.5
2013-01-10,1153.5
2013-01-11,1126.7
2013-01-14,1137.15
2013-01-15,1173.05
2013-01-16,1132.75
2013-01-17,1145.6
2013-01-18,1182.9
2013-01-21,1171.95
2013-01-22,1149.9
2013-01-23,1162.05
2013-01-24,1139.3
2013-01-25,1150.95
2013-01-28,1160.25
2013-01-29,1132.65
2013-01-30,1139.45
2013-01-31,1120.9
2013-02-01,1114.7
2013-02-04,1076.35
2013-02-05,1087.6
2013-02-06,1108.1
2013-02-07,1075.0
2013-02-08,1059.2
2013-02-11,1010.5
2013-02-12,990.55
2013-02-13,965.4
2013-02-14,929.5
2013-02-15,947.0
2013-02-18,931.6
2013-02-19,949.7
2013-02-20,968.05
2013-02-21,927.25
2013-02-22,929.95
2013-02-25,932.3
2013-02-26,884.85
2013-02-27,882.15
2013-02-28,843.95
2013-03-01,849.35
2013-03-04,807.7
2013-03-05,839.8
2013-03-06,840.7
2013-03-07,847.05
2013-03-08,828.95
2013-03-11,820.25
2013-03-12,807.3
2013-03-13,794.55
2013-03-14,796.4
2013-03-15,776.95
2013-03-18,761.85
2013-03-19,742.55
2013-03-20,734.6
2013-03-21,729.25
2013-03-22,724.45
2013-03-25,720.55
2013-03-26,711.15
2013-03-28,712.6
2013-04-01,737.55
2013-04-02,762.5
2013-04-03,751.25
2013-04-04,719.1
2013-04-05,720.3
2013-04-08,721.55
2013-04-09,704.5
2013-04-10,709.45
2013-04-11,712.25
2013-04-12,717.25
2013-04-15,711.25
2013-04-16,727.25
2013-04-17,726.85
2013-04-18,754.65
2013-04-22,777.3
2013-04-23,801.1
2013-04-25,808.25
2013-04-26,819.85
2013-04-29,842.15
2013-04-30,808.2
2013-05-02,818.0
2013-05-03,819.55
2013-05-06,839.25
2013-05-07,844.45
2013-05-08,837.05
2013-05-09,832.9
2013-05-10,837.2
2013-05-11,840.8
2013-05-13,814.7
2013-05-14,821.4
2013-05-15,843.3
2013-05-16,841.95
2013-05-17,851.65
2013-05-20,847.25
2013-05-21,835.1
2013-05-22,789.85
2013-05-23,791.65
2013-05-24,798.95
2013-05-27,800.2
2013-05-28,847.6
2013-05-29,838.35
2013-05-30,840.95
2013-05-31,823.65
2013-06-03,814.15
2013-06-04,813.5
2013-06-05,828.5
2013-06-06,831.35
2013-06-07,822.7
2013-06-10,816.9
2013-06-11,799.35
2013-06-12,774.5
2013-06-13,752.75
2013-06-14,755.95
2013-06-17,776.95
2013-06-18,811.9
2013-06-19,822.8
2013-06-20,771.9
2013-06-21,759.25
2013-06-24,744.7
2013-06-25,759.45
2013-06-26,756.5
2013-06-27,756.4
2013-06-28,779.3
2013-07-01,789.75
2013-07-02,781.1
2013-07-03,746.15
2013-07-04,760.4
2013-07-05,756.7
2013-07-08,747.9
2013-07-09,789.25
2013-07-10,750.15
2013-07-11,765.2
2013-07-12,765.35
2013-07-15,732.5
2013-07-16,729.1
2013-07-17,701.6
2013-07-18,679.55
2013-07-19,629.4
2013-07-22,590.65
2013-07-23,634.95
2013-07-24,632.65
2013-07-25,623.7
2013-07-26,567.7
2013-07-29,577.15
2013-07-30,549.6
2013-07-31,539.85
2013-08-01,191.65
2013-08-02,147.5
2013-08-05,198.1
2013-08-06,159.1
2013-08-07,168.05
2013-08-08,178.3
2013-08-12,170.55
2013-08-13,169.4
2013-08-14,146.95
2013-08-16,150.7
2013-08-19,151.6
2013-08-20,140.85
2013-08-21,130.05
2013-08-22,132.3
2013-08-23,134.35
2013-08-26,144.25
2013-08-27,132.55
2013-08-28,141.6
2013-08-29,141.4
2013-08-30,113.9
2013-09-02,114.75
2013-09-03,111.7
2013-09-04,113.3
2013-09-05,131.65
2013-09-06,137.8
2013-09-10,145.0
2013-09-11,184.1
2013-09-12,217.4
2013-09-13,198.85
2013-09-16,184.55
2013-09-17,164.05
2013-09-18,174.6
2013-09-19,176.0
2013-09-20,173.85
2013-09-23,171.25
2013-09-24,167.4
2013-09-25,149.9
2013-09-26,157.9
2013-09-27,150.6
2013-09-30,141.15
2013-10-01,144.45
2013-10-03,159.55
2013-10-04,159.1
2013-10-07,167.75
2013-10-08,169.65
2013-10-09,164.5
2013-10-10,169.3
2013-10-11,166.8
2013-10-14,168.75
2013-10-15,162.6
2013-10-17,164.2
2013-10-18,159.9
2013-10-21,161.9
2013-10-22,160.25
2013-10-23,164.0
2013-10-24,154.6
2013-10-25,150.25
2013-10-28,152.25
2013-10-29,157.35
2013-10-30,173.6
2013-10-31,173.4
2013-11-01,170.8
2013-11-03,171.65
2013-11-05,172.55
2013-11-06,171.05
2013-11-07,166.3
2013-11-08,165.1
