Date,VEDL
2013-01-01,198.6
2013-01-02,202.9
2013-01-03,204.4
2013-01-04,201.7
2013-01-07,202.65
2013-01-08,199.7
2013-01-09,196.85
2013-01-10,193.3
2013-01-11,194.4
2013-01-14,196.85
2013-01-15,194.0
2013-01-16,190.6
2013-01-17,189.65
2013-01-18,187.15
2013-01-21,186.85
2013-01-22,185.05
2013-01-23,184.65
2013-01-24,178.2
2013-01-25,183.2
2013-01-28,183.05
2013-01-29,183.35
2013-01-30,186.8
2013-01-31,186.55
2013-02-01,183.65
2013-02-04,180.35
2013-02-05,177.75
2013-02-06,179.15
2013-02-07,174.4
2013-02-08,169.85
2013-02-11,171.8
2013-02-12,170.65
2013-02-13,165.9
2013-02-14,163.15
2013-02-15,165.0
2013-02-18,167.9
2013-02-19,170.9
2013-02-20,169.95
2013-02-21,163.75
2013-02-22,162.7
2013-02-25,161.0
2013-02-26,158.8
2013-02-27,161.15
2013-02-28,154.85
2013-03-01,153.95
2013-03-04,148.85
2013-03-05,156.75
2013-03-06,162.05
2013-03-07,165.05
2013-03-08,167.15
2013-03-11,166.45
2013-03-12,164.0
2013-03-13,163.85
2013-03-14,165.15
2013-03-15,164.6
2013-03-18,161.9
2013-03-19,155.25
2013-03-20,153.6
2013-03-21,152.2
2013-03-22,153.95
2013-03-25,151.8
2013-03-26,151.65
2013-03-28,155.5
2013-04-01,151.35
2013-04-02,156.9
2013-04-03,152.7
2013-04-04,147.0
2013-04-05,149.95
2013-04-08,145.95
2013-04-09,146.0
2013-04-10,147.25
2013-04-11,147.2
2013-04-12,147.95
2013-04-15,143.6
2013-04-16,143.4
2013-04-17,149.25
2013-04-18,151.5
2013-04-22,152.1
2013-04-23,151.5
2013-04-25,154.2
2013-04-26,152.45
2013-04-29,155.2
2013-04-30,158.75
2013-05-02,158.05
2013-05-03,160.9
2013-05-06,164.25
2013-05-07,164.05
2013-05-08,164.7
2013-05-09,162.45
2013-05-10,162.75
2013-05-11,164.3
2013-05-13,159.15
2013-05-14,160.65
2013-05-15,163.95
2013-05-16,168.05
2013-05-17,166.1
2013-05-20,165.35
2013-05-21,162.35
2013-05-22,161.1
2013-05-23,156.65
2013-05-24,160.15
2013-05-27,163.9
2013-05-28,161.75
2013-05-29,158.7
2013-05-30,157.65
2013-05-31,163.9
2013-06-03,160.95
2013-06-04,157.6
2013-06-05,158.25
2013-06-06,156.7
2013-06-07,154.5
2013-06-10,151.85
2013-06-11,147.2
2013-06-12,144.35
2013-06-13,139.65
2013-06-14,142.1
2013-06-17,140.25
2013-06-18,141.9
2013-06-19,145.95
2013-06-20,139.85
2013-06-21,138.4
2013-06-24,134.3
2013-06-25,134.25
2013-06-26,134.4
2013-06-27,138.4
2013-06-28,142.8
2013-07-01,149.05
2013-07-02,151.0
2013-07-03,143.95
2013-07-04,142.05
2013-07-05,143.2
2013-07-08,141.0
2013-07-09,143.45
2013-07-10,141.5
2013-07-11,150.4
2013-07-12,152.05
2013-07-15,156.4
2013-07-16,152.15
2013-07-17,150.85
2013-07-18,149.6
2013-07-19,146.05
2013-07-22,145.8
2013-07-23,147.85
2013-07-24,143.35
2013-07-25,139.95
2013-07-26,131.2
2013-07-29,125.4
2013-07-30,123.75
2013-07-31,127.85
2013-08-01,127.2
2013-08-02,123.9
