Date,DCM
2013-01-01,77.85
2013-01-02,77.0
2013-01-03,78.05
2013-01-04,78.75
2013-01-07,74.65
2013-01-08,72.7
2013-01-09,72.6
2013-01-10,73.25
2013-01-11,72.5
2013-01-14,72.4
2013-01-15,70.9
2013-01-16,77.95
2013-01-17,84.7
2013-01-18,81.1
2013-01-21,80.8
2013-01-22,83.95
2013-01-23,85.65
2013-01-24,84.55
2013-01-25,87.05
2013-01-28,88.7
2013-01-29,87.4
2013-01-30,86.25
2013-01-31,84.6
2013-02-01,83.75
2013-02-04,83.75
2013-02-05,80.0
2013-02-06,78.0
2013-02-07,78.6
2013-02-08,78.4
2013-02-11,79.55
2013-02-12,77.05
2013-02-13,76.3
2013-02-14,74.4
2013-02-15,76.85
2013-02-18,75.15
2013-02-19,76.8
2013-02-20,74.8
2013-02-21,74.65
2013-02-22,76.6
2013-02-25,70.25
2013-02-26,65.75
2013-02-27,67.4
2013-02-28,62.4
2013-03-01,61.95
2013-03-04,63.95
2013-03-05,66.1
2013-03-06,66.85
2013-03-07,71.8
2013-03-08,72.2
2013-03-11,70.15
2013-03-12,70.2
2013-03-13,67.55
2013-03-14,67.9
2013-03-15,68.15
2013-03-18,66.5
2013-03-19,64.3
2013-03-20,62.15
2013-03-21,59.8
2013-03-22,64.45
2013-03-25,60.6
2013-03-26,60.2
2013-03-28,61.5
2013-04-01,63.45
2013-04-02,67.2
2013-04-03,71.1
2013-04-04,70.85
2013-04-05,69.0
2013-04-08,65.45
2013-04-09,63.35
2013-04-10,64.15
2013-04-11,63.75
2013-04-12,64.6
2013-04-15,64.7
2013-04-16,65.75
2013-04-17,66.35
2013-04-18,66.15
2013-04-22,67.05
2013-04-23,66.4
2013-04-25,65.25
2013-04-26,65.4
2013-04-29,66.45
2013-04-30,66.8
2013-05-02,70.95
2013-05-03,69.15
2013-05-06,69.75
2013-05-07,70.85
2013-05-08,72.95
2013-05-09,71.65
2013-05-10,72.4
2013-05-11,72.85
2013-05-13,71.75
2013-05-14,72.0
2013-05-15,70.85
2013-05-16,71.2
2013-05-17,70.6
2013-05-20,70.1
2013-05-21,70.3
2013-05-22,70.85
2013-05-23,69.35
2013-05-24,68.4
2013-05-27,68.35
2013-05-28,68.9
2013-05-29,68.1
2013-05-30,68.6
2013-05-31,67.8
2013-06-03,67.85
2013-06-04,66.4
2013-06-05,66.75
2013-06-06,65.85
2013-06-07,65.85
2013-06-10,67.15
2013-06-11,66.5
2013-06-12,65.75
2013-06-13,67.15
2013-06-14,67.8
2013-06-17,69.35
2013-06-18,68.55
2013-06-19,69.4
2013-06-20,68.5
2013-06-21,68.05
2013-06-24,68.1
2013-06-25,68.6
2013-06-26,68.0
2013-06-27,70.85
2013-06-28,74.15
2013-07-01,77.85
2013-07-02,74.35
2013-07-03,71.25
2013-07-04,69.95
2013-07-05,72.1
2013-07-08,70.8
2013-07-09,71.2
2013-07-10,72.15
2013-07-11,74.1
2013-07-12,74.15
2013-07-15,74.3
2013-07-16,73.0
2013-07-17,73.85
2013-07-18,73.2
2013-07-19,74.5
2013-07-22,73.15
2013-07-23,73.1
2013-07-24,71.55
2013-07-25,71.75
2013-07-26,70.4
2013-07-29,70.55
2013-07-30,71.25
2013-07-31,70.0
2013-08-01,69.95
2013-08-02,69.15
2013-08-05,69.0
2013-08-06,68.15
2013-08-07,68.95
2013-08-08,68.45
2013-08-12,69.65
2013-08-13,69.0
2013-08-14,69.7
2013-08-16,68.8
2013-08-19,68.6
2013-08-20,69.35
2013-08-21,68.55
2013-08-22,68.75
2013-08-23,69.35
2013-08-26,68.05
2013-08-27,68.0
2013-08-28,68.05
2013-08-29,68.5
2013-08-30,68.0
2013-09-02,66.4
2013-09-03,67.1
2013-09-04,67.0
2013-09-05,70.0
2013-09-06,70.0
2013-09-10,70.0
2013-09-11,70.65
2013-09-12,69.8
2013-09-13,70.1
2013-09-16,69.5
2013-09-17,69.9
2013-09-18,69.6
2013-09-19,69.4
2013-09-20,69.35
2013-09-23,68.0
2013-09-24,67.8
2013-09-25,68.3
2013-09-26,67.15
2013-09-27,67.9
2013-09-30,68.05
2013-10-01,67.3
2013-10-03,67.75
2013-10-04,67.5
2013-10-07,69.4
2013-10-08,68.8
2013-10-09,70.2
2013-10-10,70.0
2013-10-11,70.8
2013-10-14,70.0
2013-10-15,68.05
2013-10-17,71.05
2013-10-18,69.6
2013-10-21,69.5
2013-10-22,69.7
2013-10-23,69.15
2013-10-24,69.0
2013-10-25,69.4
2013-10-28,69.7
2013-10-29,69.65
2013-10-30,69.5
2013-10-31,69.25
2013-11-01,71.7
2013-11-03,71.95
2013-11-05,70.05
2013-11-06,71.9
2013-11-07,72.4
2013-11-08,71.05
2013-11-11,73.5
2013-11-12,70.5
2013-11-13,72.5
2013-11-14,70.25
2013-11-18,70.3
2013-11-19,69.55
2013-11-20,69.95
2013-11-21,70.8
2013-11-22,70.65
2013-11-25,68.95
2013-11-26,68.95
2013-11-27,68.25
2013-11-28,68.05
2013-11-29,67.85
2013-12-02,68.0
2013-12-03,69.95
2013-12-04,68.25
2013-12-05,69.0
2013-12-06,69.65
2013-12-09,68.55
2013-12-10,67.45
2013-12-11,67.1
2013-12-12,66.75
2013-12-13,66.85
2013-12-16,66.9
2013-12-17,66.45
2013-12-18,69.2
2013-12-19,66.05
2013-12-20,66.5
2013-12-23,67.0
2013-12-24,66.45
2013-12-26,70.6
