Date,SSWL
2013-01-01,183.3
2013-01-02,187.35
2013-01-03,200.8
2013-01-04,196.65
2013-01-07,205.9
2013-01-08,202.4
2013-01-09,198.3
2013-01-10,195.85
2013-01-11,190.35
2013-01-14,190.05
2013-01-15,190.1
2013-01-16,187.5
2013-01-17,189.15
2013-01-18,186.75
2013-01-21,188.05
2013-01-22,183.65
2013-01-23,180.15
2013-01-24,176.55
2013-01-25,176.7
2013-01-28,179.1
2013-01-29,178.65
2013-01-30,177.7
2013-01-31,178.0
2013-02-01,178.35
2013-02-04,173.5
2013-02-05,170.95
2013-02-06,172.45
2013-02-07,173.15
2013-02-08,169.9
2013-02-11,167.25
2013-02-12,170.8
2013-02-13,165.55
2013-02-14,165.8
2013-02-15,163.8
2013-02-18,164.85
2013-02-19,166.45
2013-02-20,168.4
2013-02-21,166.8
2013-02-22,164.25
2013-02-25,164.35
2013-02-26,163.15
2013-02-27,163.35
2013-02-28,156.2
2013-03-01,157.85
2013-03-04,152.75
2013-03-05,171.95
2013-03-06,181.95
2013-03-07,190.05
2013-03-08,196.7
2013-03-11,188.3
2013-03-12,183.4
2013-03-13,177.55
2013-03-14,177.6
2013-03-15,174.55
2013-03-18,173.35
2013-03-19,171.0
2013-03-20,157.95
2013-03-21,158.1
2013-03-22,160.85
2013-03-25,168.25
2013-03-26,162.6
2013-03-28,165.15
2013-04-01,163.55
2013-04-02,166.35
2013-04-03,166.4
2013-04-04,160.35
2013-04-05,158.3
2013-04-08,158.1
2013-04-09,158.2
2013-04-10,158.6
2013-04-11,158.35
2013-04-12,157.75
2013-04-15,157.4
2013-04-16,163.8
2013-04-17,159.45
2013-04-18,162.5
2013-04-22,160.55
2013-04-23,163.5
2013-04-25,160.75
2013-04-26,160.45
2013-04-29,161.05
2013-04-30,163.15
2013-05-02,164.4
2013-05-03,164.65
2013-05-06,163.3
2013-05-07,158.1
2013-05-08,154.8
2013-05-09,151.55
2013-05-10,152.6
2013-05-11,154.65
2013-05-13,151.4
2013-05-14,151.45
2013-05-15,150.35
2013-05-16,149.85
2013-05-17,154.1
2013-05-20,153.05
2013-05-21,167.95
2013-05-22,162.1
2013-05-23,156.15
2013-05-24,154.6
2013-05-27,151.7
2013-05-28,154.0
2013-05-29,154.9
2013-05-30,152.65
2013-05-31,145.1
2013-06-03,149.05
2013-06-04,149.4
2013-06-05,148.45
2013-06-06,152.1
2013-06-07,152.0
2013-06-10,151.85
2013-06-11,148.5
2013-06-12,145.45
2013-06-13,144.25
2013-06-14,147.75
2013-06-17,145.95
2013-06-18,144.45
2013-06-19,141.9
2013-06-20,142.9
2013-06-21,142.35
2013-06-24,135.0
2013-06-25,139.85
2013-06-26,142.65
2013-06-27,138.55
2013-06-28,138.25
2013-07-01,140.6
2013-07-02,137.85
2013-07-03,135.75
2013-07-04,137.45
2013-07-05,137.65
2013-07-08,134.65
2013-07-09,151.15
2013-07-10,144.85
2013-07-11,147.95
2013-07-12,144.4
2013-07-15,140.3
2013-07-16,139.05
2013-07-17,137.0
2013-07-18,134.2
2013-07-19,133.25
2013-07-22,128.1
2013-07-23,129.25
2013-07-24,120.35
2013-07-25,138.65
2013-07-26,130.9
2013-07-29,131.05
2013-07-30,126.4
2013-07-31,120.4
2013-08-01,118.45
2013-08-02,118.4
2013-08-05,122.05
2013-08-06,118.0
2013-08-07,121.2
2013-08-08,121.0
2013-08-12,119.95
2013-08-13,121.0
2013-08-14,119.7
2013-08-16,116.85
2013-08-19,113.95
2013-08-20,121.2
2013-08-21,117.55
2013-08-22,117.0
2013-08-23,119.7
2013-08-26,120.0
2013-08-27,114.25
2013-08-28,113.35
2013-08-29,113.35
2013-08-30,113.15
2013-09-02,115.5
2013-09-03,122.55
2013-09-04,124.55
2013-09-05,123.2
2013-09-06,123.05
2013-09-10,127.1
2013-09-11,124.75
2013-09-12,131.85
2013-09-13,133.75
2013-09-16,130.75
2013-09-17,132.95
2013-09-18,131.6
2013-09-19,133.8
2013-09-20,127.85
2013-09-23,124.75
2013-09-24,127.65
2013-09-25,127.4
2013-09-26,126.35
2013-09-27,125.6
2013-09-30,124.45
2013-10-01,127.2
2013-10-03,141.6
2013-10-04,138.35
2013-10-07,141.45
2013-10-08,140.8
2013-10-09,142.4
2013-10-10,140.5
2013-10-11,138.15
2013-10-14,137.55
2013-10-15,139.3
2013-10-17,137.75
2013-10-18,138.8
2013-10-21,137.25
2013-10-22,138.6
2013-10-23,139.15
2013-10-24,138.45
2013-10-25,136.35
2013-10-28,135.7
2013-10-29,138.15
2013-10-30,137.55
2013-10-31,139.6
2013-11-01,137.25
2013-11-03,143.9
2013-11-05,140.6
2013-11-06,151.05
2013-11-07,143.4
2013-11-08,140.95
2013-11-11,138.75
2013-11-12,137.3
2013-11-13,136.1
2013-11-14,139.55
2013-11-18,139.45
2013-11-19,139.1
2013-11-20,140.6
2013-11-21,137.7
2013-11-22,137.05
2013-11-25,138.1
2013-11-26,137.9
2013-11-27,137.35
2013-11-28,140.35
2013-11-29,147.1
2013-12-02,145.4
2013-12-03,144.95
2013-12-04,143.75
2013-12-05,141.9
2013-12-06,140.25
2013-12-09,140.0
2013-12-10,140.4
2013-12-11,138.55
2013-12-12,137.0
2013-12-13,135.85
2013-12-16,137.25
2013-12-17,136.3
2013-12-18,136.4
2013-12-19,136.65
2013-12-20,137.8
2013-12-23,139.65
2013-12-24,142.05
2013-12-26,140.4
2013-12-27,140.35
2013-12-30,140.8
2013-12-31,144.35
2014-01-01,150.2
2014-01-02,144.6
2014-01-03,142.35
2014-01-06,141.95
2014-01-07,140.95
2014-01-08,138.6
2014-01-09,138.3
2014-01-10,136.15
2014-01-13,134.65
2014-01-14,133.95
2014-01-15,134.2
2014-01-16,133.6
2014-01-17,129.2
2014-01-20,129.9
2014-01-21,129.95
2014-01-22,130.45
2014-01-23,131.5
2014-01-24,127.7
2014-01-27,125.3
2014-01-28,125.3
2014-01-29,122.4
2014-01-30,120.8
2014-01-31,122.7
2014-02-03,124.2
2014-02-04,123.6
2014-02-05,123.0
2014-02-06,129.5
2014-02-07,129.85
2014-02-10,129.65
2014-02-11,128.35
2014-02-12,132.05
2014-02-13,129.45
2014-02-14,120.05
2014-02-17,112.3
2014-02-18,121.75
2014-02-19,126.85
2014-02-20,129.1
