Date,PRECOT
2013-01-01,96.95
2013-01-02,97.0
2013-01-03,100.0
2013-01-04,98.55
2013-01-07,97.7
2013-01-08,102.8
2013-01-09,101.95
2013-01-10,105.1
2013-01-11,103.65
2013-01-14,113.65
2013-01-15,104.25
2013-01-16,104.0
2013-01-17,102.0
2013-01-18,105.0
2013-01-21,104.5
2013-01-22,104.35
2013-01-23,103.6
2013-01-24,103.15
2013-01-25,105.5
2013-01-28,102.2
2013-01-29,101.0
2013-01-30,102.6
2013-01-31,100.5
2013-02-04,100.0
2013-02-05,104.85
2013-02-06,101.05
2013-02-07,100.6
2013-02-08,98.0
2013-02-11,95.55
2013-02-12,94.85
2013-02-13,95.5
2013-02-14,93.45
2013-02-15,93.0
2013-02-18,92.3
2013-02-19,93.5
2013-02-21,97.3
2013-02-22,96.85
2013-02-25,94.0
2013-02-26,94.5
2013-02-27,92.25
2013-02-28,94.0
2013-03-01,96.25
2013-03-04,93.0
2013-03-05,94.0
2013-03-06,94.45
2013-03-07,89.85
2013-03-08,93.95
2013-03-11,94.55
2013-03-12,93.85
2013-03-13,91.7
2013-03-14,90.1
2013-03-15,92.6
2013-03-18,92.7
2013-03-19,90.4
2013-03-20,90.85
2013-03-21,91.95
2013-03-22,92.65
2013-03-25,86.0
2013-03-26,89.55
2013-03-28,88.7
2013-04-01,89.05
2013-04-02,88.85
2013-04-03,88.0
2013-04-04,90.0
2013-04-05,94.0
2013-04-10,80.1
2013-04-16,83.05
2013-04-26,80.0
2013-04-30,80.0
2013-05-06,80.0
2013-05-10,80.2
2013-05-11,80.0
2013-05-13,76.1
2013-05-16,90.0
2013-05-21,83.0
2013-05-22,82.0
2013-05-23,82.0
2013-05-24,75.1
2013-05-27,73.4
2013-05-30,74.4
2013-06-03,76.95
2013-06-04,77.55
2013-06-10,75.2
2013-06-11,83.45
2013-06-12,79.95
2013-06-13,79.5
2013-06-14,71.1
2013-06-17,76.15
2013-06-20,75.2
2013-06-24,76.0
2013-06-25,76.0
2013-06-26,76.0
2013-06-27,76.05
2013-06-28,79.0
2013-07-01,75.6
2013-07-11,78.0
2013-07-12,80.0
2013-07-15,84.0
2013-07-19,84.0
2013-07-23,88.0
2013-07-29,85.6
2013-07-30,87.0
2013-07-31,88.0
2013-08-02,88.0
2013-08-06,88.0
2013-08-08,83.75
2013-08-12,87.9
2013-08-13,83.55
2013-08-14,84.35
2013-08-16,88.0
2013-08-21,92.0
2013-08-26,96.0
2013-08-27,95.0
2013-08-28,90.1
2013-08-29,94.3
2013-08-30,90.05
2013-09-03,94.15
2013-09-04,98.4
2013-09-06,103.3
2013-09-10,106.7
2013-09-11,106.0
2013-09-12,106.0
2013-09-13,106.0
2013-09-16,108.0
2013-09-17,108.9
2013-09-20,105.0
2013-09-23,99.9
2013-09-24,100.0
2013-09-25,100.0
2013-09-26,100.05
2013-09-27,101.0
2013-09-30,106.0
2013-10-01,103.2
2013-10-03,72.2
2013-10-04,73.0
2013-10-07,73.95
2013-10-08,74.0
2013-10-09,77.2
2013-10-10,77.0
2013-10-11,75.25
2013-10-14,75.0
2013-10-15,75.0
2013-10-17,75.0
2013-10-18,78.45
2013-10-21,81.9
2013-10-22,82.0
2013-10-24,77.9
2013-10-25,75.0
2013-11-01,78.75
2013-11-03,78.75
2013-11-05,76.25
2013-11-06,79.95
2013-11-07,83.9
2013-11-08,88.05
2013-11-11,89.95
2013-11-12,88.0
2013-11-13,91.7
2013-11-14,90.0
2013-11-18,92.0
2013-11-19,90.0
2013-11-20,89.9
2013-11-21,90.0
2013-11-22,90.0
2013-11-25,90.0
2013-11-26,87.0
2013-11-27,91.1
2013-11-28,89.0
2013-12-02,91.0
2013-12-03,87.15
2013-12-04,88.0
2013-12-05,84.0
2013-12-06,83.65
2013-12-09,85.0
2013-12-10,85.8
2013-12-12,81.55
2013-12-13,80.05
2013-12-16,80.0
2013-12-17,82.8
2013-12-18,83.85
2013-12-19,88.0
